queens_cooperatives_comparable_properties_neighborhood,queens_cooperatives_comparable_properties_building_classification,queens_cooperatives_comparable_properties_year_built,avg_market_value_per_sqft,avg_gross_income_per_sqft,total_units,total_full_market_value,total,count,average
FLUSHING-NORTH,D4-ELEVATOR,1962,48.8,12.95,253,12380000,25.9,2,12.95
FOREST HILLS,D4-ELEVATOR,1950,66.0,16.2,48,2850000,16.2,1,16.2
REGO PARK,D4-ELEVATOR,1962,63.0,15.4,126,7220000,15.4,1,15.4
BAYSIDE,D4-ELEVATOR,1961,58.0,14.57,240,23500000,14.57,1,14.57
BAYSIDE,C6-WALK-UP,1957,58.0,14.52,96,5450000,14.52,1,14.52
ROCKAWAY PARK,D4-ELEVATOR,1963,56.0,14.04,48,2290000,14.04,1,14.04
MIDDLE VILLAGE,D4-ELEVATOR,1964,56.0,14.0,68,3210000,14.0,1,14.0
MIDDLE VILLAGE,D4-ELEVATOR,1963,55.0,14.0,96,5240000,14.0,1,14.0
BRIARWOOD,D4-ELEVATOR,1955,54.0,13.7,256,13700000,13.7,1,13.7
CORONA,D4-ELEVATOR,1953,50.0,13.3,301,14500000,13.3,1,13.3
FLUSHING-NORTH,C6-WALK-UP,1951,49.2,13.08,22,639000,13.08,1,13.08
FOREST HILLS,D4-ELEVATOR,1960,48.8,13.0,47,1170000,13.0,1,13.0
FLUSHING-NORTH,D4-ELEVATOR,1966,48.3,12.85,79,3760000,12.85,1,12.85
CORONA,D4-ELEVATOR,1962,48.0,12.75,225,11300000,12.75,1,12.75
ASTORIA,D4-ELEVATOR,1971,47.5,12.64,26,798000,12.64,1,12.64
ELMHURST,D4-ELEVATOR,1959,47.3,12.6,69,2550000,12.6,1,12.6
LITTLE NECK,C6-WALK-UP,1952,42.3,12.0,168,6440000,12.0,1,12.0
FLORAL PARK,C6-WALK-UP,1950,42.4,12.0,120,4010000,12.0,1,12.0
HOWARD BEACH,D4-ELEVATOR,1962,41.7,11.82,151,6210000,11.82,1,11.82
JAMAICA,D4-ELEVATOR,1962,41.6,11.8,89,2460000,11.8,1,11.8
DOUGLASTON,D4-ELEVATOR,1964,41.4,11.75,89,4690000,11.75,1,11.75
BEECHHURST,D4-ELEVATOR,1958,40.5,11.5,32,1650000,11.5,1,11.5
JACKSON HEIGHTS,D4-ELEVATOR,1956,38.7,11.0,114,3460000,11.0,1,11.0
HOWARD BEACH,C6-WALK-UP,1958,23.62,7.7,80,1750000,7.7,1,7.7
