license_number,total_vehicle_safety_violations,serving_areas,book_ahead_service
B01268,0.07,New York City,Not Reported
B02382,0.26,New York City,Not Reported
B02707,0.0,New York City,Not Reported
B01051,0.11,New York City,Not Reported
B02536,0.96,New York City,Not Reported
B02800,0.06,New York City,Not Reported
B02772,0.09,New York City,Not Reported
B00029,0.02,New York City,Not Reported
B02569,0.03,New York City,Not Reported
B02639,0.0,New York City,Not Reported
B02518,0.06,New York City,Not Reported
B02067,0.13,New York City,Not Reported
B01976,0.04,New York City,Not Reported
B00290,0.34,New York City,Not Reported
B00111,0.09,New York City,Not Reported
B02050,0.19,New York City,Not Reported
B01406,0.09,New York City,Not Reported
B00889,0.1,New York City,Yes
B02067,0.13,New York City,Yes
B02662,0.05,New York City,Not Reported
B01492,0.21,New York City,Not Reported
B00919,0.16,New York City,Not Reported
B01741,0.03,New York City,Not Reported
B02429,0.96,New York City,Not Reported
B02457,0.13,New York City,Not Reported
B02420,0.0,New York City,Not Reported
B02845,0.2,New York City,Not Reported
B01912,0.26,New York City,Not Reported
B00373,0.03,New York City,Not Reported
B00992,0.06,New York City,Not Reported
B00078,0.0,New York City,Yes
B02865,0.06,New York City,No
B01236,0.01,New York City,Yes
B02882,2.4400000000000004,New York City,No
B02113,0.0,New York City,Not Reported
B01854,0.0,New York City,Not Reported
B01083,0.11,New York City,Not Reported
B01336,0.04,New York City,Not Reported
B00837,0.06,New York City,Not Reported
