permitid,loadweight,truckstate,totalgrossweight,trailerstate,loadlength,loadheight,endcity
619273,2000,IL,49000,PA,53.0,2.0,
589525,54000,IN,70000,PA,60.0,13.06,
588261,12500,IN,49000,NY,48.0,13.06,
566672,20000,IN,33000,ON,53.0,3.0,
532832,109250,NJ,161660,NJ,34.0,11.01,BROOKLYN
598978,85973,NJ,151400,NJ,40.0,10.0,MANHATTAN
587563,64000,NJ,117950,NJ,40.0,10.0,MANHATTAN
602827,39000,CT,79000,ME,53.0,13.0,BROOKLYN
619099,79000,VT,119000,ME,48.0,8.0,THE BRONX
540053,20000,VT,40000,ME,53.0,3.0,
633024,95880,NY,164380,ME,73.0,3.0,MANHATTAN
569954,158399,NY,158400,,58.0,13.01,MANHATTAN
621448,158399,NY,158400,,57.07,13.01,MANHATTAN
632339,64000,PA,117950,NJ,40.0,10.0,MANHATTAN
631370,64000,PA,110800,NJ,55.0,4.09,MANHATTAN
612487,40000,PA,78000,NJ,60.0,6.0,BROOKLYN
596349,10000,IA,32000,PA,58.0,1.06,
529812,30000,MN,57000,AL,55.0,5.0,
610170,18250,WA,36500,WA,53.0,5.0,
603997,60000,GA,75000,GA,53.0,13.06,MANHATTAN
546958,49000,GA,56834,GA,42.0,7.0,BROOKLYN
575778,14000,GA,47000,GA,44.0,12.06,Brooklyn
