endcity,total_gross_weight_by_endcity
MANHATTAN,1209277
Queens,89900
,1006036
New York,135950
Brooklyn,160080
Bronx,131600
THE BRONX,119000
BROOKLYN,532158
MASPETH,63300
brooklyn,53080
Staten Island,67000
