incident_zip,complaint_type,intersection_street_2,category,count,avg_value,total_value,max_value
11378,Illegal Parking,BORDEN AVENUE,Medium Y-Coord,1,203732.0,203732,203732
11373,Illegal Parking,JUDGE STREET,Medium Y-Coord,2,209886.0,419772,209886
10065,Illegal Parking,EAST 67 STREET,Medium Y-Coord,1,218770.0,218770,218770
11368,Illegal Parking,35 AVENUE,Medium Y-Coord,2,214778.0,429556,214778
11358,Illegal Parking,35 AVENUE,Medium Y-Coord,1,218801.0,218801,218801
10004,Illegal Parking,BEAVER STREET,Low Y-Coord,4,195870.0,783480,195870
11368,Illegal Parking,102 STREET,Medium Y-Coord,1,214152.0,214152,214152
11208,Illegal Parking,EUCLID AVENUE,Low Y-Coord,1,184414.0,184414,184414
10036,Illegal Parking,ROCKEFELLER PLAZA,Medium Y-Coord,1,215325.0,215325,215325
11220,Illegal Parking,9 AVENUE,Low Y-Coord,2,174028.0,348056,174028
11207,Illegal Parking,WILLIAMS AVENUE,Low Y-Coord,24,184311.0,4423464,184311
10036,Illegal Parking,EAST 47 STREET,Medium Y-Coord,1,214894.0,214894,214894
10001,Illegal Parking,HIGH LINE,Medium Y-Coord,2,213296.0,426592,213296
11235,Illegal Parking,AVENUE Z,Low Y-Coord,1,154351.0,154351,154351
11222,Illegal Parking,MANHATTAN AVENUE,Medium Y-Coord,400,204143.0,81657200,204143
11435,Illegal Parking,85 ROAD,Low Y-Coord,2,197873.0,395746,197873
11365,Illegal Parking,72 AVENUE,Medium Y-Coord,630,205328.0,129356640,205328
11237,Illegal Parking,ST NICHOLAS AVENUE,Low Y-Coord,1,195430.0,195430,195430
10461,Illegal Parking,HOBART AVENUE,High Y-Coord,1,249903.0,249903,249903
11366,Illegal Parking,169 STREET,Medium Y-Coord,2640,202745.0,535246800,202745
11237,Illegal Parking,MYRTLE AVENUE,Low Y-Coord,1,193921.0,193921,193921
10456,Illegal Parking,PARK AVENUE,High Y-Coord,1,243768.0,243768,243768
11208,Illegal Parking,RIDGEWOOD AVENUE,Low Y-Coord,1,189056.0,189056,189056
11218,Illegal Parking,EAST 7 STREET,Low Y-Coord,1,176644.0,176644,176644
11411,Illegal Parking,118 AVENUE,Low Y-Coord,1,192977.0,192977,192977
11225,Illegal Parking,LEFFERTS AVENUE,Low Y-Coord,1,180403.0,180403,180403
11435,Illegal Parking,143 STREET,Low Y-Coord,1,189285.0,189285,189285
11228,Illegal Parking,16 AVENUE,Low Y-Coord,1,162170.0,162170,162170
11217,Illegal Parking,CARLTON AVENUE,Low Y-Coord,2,187368.0,374736,187523
10463,Illegal Parking,WEST230 STREET,High Y-Coord,3,257807.0,773421,257807
11209,Illegal Parking,6 AVENUE,Low Y-Coord,4,167435.0,669740,167435
11101,Illegal Parking,VERNON BOULEVARD,Medium Y-Coord,1920,210017.0,403232640,210017
11356,Illegal Parking,14 ROAD,Medium Y-Coord,1,225382.0,225382,225382
10002,Illegal Parking,NORFOLK STREET,Medium Y-Coord,1,200591.0,200591,200591
11209,Illegal Parking,92 STREET,Low Y-Coord,2,164344.0,328688,164344
11204,Illegal Parking,AVENUE P,Low Y-Coord,1,161004.0,161004,161004
10032,Illegal Parking,FORT WASHINGTON AVENUE,High Y-Coord,1,246312.0,246312,246312
11372,Illegal Parking,ROOSEVELT AVENUE,Medium Y-Coord,1,212870.0,212870,212870
11373,Illegal Parking,41 AVENUE,Medium Y-Coord,1,210860.0,210860,210860
10472,Illegal Parking,EAST172 STREET,High Y-Coord,1,241955.0,241955,241955
11372,Illegal Parking,37 AVENUE,Medium Y-Coord,1,213549.0,213549,213549
11101,Illegal Parking,24 STREET,Medium Y-Coord,2,214519.0,429038,214519
