dbn,t2_dbn,school_name,t3_school_name,code1,t4_code1,phone_number,t5_phone_number,record_count,total_amount,avg_amount,max_amount,min_amount
20K445,20K445,New Utrecht High School,New Utrecht High School,K28A,K28A,718-232-2500,718-232-2500,1,0.80000001,0.80000001,0.80000001,0.80000001
03M860,03M860,Frederick Douglass Academy II Secondary School,Frederick Douglass Academy II Secondary School,M39A,M39A,212-865-9260,212-865-9260,1,0.81,0.81,0.81,0.81
31R460,31R460,Susan E. Wagner High School,Susan E. Wagner High School,R17A,R17A,718-698-4200,718-698-4200,1,0.82999998,0.82999998,0.82999998,0.82999998
28Q687,28Q687,Queens High School for the Sciences at York College,Queens High School for the Sciences at York College,Q00S,Q00S,718-657-3181,718-657-3181,1,0.92000002,0.92000002,0.92000002,0.92000002
21K620,21K620,William E. Grady Career and Technical Education High School,William E. Grady Career and Technical Education High School,K67A,K67A,718-332-5000,718-332-5000,1,0.80000001,0.80000001,0.80000001,0.80000001
31R028,31R028,"Eagle Academy for Young Men of Staten Island, The","Eagle Academy for Young Men of Staten Island, The",R28L,R28L,718-727-6201,718-727-6201,1,0.83999997,0.83999997,0.83999997,0.83999997
10X440,10X440,DeWitt Clinton High School,DeWitt Clinton High School,X10A,X10A,718-543-1000,718-543-1000,1,0.75999999,0.75999999,0.75999999,0.75999999
25Q670,25Q670,Robert F. Kennedy Community High School,Robert F. Kennedy Community High School,Q70A,Q70A,718-969-5510,718-969-5510,1,0.83999997,0.83999997,0.83999997,0.83999997
13K674,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology","City Polytechnic High School of Engineering, Architecture, and Technology",L59A,L59A,718-875-1473,718-875-1473,1,0.77999997,0.77999997,0.77999997,0.77999997
21K559,21K559,Life Academy High School for Film and Music,Life Academy High School for Film and Music,L38A,L38A,718-333-7750,718-333-7750,1,0.76999998,0.76999998,0.76999998,0.76999998
23K493,23K493,Brooklyn Collegiate: A College Board School,Brooklyn Collegiate: A College Board School,K93X,K93X,718-922-1145,718-922-1145,1,0.87,0.87,0.87,0.87
02M543,02M543,New Design High School,New Design High School,M53A,M53A,212-475-4148,212-475-4148,1,0.88999999,0.88999999,0.88999999,0.88999999
21K728,21K728,Liberation Diploma Plus,Liberation Diploma Plus,L72A,L72A,718-946-6812,718-946-6812,1,0.89999998,0.89999998,0.89999998,0.89999998
12X248,12X248,"Metropolitan High School, The","Metropolitan High School, The",X77R,X77R,718-991-4634,718-991-4634,1,0.73000002,0.73000002,0.73000002,0.73000002
13K605,13K605,George Westinghouse Career and Technical Education High School,George Westinghouse Career and Technical Education High School,K70C,K70C,718-625-6130,718-625-6130,1,0.79000002,0.79000002,0.79000002,0.79000002
02M551,02M551,Urban Assembly New York Harbor School,Urban Assembly New York Harbor School,K51A,K51A,212-458-0800,212-458-0800,1,0.88999999,0.88999999,0.88999999,0.88999999
31R080,31R080,"Michael J. Petrides School, The","Michael J. Petrides School, The",R15J,R15J,718-815-0186,718-815-0186,1,0.77999997,0.77999997,0.77999997,0.77999997
29Q492,29Q492,"Mathematics, Science Research and Technology Magnet High School","Mathematics, Science Research and Technology Magnet High School",Q55A,Q55A,718-978-1837,718-978-1837,1,0.81,0.81,0.81,0.81
02M303,02M303,"Facing History School, The","Facing History School, The",M02R,M02R,212-757-2680,212-757-2680,1,0.88,0.88,0.88,0.88
27Q334,27Q334,Epic High School - North,Epic High School - North,Q65A,Q65A,718-570-8230,718-570-8230,1,0.87,0.87,0.87,0.87
10X284,10X284,Bronx School of Law and Finance,Bronx School of Law and Finance,X28A,X28A,718-561-0113,718-561-0113,1,0.80000001,0.80000001,0.80000001,0.80000001
17K745,17K745,Brooklyn Institute for Liberal Arts (BILA),Brooklyn Institute for Liberal Arts (BILA),L17A,L17A,718-221-1097,718-221-1097,1,0.87,0.87,0.87,0.87
