bin,nta,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_est_gross_income,queens_cooperatives_comparable_properties_gross_income_per_sqft,rank,dense_rank
4007112.0,Astoria                                                                    ,47.5,212352,12.64,1,1
4051462.0,Forest Hills                                                               ,66.0,701589,16.2,1,1
4078759.0,Forest Hills                                                               ,56.0,1766335,14.1,5,1
4113180.0,Flushing                                                                   ,39.1,1676100,11.1,3,1
4119923.0,Murray Hill                                                                ,49.2,170000,13.08,2,1
4065242.0,Rego Park                                                                  ,55.0,1322048,14.0,1,1
4000969.0,Hunters Point-Sunnyside-West Maspeth                                       ,65.0,1029600,16.0,1,1
4115401.0,Flushing                                                                   ,46.6,2124356,12.4,2,1
4193459.0,Kew Gardens                                                                ,38.8,476124,11.0,1,1
4304908.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,56.0,577324,14.04,1,1
4113841.0,Murray Hill                                                                ,51.0,1168776,13.5,1,1
4210164.0,Jamaica                                                                    ,41.6,698088,11.8,1,1
4431751.0,Corona                                                                     ,48.0,3001860,12.75,1,1
4443729.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,5940363,14.57,1,1
4052582.0,Forest Hills                                                               ,57.0,1836715,14.5,4,1
4074614.0,Forest Hills                                                               ,63.0,1774080,15.4,2,1
4064929.0,Elmhurst                                                                   ,47.3,679266,12.6,1,1
4434846.0,Lindenwood-Howard Beach                                                    ,41.7,1761180,11.82,1,1
4435022.0,Lindenwood-Howard Beach                                                    ,23.62,570601,7.7,2,1
4035712.0,Jackson Heights                                                            ,38.7,982800,11.0,1,1
4065248.0,Rego Park                                                                  ,56.0,809424,14.0,1,1
4116426.0,Flushing                                                                   ,48.3,1000000,12.85,1,1
4170057.0,Douglas Manor-Douglaston-Little Neck                                       ,41.4,1331651,11.75,2,1
4104354.0,Whitestone                                                                 ,40.5,467958,11.5,1,1
4455192.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,1374666,14.52,2,1
4315314.0,Douglas Manor-Douglaston-Little Neck                                       ,42.3,1827432,12.0,1,1
4431565.0,North Corona                                                               ,50.0,3857000,13.3,1,1
4453850.0,Briarwood-Jamaica Hills                                                    ,54.0,3468566,13.7,1,1
4454685.0,Glen Oaks-Floral Park-New Hyde Park                                        ,42.4,1136220,12.0,1,1
4002131.0,Hunters Point-Sunnyside-West Maspeth                                       ,60.0,801000,15.0,2,1
4052427.0,Forest Hills                                                               ,62.0,1224300,15.25,3,1
