contract_name,funding_category,date_funds_announced_by_nyc,final_spending_deadline,_of_funds_to_be_spent_by_interim_spending_deadine,project_name,date_funds_awarded_by_fed_state,rank,dense_rank
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
Energy Efficient Refrigerator Replacement at various locations,Infrastructure,2009-04-26 00:00:00,2012-03-17 00:00:00,60.0,Energy Efficient Refrigerator Replacement at various locations,2009-03-18 00:00:00,1,1
