device_id,job_filing_number,physical_address,bis_nyc_device_id,elevator_type,total,count,average
1P19021,M01042439-I1,338 5 AVENUE,1P19021,Passenger,960.0,1,960.0
1P28681,M00121955-I1,41 EAST 89 STREET,1P28681,Passenger,385.0,1,385.0
1P40720,M00201338-I1,34 RIVER TERRACE,1P40720,Passenger,350.0,1,350.0
1P25582,M00204225-I1,280 PARK AVENUE,1P25582,Passenger,332.0,1,332.0
1P3256,M00547393-P2,53 5 AVENUE,1P3256,Passenger,300.0,1,300.0
1P718,M00724655-I1,115 BROADWAY,1P718,Passenger,280.0,1,280.0
1P28868,M00128274-I1,77 WATER STREET,1P28868,Passenger,167.0,1,167.0
1P45731,M00898726-I1,540 WEST  120 STREET,1P45731,Passenger,162.0,1,162.0
1P371,M00080062-P1,303 WEST 86 STREET,1P371,Passenger,160.0,1,160.0
1P11985,M00171891-I1,268 PARK AVENUE SOUTH,1P11985,Passenger,139.0,1,139.0
1P27261,M00193197-I1,321 EAST 16 STREET,1P27261,Passenger,120.0,1,120.0
1P19799,M00210757-I1,30 MONROE STREET,1P19799,Passenger,118.0,1,118.0
1P26568,M00254733-I1,1206 6 AVENUE,1P26568,Passenger,117.7,1,117.7
1P24315,M00183708-I1,66 OVERLOOK TERRACE,1P24315,Passenger,100.0,1,100.0
3P0995329,B00710408-I1,88 LINDEN BOULEVARD,3P0995329,Passenger,93.08,1,93.08
2P1813,X00187687-I1,114 WEST 183 STREET,2P1813,Passenger,84.0,1,84.0
4P3077,Q00305648-I1,167-15 12 AVENUE,4P3077,Passenger,80.0,1,80.0
1P46370,M00026276-P1,50 DOWNING STREET,1P46370,Passenger,76.0,1,76.0
4P1877,Q00275844-I1,40-50 DENMAN STREET,4P1877,Passenger,74.0,1,74.0
3P12156,B00197364-I1,47 NORTH 8 STREET,3P12156,Passenger,70.0,1,70.0
1P1809,M00163402-I1,600 WEST 165 STREET,1P1809,Passenger,65.0,1,65.0
1P43008,M00278202-I1,112 BENNETT AVENUE,1P43008,Passenger,65.0,1,65.0
2P4966,X00688848-P1,1010 EAST  163 STREET,2P4966,Passenger,60.0,1,60.0
4P5917,Q00889875-I1,108-15 48 AVENUE,4P5917,Passenger,60.0,1,60.0
3P13796,B00102117-I1,236 ATLANTIC AVENUE,3P13796,Passenger,60.0,1,60.0
1P20419,M00315470-I1,104 POST AVENUE,1P20419,Passenger,60.0,1,60.0
1P35609,M00174384-I1,268 CANAL STREET,1P35609,Passenger,60.0,1,60.0
4P11428,Q00322628-I1,83-30 KEW GARDENS ROAD,4P11428,Passenger,50.0,1,50.0
3P11459,B01037519-I1,104 LUQUER STREET,3P11459,Passenger,49.0,1,49.0
3P13822,B00361636-I1,874 JEFFERSON AVENUE,3P13822,Passenger,48.0,1,48.0
3P12779,B00881496-I1,128 BRIGHTON BEACH AVENUE,3P12779,Passenger,45.0,1,45.0
1P1000467,M01050759-I1,219 CANAL STREET,1P1000467,Passenger,43.0,1,43.0
3P7312,B01186523-I1,2316 SURF AVENUE,3P7312,Passenger,30.0,1,30.0
1P21006,M00105366-I1,1 EAST 75 STREET,1P21006,Passenger,30.0,1,30.0
1P37080,M00047252-I1,686 BROADWAY,1P37080,Passenger,13.0,1,13.0
5P0997182,S08026288-P1,75 BENNETT STREET,5P0997182,Passenger,12.2,1,12.2
4P15525,Q00279628-I1,121-22 ROOSEVELT AVENUE,4P15525,Passenger,11.6,1,11.6
1P26912,M00333832-I1,777 3 AVENUE,1P26912,Passenger,10.0,1,10.0
3W0997347,B00807906-I1,55 WATER STREET,3W0997347,,2.07,1,2.07
1P47939,M00318072-I1,112 EAST 73 STREET,1P47939,Passenger,0.0,1,0.0
