ntaname20,permityear,total,count,average
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2022.0,1234.0,2,617.0
Bayside,2022.0,915.0,1,915.0
Woodside,2022.0,900.0,1,900.0
West Village,2022.0,875.0,1,875.0
West Village,2021.0,875.0,1,875.0
East Flatbush-Farragut,2024.0,717.0,2,358.5
Inwood,2022.0,589.0,1,589.0
Washington Heights (South),2023.0,583.0,1,583.0
East Village,2023.0,502.0,1,502.0
Bushwick (East),2023.0,298.0,2,149.0
Grasmere-Arrochar-South Beach-Dongan Hills,2023.0,287.0,1,287.0
Westerleigh-Castleton Corners,2025.0,282.0,1,282.0
Bedford-Stuyvesant (West),2025.0,274.0,2,137.0
Borough Park,2023.0,228.0,1,228.0
Bushwick (East),2025.0,200.0,2,100.0
Brooklyn Heights,2024.0,116.0,1,116.0
Park Slope,2023.0,109.0,1,109.0
Bushwick (West),2023.0,80.0,1,80.0
Greenpoint,2023.0,45.0,1,45.0
Williamsburg,2024.0,42.0,1,42.0
East Williamsburg,2024.0,41.0,1,41.0
