school_name,principal,school_type,record_count,total_amount,avg_amount,max_amount,min_amount
Brooklyn Democracy Academy,Thomas Mckenna,Transfer School,1,8.0,8.0,8.0,8.0
Richard R. Green High School of Teaching,David Raubvogel,High School,1,7.6,7.6,7.6,7.6
J.H.S. 014 Shell Bank,Anne Tully,Middle School,1,7.0,7.0,7.0,7.0
Leadership and Public Service High School,Lawrence Pendergast,High School,1,7.3,7.3,7.3,7.3
Queens Vocational and Technical High School,Denise Vittor,High School,1,7.1,7.1,7.1,7.1
Eleanor Roosevelt High School,Dimitri Saliani,High School,1,8.2,8.2,8.2,8.2
Jill Chaifetz Transfer High School,Anne Fennelly,Transfer School,1,7.2,7.2,7.2,7.2
Isaac Newton Middle School for Math & Science,Lisa Nelson,Middle School,1,7.9,7.9,7.9,7.9
J.H.S. M044 William J. O'Shea,Liza Ortiz,Middle School,1,7.1,7.1,7.1,7.1
DreamYard Preparatory School,Rod Bowen,High School,1,6.5,6.5,6.5,6.5
Multicultural High School,Altagracia Liciaga,High School,1,7.2,7.2,7.2,7.2
Boys and Girls High School,Spencer Holder,High School,1,6.7,6.7,6.7,6.7
"Mathematics, Science Research and Technology Magnet High School",Andrea G. Holt,High School,1,6.5,6.5,6.5,6.5
High School of American Studies at Lehman College,Alessandro Weiss,High School,1,8.5,8.5,8.5,8.5
John V. Lindsay Wildcat Academy Charter School,Ron Tabano & Marc Donald,Transfer School,1,8.4,8.4,8.4,8.4
Abraham Lincoln YABC,Ari Hoogenboom,YABC,1,8.0,8.0,8.0,8.0
High School for Law Enforcement and Public Safety,Diahann E. Malcolm,High School,1,6.6,6.6,6.6,6.6
George Washington Educational Campus YABC,Nicholas Politis,High School,1,8.7,8.7,8.7,8.7
M.S. 243 Center School,Elaine Schwartz,Middle School,1,9.1,9.1,9.1,9.1
P.S. 207 Elizabeth G. Leary,Mary Bosco,Elementary/ Middle School,1,8.2,8.2,8.2,8.2
"High School for Arts, Imagination and Inquiry",Stephen Noonan,High School,1,6.6,6.6,6.6,6.6
Frances Perkins Academy,Javier Guzman,High School,1,6.4,6.4,6.4,6.4
P.S. 101 Andrew Draper,Alexander Castillo,Middle School,1,7.0,7.0,7.0,7.0
M.S. 223 The Laboratory School of Finance and Technology,Ramon Gonzalez,Middle School,1,8.0,8.0,8.0,8.0
Fannie Lou Hamer Freedom High School,Nancy Mann,High School,1,7.9,7.9,7.9,7.9
P.S. 137 John L. Bernstein,Melissa Rodriguez,Elementary School,1,7.9,7.9,7.9,7.9
P.S. /I.S. 384 Frances E. Carter,Brunhilda Perez-Ortiz,Elementary/ Middle School,1,7.8,7.8,7.8,7.8
Upper School @ P.S. 25,William Cooper,Middle School,1,6.7,6.7,6.7,6.7
Urban Assembly Academy of Civic Engagement,Cameron Berube,Middle School,1,7.2,7.2,7.2,7.2
High School for Contemporary Arts,Francisco Sanchez,High School,1,7.7,7.7,7.7,7.7
P.S. 133 Fred R Moore,Pamela Craig,Elementary School,1,7.4,7.4,7.4,7.4
I.S. 072 Rocco Laurie,Peter Macellari,Middle School,1,7.0,7.0,7.0,7.0
M.S. 390,Robert Mercedes,Middle School,1,7.4,7.4,7.4,7.4
M.S. 224 Manhattan East School for Arts & Academics,Liliana Sarro,Middle School,1,7.5,7.5,7.5,7.5
Port Richmond High School,Timothy M. Gannon,High School,1,6.7,6.7,6.7,6.7
Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,High School,1,7.6,7.6,7.6,7.6
Grace Dodge Career and Technical Education High School,Roberto Hernandez,High School,1,6.8,6.8,6.8,6.8
P.S. 003 The Margaret Gioiosa School,Donna Gioello,Elementary School,1,8.7,8.7,8.7,8.7
P.S./I.S. 210 - 21st Century Academy for Community Leadership,Evelyn Linares,Elementary/ Middle School,1,8.5,8.5,8.5,8.5
Franklin Delano Roosevelt High School,Geraldine Maione,High School,1,7.0,7.0,7.0,7.0
P.S. 051 Elias Howe,Nancy Sing Bock,Elementary School,1,9.0,9.0,9.0,9.0
High School for Service & Learning at Erasmus,Leonard Kassan,High School,1,7.2,7.2,7.2,7.2
I.S. 98 Bay Academy,Mrs. Marian Nagler,Middle School,1,7.8,7.8,7.8,7.8
P.S. 161 Pedro Albizu Campos,Barbara D. Freeman,Elementary School,1,8.1,8.1,8.1,8.1
Pablo Neruda Academy for Architecture and World Studies,Ivan Cohen,High School,1,6.7,6.7,6.7,6.7
George Washington Educational Campus YABC,Nicholas Politis,YABC,1,8.7,8.7,8.7,8.7
Queens High School for the Sciences at York College,Jie Zhang,High School,1,7.9,7.9,7.9,7.9
Bronx Latin,Leticia Pineiro,Middle/ High School,1,7.1,7.1,7.1,7.1
P.S. 046 Arthur Tappan,George Young,Elementary School,1,7.9,7.9,7.9,7.9
University Neighborhood High School,Robert Miller,High School,1,6.3,6.3,6.3,6.3
River East Elementary,Alison Mckenzie,Elementary School,1,8.5,8.5,8.5,8.5
Grace Dodge Career and Technical Education High School,Roberto Hernandez,YABC,1,6.8,6.8,6.8,6.8
