dbn,total_attendance_rate
19K615,0.84
14K449,4.779999999999999
02M437,0.79
14K488,0.86
25Q670,0.9
28Q325,0.85
28Q686,0.92
19K502,0.8
21K690,0.87
02M519,0.93
02M489,0.88
30Q258,0.94
23K514,0.82
28Q690,0.89
08X530,0.8
03M402,0.84
06M423,0.68
29Q326,0.86
13K605,0.88
12X521,0.79
13K594,0.78
