incident_address,total_y_coordinate_state_plane,additional_details,closed_date
611 GREENWOOD AVENUE,176644,Parked In Crosswalk,2025-12-10 16:24:50
1522 GREENE AVENUE,195430,Blocking Driveway,2025-12-14 22:46:18
83-72 VIETOR AVENUE,419772,Parked On Sidewalk,2025-12-23 14:39:04
23-15 39 AVENUE,429038,Parked In 'No Stopping' Area,2025-12-12 21:39:44
1503 85 STREET,162170,Blocking Driveway,2025-12-15 10:09:41
99 CHESTNUT STREET,189056,Parked In Front Of Fire Hydrant,2025-12-22 07:00:02
34-25 109 STREET,429556,Blocking Driveway,2025-12-16 15:01:45
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-10 13:58:02
275 GLENMORE AVENUE,1474488,Parked On Sidewalk,2025-12-18 22:51:26
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-15 09:52:41
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-13 13:57:34
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-15 17:19:39
40-49 74 STREET,210860,Blocking Driveway,2025-12-14 21:23:00
168-01 UNION TURNPIKE,66905850,Parked On Sidewalk,2025-12-18 09:55:42
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-23 04:44:52
140-17 84 DRIVE,197873,Parked In 'No Standing' Area,2025-12-10 18:16:57
510 FLATBUSH AVENUE,180403,Parked In 'No Standing' Area,2025-12-20 04:20:51
1569 WEST TENTH STREET,161004,Parked In Front Of Fire Hydrant,2025-12-18 14:51:12
142-15 110 AVENUE,189285,Parked In 'No Standing' Area,2025-12-15 02:57:08
500 WEST 30 STREET,213296,Parked In 'No Standing' Area,2025-12-23 16:59:31
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-21 03:04:56
100 MESEROLE AVENUE,8165720,Parked On Sidewalk,2025-12-19 06:46:30
EAST 170 STREET,243768,Parked On Sidewalk,2025-12-19 16:54:53
71-01 PARSONS BOULEVARD,25871328,Parked On Sidewalk,2025-12-22 10:12:54
5-47 50 AVENUE,40323264,Parked On Sidewalk,2025-12-16 06:06:38
35-63 95 STREET,213549,Blocking Driveway,2025-12-20 20:12:45
