id,referencenumber,statusdate,schoolhold,hurricanesandy,crossstreet1,oldreferencenumber
126677,CK04-0178A,2004-05-14T00:00:00.000,No,No,EAST   28 STREET,
145247,CQ18-2688B,2020-09-16T00:00:00.000,No,No,METROPOLITAN AVENUE,
114208,CQ15-3037B,2016-02-10T00:00:00.000,No,No,173 STREET,
126741,CQ04-0428A,2004-06-06T00:00:00.000,No,No,,
134747,CS16-2824B,2017-01-25T00:00:00.000,No,No,FOUR CORNERS ROAD,
145217,CM18-2658B,2018-12-10T00:00:00.000,No,No,,
37436,CM14-0775B,2014-10-09T00:00:00.000,No,No,EAST   83 STREET,
115513,CS02-0480B,2002-05-17T00:00:00.000,No,No,ARDEN AVENUE,
156877,CQ20-1726B,2020-10-13T00:00:00.000,No,No,OCEANIA STREET,
131255,CM04-2262B,2004-11-24T00:00:00.000,No,No,31ST STREET,
151645,CS19-3441B,2020-03-10T00:00:00.000,No,No,DECKER AVENUE,
32527,CM12-0865B,2012-11-23T00:00:00.000,No,No,WEST  135 STREET,
118443,CQ00-0715B,2000-05-31T00:00:00.000,No,No,,
120781,CS99-1893B,2000-02-01T00:00:00.000,No,No,SCHOOL ROAD,
123287,CM01-0781B,2001-06-20T00:00:00.000,No,No,,
34212,CK13-0104B,2013-05-20T00:00:00.000,No,No,ELDERT LANE,
137561,CM17-1233B,2017-07-19T00:00:00.000,No,No,WEST   81 STREET,
151436,CK19-3232B,2020-10-05T00:00:00.000,No,No,MIDWOOD STREET,
18071,CQ06-0139A,2006-02-01T00:00:00.000,No,No,,
153893,CS20-0710B,2020-10-27T00:00:00.000,No,No,HYLAN BOULEVARD,
29883,CK11-0605A,2016-10-28T00:00:00.000,No,No,THIRD,
132083,CM05-1118A,2005-08-02T00:00:00.000,No,No,125TH STREET,
30995,CQ11-1665B,2016-10-28T00:00:00.000,No,No,YELLOWSTONE BOULEVARD,
25977,CK09-1107B,2009-08-03T00:00:00.000,No,No,GOLD STREET,
122180,CQ00-0977B,2001/03/05 00:00:00,No,No,WHITEHALL TERRACE,
135201,CM16-3278B,2017-03-10T00:00:00.000,No,No,,
3353,CQ96-1484,1996-12-13T00:00:00.000,No,No,LAWRENCE STREET,
18699,CX06-0755A,2006-07-20T00:00:00.000,No,No,,
38612,CK14-1895,2018-02-13T00:00:00.000,No,No,BOERUM PLACE,CK12-1757
116716,ck02-0792b,2002-05-22T00:00:00.000,No,No,82 AVENUE,
121882,CS00-1750B,2001-03-08T00:00:00.000,No,No,OLD TOWN ROAD,
141908,CM18-0345B,2018-04-06T00:00:00.000,No,No,WEST   34 STREET,
132711,CQ16-0789B,,No,No,UNION TURNPIKE/81ST ROAD,DOT-295151-S5L8
133371,CQ16-1449B,2016-11-25T00:00:00.000,No,No,LIE,
28679,CK10-1516A,2010-11-22T00:00:00.000,No,No,KENT AVENUE,
31376,CK1,2011-12-06T00:00:00.000,No,No,,
122839,CQ00-2055B,2000-11-28T00:00:00.000,No,No,FRANCIS LEWIS BOULEVARD,
19391,CK06-1461A,2007-02-14T00:00:00.000,No,No,COURT STREET,
30789,CQ11-1465A,2012-01-18T00:00:00.000,No,No,149 STREET,
37614,CQ14-0938B,2014-07-30T00:00:00.000,No,No,COLLEGE POINT BOULEVARD @ 37TH AVENUE/39TH AVENUE,
156641,#CS20-1490B,2020-10-27T00:00:00.000,No,No,FIELDWAY AVENUE,
38571,CK14-1855B,2017-05-09T00:00:00.000,No,No,68 STREET,
41133,CK1,2015-07-16T00:00:00.000,No,No,78 STREET,
130370,CM05-1741B,2005-10-13T00:00:00.000,No,No,WEST  143 STREET,
180664,CM22-1920B,2022-12-06T00:00:00.000,No,No,WEST   14 STREET,
128668,CQ04-0094A,2004-02-27T00:00:00.000,No,No,44 STREET,
188514,CQ23-1104B,2023-04-21T00:00:00.000,No,No,,
145537,CM18-2978B,2019-03-05T00:00:00.000,No,No,WEST  168 STREET,
18832,CM06-0907A,2006-06-06T00:00:00.000,No,No,EAST   81 STREET,
114811,CK16-0434B,,No,No,AVENUE C - K,
18731,CQ06-0806A,2006-05-23T00:00:00.000,No,No,,
133369,CQ16-1447B,2018-08-22T00:00:00.000,No,No,37 STREET,
38062,CQ14-1362B,2014-11-18T00:00:00.000,No,No,SILVER ROAD,
116865,CKQ99-0389,1999-08-26T00:00:00.000,No,No,,
148658,CS19-1452B,2019-11-22T00:00:00.000,No,No,ARMSTRONG AVENUE,
26269,CM09-1386A,2009-11-20T00:00:00.000,No,No,EAST   60 STREET,
35152,CK13-0973B,2013-07-09T00:00:00.000,No,No,,
39533,CK15-0097B,2015-06-29T00:00:00.000,No,No,NOSTRAND AVENUE,
28430,C S10-1275,2011-09-09T00:00:00.000,No,No,WEST SHORE EXPRESSWAY,
131618,CK05-0371A,2005-06-08T00:00:00.000,No,No,FLATBUSH AVENUE,
116292,cqo1-1215b,2001-07-31T00:00:00.000,No,No,,
40529,CM15-0954-I1,2016-01-12T00:00:00.000,No,No,LEXINGTON AVENUE,
40140,CK15-0605B,2015-08-05T00:00:00.000,No,No,EASTERN PARKWAY,
38697,CM14-1979,2015-09-08T00:00:00.000,No,No,WEST   86 STREET,CM12-0227
140892,CK17-3586B,2018-01-22T00:00:00.000,No,No,QUENTIN ROAD,
25595,CK09-0748A,2009-08-10T00:00:00.000,No,No,86 STREET,
119705,CS98-1509B,1999-02-09T00:00:00.000,No,No,SCHMIDTS LANE,
18336,CK06-0398A,2006-05-23T00:00:00.000,No,No,HALSEY STREET,
124361,CK03-0612B,2003-05-06T00:00:00.000,No,No,FLATLANDS AVENUE,
118230,CK98-0055,1999/07/02 00:00:00,No,No,LINDEN BOULEVARD,
20102,CM06-2157,2007-04-06T00:00:00.000,No,No,STATE STREET,
120603,CM99-2053B,2000-02-10T00:00:00.000,No,No,WEST  108 STREET,
144967,CK18-2408B,2019-07-25T00:00:00.000,No,No,86 STREET,
17875,CM05-2202A,2006-03-17T00:00:00.000,No,No,17TH STREET,
157279,CS20-2128B,2020-10-27T00:00:00.000,No,No,TRANTOR PLACE,
128214,CK03-0013B,2003-01-21T00:00:00.000,No,No,FLATBUSH AVENUE,
124891,CQ03-1645B,2003-11-28T00:00:00.000,No,No,25 AVENUE,
19696,CQ06-1752B,2006-10-06T00:00:00.000,No,No,,
145565,CX18-3006B,2019-02-25T00:00:00.000,No,No,NEREID AVENUE,
129311,CA05-0188A,2005-03-15T00:00:00.000,No,No,,
164080,CK21-0377B,2023-04-03T00:00:00.000,No,No,KINGS HIGHWAY,
36990,CK14-0355,2014-06-17T00:00:00.000,No,No,REMSEN AVENUE,
29817,CX11-0542,2011-06-16T00:00:00.000,No,No,GRAND CONCOURSE,CX05-2081
140694,CS17-3388B,2018-01-24T00:00:00.000,No,No,SLOSSON AVENUE,
17887,CQ05-2214A,2006-03-31T00:00:00.000,No,No,49 STREET,
130948,CX04-1758B,2004-10-15T00:00:00.000,No,No,WILLIS  AVENUE @ E. 141ST STREET,
134856,CM16-2933B,2017-02-28T00:00:00.000,No,No,WEST   39 STREET,
30035,CK11-0745A,2012-07-25T00:00:00.000,No,No,PROMENADE,
145799,CK18-3240B,2018-12-28T00:00:00.000,No,No,68 STREET,
127810,CM03-0150B,2003-02-18T00:00:00.000,No,No,,
35034,CQ13-0860B,2013-07-23T00:00:00.000,No,No,84 STREET,
18039,CX06-0107A,2006-01-26T00:00:00.000,No,No,,
133578,CS16-1656B,2017-03-03T00:00:00.000,No,No,BEACH AVENUE,
138182,CK17-1854B,2017-09-25T00:00:00.000,No,No,OCEAN PARKWAY,
134686,CS16-2763B,2017-02-22T00:00:00.000,No,No,GIFFORDS LANE,
117848,CM99-0289B,1999-05-13T00:00:00.000,No,No,AVENUE C,
18821,CS06-0895A,2006-05-25T00:00:00.000,No,No,,
37568,CK14-0893,2015-01-16T00:00:00.000,No,No,OCEAN PARKWAY,CK12-0428
132974,CQ16-1052B,,No,No,B    9 STREET,DOT-298539-J9P4
124789,CX03-1427,2005-05-25T00:00:00.000,No,No,WEBSTER AVENUE,
129751,CK04-0599,2004-06-17T00:00:00.000,No,No,JORALEMON STREET,
24647,CS08-1979B,2016-11-07T00:00:00.000,No,No,GOETHALS ROAD NORTH,
127975,CX04-1142B,2004-06-23T00:00:00.000,No,No,,
38024,CQ14-1329B,2014-12-10T00:00:00.000,No,No,141 STREET,
17533,CM05-1902A,2006-01-25T00:00:00.000,No,No,EAST   56 STREET,
131208,cs04-2227a,2004-11-18T00:00:00.000,No,No,AMBOY ROAD,
33248,CQ12-1560,2013-04-17T00:00:00.000,No,No,GUY R BREWER BOULEVARD,
18086,CX06-0154A,2006-02-02T00:00:00.000,No,No,,
18248,CM06-0311A,2006-02-28T00:00:00.000,No,No,3 AVENUE,
143217,CM18-1653B,2018-11-15T00:00:00.000,No,No,EAST   63 STREET,
142179,CM18-0615B,2018-04-24T00:00:00.000,No,No,EAST  125 STREET,
24531,CM08-1876B,2008-11-20T00:00:00.000,No,No,,
121375,CM99-2293B,2000-01-14T00:00:00.000,No,No,,
24971,CQ09-0159A,2009-04-27T00:00:00.000,No,No,HORACE HARDING EXPRESSWAY,
121918,CQ00-1634B,2000-09-20T00:00:00.000,No,No,,
145895,CQ18-3336B,2019-04-01T00:00:00.000,No,No,57 AVENUE,
36933,CK14-0302B,2014/03/20 00:00:00,No,No,VARIOUS,
187602,CX23-0192B,2023-06-21T00:00:00.000,No,No,BAILEY AVENUE,
30568,CM11-1254,2011-10-27T00:00:00.000,No,No,YORK AVENUE,
38435,CQ14-1722B,2015/03/13 00:00:00,No,No,,
142867,CK18-1303B,2018-07-03T00:00:00.000,No,No,EAST   96 STREET,
41591,CK15-1867B,2019/01/15 00:00:00,No,No,,
25485,CX09-0638A,2009-08-05T00:00:00.000,No,No,WEST  236 STREET,
165377,CS21-0691B,2021-06-18T00:00:00.000,No,No,SLOSSON AVENUE,
19123,cx06-1203a,2006-12-27T00:00:00.000,No,No,SEDGWICK AVENUE,
128332,CK03-2191A,2004-02-20T00:00:00.000,No,No,PRESIDENT STREET,
128100,CQ02-2082,2003-02-27T00:00:00.000,No,No,207 STREET,
141886,CQ18-0323B,2018-06-19T00:00:00.000,No,No,93 STREET,
138769,CQ17-2441B,2017-08-13T00:00:00.000,No,No,31 STREET,
39950,CS15-0428B,2015-05-08T00:00:00.000,No,No,FOREST HILL ROAD,
