summons_number,vehicle_year,vehicle_color,violation_time
8567258510,2013,GY,0811P
8373035606,0,WHITE,0327P
8045690525,2006,BL,1046P
8548683491,2003,BL,0836A
1425037150,2014,YELLO,0904A
8480008386,0,WHITE,1010A
4626433406,2016,GR,1236P
8528957299,0,BLACK,0204P
7074247583,2002,WH,0501P
4629456200,2015,BK,0203P
8051563013,2016,RD,0754A
8545600793,2004,GY,0620A
4623606030,2013,GY,0133P
5092992013,2009,RD,0221P
8505921860,2006,WHITE,0137P
8526933723,2013,RD,0822A
8482713190,0,WHITE,0448P
7884234725,2012,WH,0122P
7664586148,1999,SILVE,1117A
8122522350,0,BLACK,0815A
8465516674,0,WHITE,0712A
4623805268,2010,GR,0225P
8268613713,2016,BK,1127A
7189993381,2005,GY,0628A
4632404550,0,GY,0854A
1416942749,1997,BROWN,0410P
7473539668,0,SILVE,1037A
8499707361,2016,WHITE,1116A
8091522538,2013,GY,1157A
8520702168,0,OTHER,0633P
8514751979,0,GREY,0826A
7037598884,2016,GY,0207P
7809122939,2014,WH,0955A
8428503187,0,RED,1117P
1402805743,0,BK,0435P
8520563478,2014,WH,0518P
8382003813,2007,TN,0945A
8477708794,2015,WHITE,1056A
1414437330,2005,BL,1207P
7034263905,2002,GY,1152A
8.47e+09,2012,GREY,0408P
8479588056,0,GREEN,0709A
8134545646,0,OTHER,0953A
1412929544,2003,BLUE,1026A
8066031208,2011,BROWN,1218P
8484553322,2015,RD,0319P
4007039033,2001,WH,1037A
4622430964,2016,GY,1038A
462560227000.00%,2015,BK,0233P
8193533434,2014,WH,0848A
5093304037,2013,GY,1142P
8506010706,0,GREY,0223P
8089522324,0,WHITE,0421P
8520017710,2016,RD,0236P
7025551077,0,WHITE,0522P
7811899826,2005,BL,0935A
8513731055,0,BLUE,0515P
141404950000.00%,0,WT,0528A
8535304691,2015,BK,1055A
1424388960,0,WH,0617P
4625230688,2003,GRN,0114P
8521456323,2012,WH,0205P
1418679045,2009,WH,1017A
1418906864,2015,BLACK,0236A
8506030640,0,BLACK,0210P
7326398677,2016,WH,0111P
8491203813,2011,BK,0844A
8539360652,2011,GY,0602P
5096279601,2015,BK,1042A
8484863657,0,WHITE,0812A
8276028019,0,WHITE,1035A
8154043038,2016,BK,1044A
5092464203,2016,,0345P
4626544575,1998,WH,0206P
8152070002,2016,WH,0932A
1417038524,2005,BLUE,0438P
8239544563,2016,BL,0639A
5092855551,2015,WH,0230P
8552554756,2015,BL,0958A
4626371474,1999,RD,0255P
7077040756,2015,BK,0836A
1420463433,2007,BLACK,0720A
8353020634,0,WHITE,0245P
8156056668,2005,GY,1121A
8206015632,0,WHITE,0801A
7491170766,2005,WHITE,0226P
8233516077,2003,WH,0426P
8485000122,0,GREY,0342P
7664586203,0,WHITE,0732A
7873331880,0,GREY,0621A
8520005652,2011,WH,0456P
8378031354,0,GREY,1114A
8409002061,2005,GY,0434P
7.06e+09,2015,BLACK,0739A
8074061255,0,BROWN,0822A
817354025100.00%,2006,BR,0139P
7924512226,0,SILVE,0254P
1415868451,2015,BLACK,1150A
1420558390,0,BLACK,0735A
7777195815,2002,BK,0316P
5096789070,2017,GY,0126P
1.42e+09,2006,WH,1208P
8114026649,0,WHITE,0725A
7057128885,0,GREY,0339P
4635051523,2016,WH,0916A
8535125516,2005,BK,0310P
7880385654,2011,GY,1216P
8548610761,2010,BL,0435P
7080244705,2004,BK,1037A
8482403205,2016,YELLO,0435P
8511452138,2005,RD,0940A
8566658772,2016,WH,1017A
8394049205,0,SILVE,0854P
7061980138,2016,BR,0945A
8525320055,0,SILVE,0835A
1416727474,0,BK,0105A
4634438409,2008,WH,1246P
8525962235,2015,WH,1238P
8497604581,2016,WH,0913A
8491018876,1999,GY,0426P
8548667310,2012,WH,1210P
8503780537,2016,WH,0824A
7811851430,2010,WHITE,0851A
8496904374,2006,WH,0640A
4625830205,2017,GY,1007A
4630751853,2015,WH,0912A
1410920148,2012,WHT,0225P
8520986160,0,WHITE,0237P
8291526047,2011,GY,0508P
8483526499,0,WHITE,1058A
8504828591,0,BLACK,0629P
1410952721,0,,0921A
7595669340,0,SILVE,0717A
8510906750,2006,WH,0636A
8557358404,2017,BK,1247P
4623227560,2012,TN,1221P
7157863108,2016,GY,0238P
5093250624,2013,BLK,1117A
8247604073,2017,BLACK,1201P
7942398638,0,BLUE,0145P
8485039294,2006,BL,1113P
8533365240,0,RED,0955A
8263593700,0,SILVE,0913P
4630407017,2009,WH,0114P
