street_name,violation_legal_code,street_code3,issuing_agency,law_section,plate_type,intersecting_street,feet_from_curb,issuer_command,street_code2
Post Ave,,0,T,408,PAS,65ft S/of W 207th St,0,T103,0
Lefferts Ave,,75430,T,408,PAS,,0,T302,86030
EB 65TH ST @ 16TH AV,T,0,V,1180,PAS,E,0,,0
Jamaica Ave,,65830,T,408,PAS,,0,T402,26540
16th St,,5580,T,408,PAS,,0,Broo,5430
Nostrand Ave,,13880,T,408,PAS,,0,T302,26430
Madison Ave,,18750,T,408,IRP,,0,T103,18730
Ocean Ave,,14030,T,408,PAS,,0,T302,56440
Broadway,,34310,T,408,PAS,,0,Manh,34290
Ann St,,27100,T,408,COM,,0,T105,32510
Forley St,,52690,T,408,PAS,,0,T401,67690
16 ST,,72630,S,408,PAS,,0,KS07,5880
WB EASTERN PKWY @ CL,T,0,V,1180,PAS,ASSON AVE,0,,0
groadway,,34890,T,408,COM,,0,T102,34870
W 4 ST,,10510,P,408,PAS,,0,0006,25190
WEST 13TH ST,,33390,P,408,PAS,,0,0006,10910
Amsterdam Ave,,35130,T,408,PAS,,0,T103,35090
Manhattan Ave,,24330,T,408,PAS,,0,T301,60430
SB SPRINGFIELD BLVD,T,0,V,1180,PAS,@ 143RD AVE,0,,0
E 38th St,,0,T,408,PAS,10ft E/of 5th Ave,0,T106,0
22nd St,,9940,T,408,PAS,,0,T401,9840
Clermont Ave,,0,T,408,PAS,60ft S/of Fulton St,0,T301,0
EB UNION TPK. 255 ST,T,0,V,1180,PAS,- 262 ST,0,,0
INWOOD AVE,,35950,P,408,PAS,,0,0044,74380
51st Ave,,0,T,408,COM,40ft E/of 23rd St,0,T803,0
Mulberry St,,22890,T,408,PAS,,0,T105,14010
Madison Ave,,17730,T,408,COM,,0,T102,17710
Park Ave,,0,T,408,PAS,80ft N/of E 111th St,0,T103,0
E 97th St,,0,T,408,COM,40ft E/of 3rd Ave,0,T103,0
38th Ave,,8140,T,408,PAS,,0,T401,7940
W 38th St,,10610,T,408,PAS,,0,T106,13610
CONEY ISLAND AVE,,14780,P,408,PAS,,0,0061,30330
NB RALPH AVE @ BEVER,T,0,V,1180,PAS,LEY RD,0,,0
Vernon Ave,,0,T,408,PAS,20ft W/of Marcy Ave,0,T301,0
E 31st St,,24890,T,408,PAS,,0,T102,27800
