pivot-metric,pivot-value,time_first_observed,days_parking_in_effect,violation_precinct,date_first_observed,house_number,from_hours_in_effect,meter_number,violation_post_code
unregistered_vehicle,,0418P,YYYYY,71,0,1237,0200P,316-3009,16 3
unregistered_vehicle,,,Y,14,0,842,0700A,,10
plate_id,FHH5858,,Y,68,0,310,0830A,,21 3
plate_id,T715510C,,Y  Y,114,0,31-19,0830A,,25 4
unregistered_vehicle,,,YYYYY,114,0,34-38,0800A,,11-A
unregistered_vehicle,,,Y,33,0,2184,0900A,,M 77
plate_id,GSX3238,,,0,0,,,,
plate_id,T47ERT,,,0,0,,,,
unregistered_vehicle,,,Y,10,0,407,0700A,,03 6
unregistered_vehicle,,,YYYYYYY,19,0,155,,,20 7
unregistered_vehicle,,0352P,Y,7,0,262,0900A,102-3011,53 1
unregistered_vehicle,,,YYYYYYY,63,0,3838,,,A 31
plate_id,HDZ8125,,,0,0,,,,
plate_id,31679BB,,YYYYYYY,14,0,N,0600P,,07
plate_id,ENG1179,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,40,0,836,,,A 21
unregistered_vehicle,,0852A,YYYYY,1,0,33,0700A,,001
unregistered_vehicle,,,YYYYY,19,0,175,0800A,,14
unregistered_vehicle,,,,0,0,,,,
plate_id,HDG6398,,,0,0,,,,
plate_id,GMD7250,,,0,0,,,,
plate_id,32150MD,1200P,,1,0,10,,,06 1
unregistered_vehicle,,,YYYYYYY,43,0,1560,,,A 22
plate_id,FPJ2831,,YYYYY,114,0,34-38,0800A,,11-A
plate_id,T695412C,,YYYYYYY,68,0,6930,,,G
plate_id,HGU7706,,YYYYYYY,115,0,E,,,15 4
unregistered_vehicle,,,YYYYYYY,18,0,153,,,26
plate_id,846051N,,,121,0,64,,,A-AM
unregistered_vehicle,,,Y,112,0,97-13,0830A,,01 4
unregistered_vehicle,,1226P,Y,68,0,8413,0800A,309-1488,21
plate_id,IARK74,,BBBBBBB,33,0,625,ALL,-,
plate_id,EXZ9820,,,0,0,,,,
plate_id,75022JX,,Y,33,0,2184,0900A,,M 77
plate_id,84298MJ,,YYYYY,18,0,45,0700A,,14
plate_id,HJV3459,,Y,47,0,725,0730A,,G 22
unregistered_vehicle,,,YYYYYYY,120,0,175A,,,C-PM
unregistered_vehicle,,,YYYYYYY,19,0,189,,,18
unregistered_vehicle,,,,0,0,,,,
plate_id,GWC2815,1150A,BBBBYBB,70,0,3543,1130A,-,
