summons_number,plate_id,street_name,issuer_code,to_hours_in_effect,sub_division,violation_in_front_of_or_opposite,street_code1,violation_code,vehicle_body_type,vehicle_expiration_date,violation_county
8550303847,481TXT,13th Ave,357713,0700P,h1,O,6380,38,4DSD,20070788,K
4006508827,24873MG,SB UTICA AVE @ WINTH,0,,C,,0,5,VAN,0,BK
1401803910,GXT1110,STERLING ST,956196,ALL,E2,F,81530,40,SDN,20170419,K
8385002224,BA66487,Townsend Ave,358568,,e2,F,69320,40,VAN,20170488,BX
8563750057,HJR6688,148th St,363142,,j6,F,23140,71,SUBN,20181005,Q
8114026649,0XZ5886,8th Ave,350408,0700P,l3,O,10810,31,BUS,88888888,NY
4632919998,HDM2624,SB WOODHAVEN BLVD @,0,,B,,0,36,2DSD,0,QN
8361005602,GYX1252,Denman St,357359,,j6,F,42090,71,4DSD,20170522,Q
8334516393,GGF8851,W 86th St,355162,,c3,O,35490,19,4DSD,20170925,NY
8473805628,62831JL,6th Ave,362270,,c,I,10510,14,VAN,20161231,NY
8546714873,DUY2556,Kingston Ave,364837,0700P,h1,F,54070,38,SUBN,20181016,K
1415447287,FPJ8765,PRESIDENT ST,925311,ALL,F1,F,72230,46,SDN,0,K
8477103276,13340MH,E 39th St,352995,0700P,h1,I,17770,69,VAN,20170531,NY
8573752282,M52GAV,Queens Blvd,365929,0700P,h1,F,59990,38,SUBN,88880088,Q
5093429077,HHF9280,NORTHERN BLVD (E/B),0,,D,,0,7,4DSD,0,QN
4634318556,EUX2242,WB KINGS HWY @ E 24T,0,,B,,0,36,SUBN,0,BK
8035084744,GUW4833,Virginia Ave,361321,,j3,I,72220,70,2DSD,20170121,BX
8483877818,ZDT2033,2nd Ave,363947,0700P,l2,O,10110,47,DELV,20170088,NY
7411980547,DBT4995,Walton Ave,363092,0600P,d,I,0,20,PICK,20170088,BX
5096168876,AMC5840,HORACE HARDING EXPWY,0,,D,,0,7,SUBN,0,QN
7384351777,GRZ6554,E Kingsbridge Rd,363105,,e2,F,29020,40,SUBN,20180709,BX
8218543387,BBH6756,82nd St,363032,0700P,l3,O,16890,31,4DSD,20180303,Q
8560256428,16179MC,Queens Blvd,363124,0700P,h1,O,59990,38,VAN,88880088,Q
5093709906,HDV1961,CONEY ISLAND AVE (S/,0,,D,,0,7,2DSD,0,BK
7772644310,K89GAL,Commerce Ave,363554,0700P,h1,F,20890,38,SUBN,88888888,BX
8546001170,GYD5957,E 9th St,365868,,j3,O,35180,70,4DSD,20170608,K
4628747544,FCE5634,SB AMSTERDAM AVE @ W,0,,B,,0,36,SUBN,0,MN
8536352772,N15GEV,Waverly Ave,363934,,e2,F,90130,40,4DSD,88880088,K
8528059911,T657795C,E 216th St,364022,,j6,F,28110,71,SUBN,20171130,BX
4628295414,KGB6541,NB PENNSYLVANIA AVE,0,,B,,0,36,SW,0,BK
8486914516,HLF8985,24th St,357323,0400P,d,O,7190,20,4DSD,20170930,Q
4627820525,HHB8915,SB MIDLAND AVE @ MAS,0,,B,,0,36,2DSD,0,ST
1416467350,648ZGJ,,925007,1230P,D1,,0,21,SDN,0,BX
4622430964,GZP7443,SB KINGS HWY @ NEW Y,0,,B,,0,36,4DSD,0,BK
7620951568,AS484R,W 48th St,353525,,k7,O,34730,84,TRLR,88888888,NY
8489222733,42690JZ,82nd Ave,363071,,e2,I,16790,40,VAN,88888888,Q
8205520343,HHH7057,96th St,363042,,j6,F,18890,71,4DSD,20180719,Q
8407013183,GKR2178,W 8th St,362193,,j6,F,33930,71,2DSD,20171014,NY
7059916908,45969MH,9th Ave,363527,0600P,h1,F,10910,69,VAN,20171231,NY
7061547960,55484MJ,Mad ison Ave,359628,0700P,l2,F,25390,47,REFG,20170731,NY
8524465955,GUW5336,Morris Park Ave,358605,,j6,F,0,71,SUBN,20190120,BX
8504825905,S64GKS,W Broadway,363571,0700P,h1,F,44890,38,SUBN,88880088,NY
7811851430,GFM4944,Park Ave,341195,1000A,d1,I,27790,21,4DSD,20170327,NY
8486634611,HHN7295,44th St,361383,1030A,d1,F,10090,21,SUBN,20180804,Q
8173540251,GJP6086,svenue M,363089,,e5,I,0,50,4DSD,20170907,K
4007315486,HBB2160,NB UTICA AVE @ LENOX,0,,C,,0,5,4DSD,0,BK
5092451658,GZH7067,ALLERTON AVE (W/B) @,0,,D,,0,7,SUBN,0,BX
8526110329,FZJ2976,E 161st St,363510,0700P,h1,I,0,37,4DSD,20190214,BX
8460010636,CEV2281,98th St,363561,,d,I,19090,20,4DSD,20170303,Q
4635241166,HNF4133,NB SHORE RD @ 83RD S,0,,B,,0,36,4DSD,0,BK
5096015063,C61GGH,N CONDUIT AVE (W/B),0,,D,,0,7,4 DR,0,QN
7705889870,EUZ4365,Coney Island Ave,363975,,d,F,28830,20,SUBN,20180629,K
5093565337,GZL6273,ATLANTIC AVE (E/B) @,0,,D,,0,7,SUBN,0,BK
8517065839,HGR7170,W 115th St,346193,,f1,I,36070,46,SUBN,20170726,NY
8508676360,32372PC,1st Ave,363111,,f6,F,0,53,REFG,20180331,NY
8496904374,31908MG,9th Ave,351969,,e1,F,10910,45,VAN,20181031,NY
8204547316,HKV1200,Main St,363971,,e2,F,54580,40,SUBN,20170488,Q
8504822904,GDB4178,6th Ave,363571,0800P,c4,F,10510,17,SUBN,20190121,NY
8277041020,GZR3681,Maiden Ln,362224,,j6,I,25630,71,4DSD,20170811,NY
8508803138,FDZ3568,Lafayette St,356962,,d,F,24390,20,SUBN,20180926,NY
7345558757,T474824C,Meserole Ave,361069,,f1,F,60430,46,4DSD,20170331,K
8514205500,2XG867,Columbus Ave,343918,1000A,c,O,15710,14,DELV,20170088,NY
8295557427,DBZ7420,78th Ave,361861,0700P,h1,I,16190,38,4DSD,20190206,Q
8526566866,XCUH60,Prospect Ave,353015,,F1,I,0,46,VAN,88880088,BX
1412929544,GWM1292,61 ST,669521,1100A,D1,F,9630,21,SUBN,20170305,K
8271079499,EJG2502,Manhattan Ave,363466,0700P,h1,F,58330,37,SUBN,20180826,K
7146726630,T683891C,74th St,363536,0700P,l3,F,15640,31,SUBN,20170731,Q
8485039294,HKJ8844,W 19th St,331220,0600A,c,I,34150,14,SUBN,20180920,NY
5094410003,EKU9602,HORACE HARDING EXPWY,0,,D,,0,7,SUBN,0,QN
8059041769,HKP2227,E 59th St,349481,,e1,X,18170,9,4DSD,20180810,NY
5094156317,GTB1183,CADMAN PLAZA (E/B) @,0,,D,,0,7,SUBN,0,BK
8524958169,GHW2022,White Plains Rd,362162,0700P,h1,F,77150,38,SUBN,20170715,BX
8471718212,GPJ6404,e 87th st,354125,0600P,d,O,18730,20,4DSD,20180411,NY
