male_1,grade_8,poverty_1,asian_1,grade_2,female_1
0.812,0,62.6%,0.042,0,0.188
0.521,0,24.4%,0.104,42,0.479
0.571,61,78.6%,0.058,0,0.429
0.573,0,92.5%,0.378,0,0.427
0.534,388,45.1%,0.337,0,0.466
0.507,0,13.5%,0.126,71,0.493
0.417,0,84.0%,0.059,0,0.583
0.529,0,89.1%,0.022,0,0.471
0.524,57,76.2%,0.069,41,0.476
0.56,93,52.8%,0.486,0,0.44
0.54,59,12.3%,0.312,58,0.46
0.623,0,85.4%,0.033,0,0.377
0.538,0,87.1%,0.0,0,0.462
0.487,86,92.8%,0.027,47,0.513
0.464,0,13.7%,0.158,72,0.536
0.255,0,88.5%,0.018,0,0.745
0.517,0,72.8%,0.866,98,0.483
0.3,0,84.6%,0.095,0,0.7
0.5,121,64.8%,0.165,0,0.5
0.542,49,68.8%,0.029,40,0.458
0.488,0,14.0%,0.091,39,0.512
0.486,27,Above 95%,0.065,14,0.514
0.414,0,67.8%,0.066,0,0.586
0.457,0,76.8%,0.242,0,0.543
0.438,0,84.5%,0.017,0,0.562
0.49,136,23.5%,0.355,101,0.51
0.419,0,44.6%,0.082,0,0.581
0.491,0,77.5%,0.052,0,0.509
0.28,35,36.9%,0.07,0,0.72
0.503,0,67.8%,0.287,76,0.497
0.485,0,73.8%,0.056,0,0.515
0.424,0,67.8%,0.081,0,0.576
0.498,0,30.0%,0.158,146,0.502
0.325,0,81.2%,0.06,0,0.675
0.442,0,40.4%,0.349,0,0.558
0.515,0,20.0%,0.08,94,0.485
0.518,0,12.9%,0.141,89,0.482
0.485,55,14.1%,0.05,0,0.515
0.534,0,47.1%,0.906,77,0.466
0.505,0,81.6%,0.142,38,0.495
0.352,0,75.9%,0.086,0,0.648
0.45,0,65.2%,0.068,0,0.55
0.55,58,68.8%,0.074,43,0.45
0.467,0,81.5%,0.03,0,0.533
0.693,0,91.4%,0.109,0,0.307
0.508,367,29.7%,0.2,0,0.492
0.491,0,82.1%,0.121,0,0.509
0.495,0,83.3%,0.024,0,0.505
0.473,0,78.2%,0.134,0,0.527
0.486,0,30.5%,0.197,0,0.514
0.54,113,80.0%,0.621,59,0.46
0.467,120,67.4%,0.215,0,0.533
0.485,0,83.2%,0.002,0,0.515
0.573,60,92.1%,0.018,43,0.427
0.54,0,93.5%,0.028,24,0.46
0.519,0,86.3%,0.015,20,0.481
0.545,0,80.1%,0.037,42,0.455
0.347,0,80.6%,0.083,0,0.653
0.332,0,54.7%,0.103,0,0.668
0.456,0,84.7%,0.92,0,0.544
0.339,0,57.3%,0.085,0,0.661
0.509,73,29.2%,0.073,0,0.491
0.512,74,76.2%,0.033,0,0.488
0.446,0,53.4%,0.546,0,0.554
0.568,0,87.8%,0.022,0,0.432
0.554,187,35.2%,0.639,0,0.446
0.605,81,66.8%,0.095,0,0.395
0.476,0,82.1%,0.023,64,0.524
0.51,0,21.9%,0.086,113,0.49
0.414,0,85.9%,0.927,0,0.586
0.203,0,55.6%,0.036,0,0.797
0.207,0,68.8%,0.013,0,0.793
0.499,0,17.1%,0.111,69,0.501
0.46,121,45.4%,0.319,0,0.54
0.357,0,87.5%,0.052,0,0.643
0.578,0,79.4%,0.09,0,0.422
0.512,0,76.4%,0.052,0,0.488
0.507,0,21.5%,0.084,108,0.493
0.494,0,27.0%,0.101,50,0.506
0.498,74,86.2%,0.005,0,0.502
0.593,0,79.9%,0.108,0,0.407
0.674,0,81.3%,0.063,0,0.326
0.466,0,73.6%,0.099,0,0.534
0.483,0,11.6%,0.462,64,0.517
0.429,0,42.3%,0.266,0,0.571
0.562,0,75.8%,0.028,47,0.438
0.558,0,90.4%,0.217,0,0.442
0.441,143,16.8%,0.198,0,0.559
0.551,55,91.0%,0.108,0,0.449
0.535,98,65.6%,0.076,0,0.465
0.376,128,12.3%,0.185,0,0.624
0.483,76,30.0%,0.065,0,0.517
0.467,0,13.4%,0.092,72,0.533
0.447,0,32.7%,0.025,87,0.553
0.432,0,73.8%,0.108,0,0.568
0.52,77,84.8%,0.005,0,0.48
0.543,0,87.7%,0.063,0,0.457
0.404,0,67.1%,0.291,0,0.596
0.569,63,84.2%,0.086,0,0.431
0.473,0,10.5%,0.173,81,0.527
