payment_id,vendor_name,estimated_start_date,contract_status,payment_date,contract_end_date,payment_value
13134.0,"SUSSMAN SALES COMPANY, INC.",2009-09-09T00:00:00.000,Authorized to Start Work,2010-03-26T00:00:00.000,2011-08-31T00:00:00.000,1960.0
74.0,,2009-10-01T00:00:00.000,,2009-12-31T00:00:00.000,,582894.24
9793.0,Unique Woodworking Inc,2009-10-20T00:00:00.000,,2010-02-16T00:00:00.000,,1800.0
8497.0,Pacific Energy Corp,2009-07-19T00:00:00.000,Authorized to Start Work,2010-05-27T00:00:00.000,2010-05-06T00:00:00.000,590.25
,,2009-09-30T00:00:00.000,,,,
1228.0,Claddagh Electronics Ltd.,2009-07-15T00:00:00.000,Authorized to Start Work,2009-12-30T00:00:00.000,2012-02-28T00:00:00.000,12348.0
,,2009-11-15T00:00:00.000,,,,
,,2009-07-10T00:00:00.000,,,,
13066.0,"SUSSMAN SALES COMPANY, INC.",2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-19T00:00:00.000,2011-08-31T00:00:00.000,71.75
4537.0,YMCA of Greater New York - Virtual Y,2009-07-01T00:00:00.000,Contract Change Registered/Filed,2010-02-16T00:00:00.000,2010-08-31T00:00:00.000,3776.39
14872.0,"TEQUIPMENT, INCORPORATED",2009-09-09T00:00:00.000,Authorized to Start Work,2010-06-24T00:00:00.000,2011-06-30T00:00:00.000,6412.69
9811.0,,2010-03-19T00:00:00.000,Authorized to Start Work,2010-06-30T00:00:00.000,2010-06-30T00:00:00.000,28758.74
,TBD,2010-08-02T00:00:00.000,Pre-Solicitation,,2010-07-01T00:00:00.000,
9778.0,,2009-07-21T00:00:00.000,,2010-05-28T00:00:00.000,,26780.16
7760.0,"Charles A. Dimino, Inc.",2009-08-01T00:00:00.000,Authorized to Start Work,2010-03-12T00:00:00.000,2011-04-17T00:00:00.000,13512.5
3123.0,P. C. Richards & Co.,2009-07-30T00:00:00.000,Authorized to Start Work,2010-02-11T00:00:00.000,2012-02-28T00:00:00.000,27304.2
10493.0,INGRAM LIBRARY SERVS INC.,2009-09-09T00:00:00.000,Authorized to Start Work,2010-06-08T00:00:00.000,2011-08-31T00:00:00.000,388.22
3039.0,"Force Mechanical, Inc. F/K/A Jamestone, Inc.",2009-07-30T00:00:00.000,Authorized to Start Work,2010-02-11T00:00:00.000,2009-11-23T00:00:00.000,31908.6
10632.0,THE ACADEMIC ADVANTAGE INC.,2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-01T00:00:00.000,2010-08-31T00:00:00.000,103803.55
97.0,,2009-07-01T00:00:00.000,,2009-10-10T00:00:00.000,,33.0
,,2009-10-20T00:00:00.000,,,,
3236.0,"Danco, Inc.",2009-07-30T00:00:00.000,Contract Registered,2010-01-07T00:00:00.000,2012-02-28T00:00:00.000,49444.0
10604.0,"BOOKSOURCE, INCORPORATED",2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-04T00:00:00.000,2011-08-31T00:00:00.000,848.83
9223.0,P. C. Richards & Co.,2009-07-30T00:00:00.000,Authorized to Start Work,2010-06-24T00:00:00.000,2012-02-28T00:00:00.000,34715.34
9771.0,,2009-07-01T00:00:00.000,,2010-06-30T00:00:00.000,,227143.79
2929.0,_Woodycrest Center For Human Development,2009-04-01T00:00:00.000,Contract Change Registered/Filed,2009-09-30T00:00:00.000,2012-03-31T00:00:00.000,1337.98
57.0,,2009-07-01T00:00:00.000,,2009-09-30T00:00:00.000,,82207.77
4497.0,Turning Point,2009-07-01T00:00:00.000,Contract Change Registered/Filed,2010-03-24T00:00:00.000,2011-06-30T00:00:00.000,25894.74
8081.0,Linear Environmental Corp.,2009-08-01T00:00:00.000,Authorized to Start Work,2010-04-12T00:00:00.000,2010-08-20T00:00:00.000,50.0
11424.0,"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-01T00:00:00.000,2012-08-31T00:00:00.000,8364.36
14828.0,,2009-09-09T00:00:00.000,,2010-04-30T00:00:00.000,,30086998.38
1401.0,Kordun Construction Corp.,2009-06-01T00:00:00.000,Authorized to Start Work,2009-11-24T00:00:00.000,2010-08-30T00:00:00.000,291207.3
13089.0,"SUSSMAN SALES COMPANY, INC.",2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-12T00:00:00.000,2011-08-31T00:00:00.000,3571.33
10506.0,INGRAM LIBRARY SERVS INC.,2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-11T00:00:00.000,2011-08-31T00:00:00.000,8.62
9885.0,ACTION PRESS OF PARK SLOPE CORP.,2009-09-09T00:00:00.000,Authorized to Start Work,2010-05-20T00:00:00.000,2010-08-31T00:00:00.000,185.95
88.0,,2009-07-01T00:00:00.000,,2009-09-26T00:00:00.000,,49.5
8802.0,Goddard Riverside Community Center,2009-07-01T00:00:00.000,Vendor Selected/Registration Pending,2010-06-03T00:00:00.000,2010-06-30T00:00:00.000,114110.0
9038.0,"Nouveau Elevator Industries, Inc.",2009-05-16T00:00:00.000,Authorized to Start Work,2010-06-01T00:00:00.000,2011-11-30T00:00:00.000,199021.2
447.0,,2009-08-01T00:00:00.000,,2009-07-04T00:00:00.000,,1852.05
,,2009-10-01T00:00:00.000,,,,
,"ACME American Repairs, Inc.",2009-10-30T00:00:00.000,Contract Registered,,2012-02-28T00:00:00.000,
,Good Shepherd Services,2009-07-01T00:00:00.000,Contract Change Registered/Filed,,2011-08-31T00:00:00.000,
16245.0,,2009-04-01T00:00:00.000,,2010-06-30T00:00:00.000,,34369.59
8381.0,Pacific Energy Corp,2009-07-19T00:00:00.000,Authorized to Start Work,2010-04-12T00:00:00.000,2010-05-06T00:00:00.000,755.99
6546.0,S J Fuel Co. Inc.,2009-07-01T00:00:00.000,Authorized to Start Work,2010-03-10T00:00:00.000,2010-02-24T00:00:00.000,8650.0
52.0,,2009-07-01T00:00:00.000,,2009-07-31T00:00:00.000,,77297.29
7636.0,,2008-10-01T00:00:00.000,,2009-04-07T00:00:00.000,,135140762.0
