latitude,longitude,retail_store_number_of_walk,hotel_gym_fitness_center,fuel_oil_2_use_kbtu,parent_property_name,hotel_gross_floor_area_ft,district_chilled_water_use,city,wholesale_club_supercenter,office_worker_density_number,hospital_general_medical_6,estimated_data_flag_natural,annual_maximum_demand_meter,primary_property_type_self,barracks_gross_floor_area,water_use_intensity_all_water,indirect_ghg_emissions,outdoor_water_use_all_water,multifamily_housing_number_3,data_center_national_median,site_energy_use_kbtu,retail_store_percent_that,estimated_data_flag_fuel,number_of_buildings,municipally_supplied_potable_1,data_center_ups_system,alert_gross_floor_area_is,electricity_use_grid_purchase_3,medical_office_number_of,data_center_it_energy,multifamily_housing_percent,data_center_energy_estimates,museum_gross_floor_area_ft,default_values,percent_of_electricity_that,self_storage_facility_gross,restaurant_weekly_operating,hospital_general_medical_10,largest_property_use_type,weather_normalized_site_1,supermarket_grocery_number_1,alert_property_has_no_uses,weather_normalized_site_3,pre_school_daycare_gross,mailing_center_post_office,estimated_values_water,alert_energy_no_meters,data_center_it_site_energy,temporary_values,data_center_it_equipment,percent_of_recs_retained,net_emissions_metric_tons,community_board,alert_energy_meter_has_single,outpatient_rehabilitation,financial_office_number_of_1,parent_property_id,last_modified_date_property,food_sales_gross_floor_area,data_center_gross_floor_area,indirect_ghg_emissions_metric
40.841596,-73.897767,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0201229E (8080417),K-12 School,Not Available,Not Available,3,Not Available,Not Available,Not Available,3744464.9,Not Available,Not Available,1,Not Available,Not Available,Ok,450400,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.5,Not Available,Ok,444180,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,239.4,203.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/06/2020 12:54 PM EDT,Not Available,Not Available,122.1
40.809534,-73.919903,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200076E (8052388),K-12 School,Not Available,0,1.2,Not Available,Not Available,Not Available,5826971.2,Not Available,Not Available,1,0,Not Available,Ok,477600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.4,Not Available,Ok,477600,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,352.4,201.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:35 PM EDT,Not Available,Not Available,129.5
40.822665,-73.853366,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200182E (8080132),K-12 School,Not Available,278.45,1.4,Not Available,Not Available,Not Available,7281023,Not Available,Not Available,1,24607.6,Not Available,Ok,457920,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,457919.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,552.5,209.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/11/2020 05:35 PM EDT,Not Available,Not Available,124.2
40.815455,-73.88577,Not Available,Not Available,7368786,Not Applicable: Standalone Property,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,No,0200112E (8052745),K-12 School,Not Available,Not Available,2,Not Available,Not Available,Not Available,11985787.8,Not Available,Not Available,1,Not Available,Not Available,Ok,1256800,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,1223553.3,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,905,202.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 01:44 PM EDT,Not Available,Not Available,340.8
40.704553,-74.006636,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,NEW YORK,Not Available,3.96059,Not Available,No,Not Available,Office,Not Available,4.78,5.3,Not Available,Not Available,Not Available,61601076,Not Available,Not Available,1,4235.5,Not Available,Ok,10320540,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,Office,0,Not Available,Ok,10320537.5,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,4734.3,101.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,04/27/2020 05:07 PM EDT,Not Available,Not Available,4734.3
40.665878,-73.911705,Not Available,Not Available,855793.3,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300178E (7896920),K-12 School,Not Available,160.11,1.3,Not Available,Not Available,Not Available,8436345.6,Not Available,Not Available,1,17099.9,Not Available,Ok,527360,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.5,Not Available,Ok,527359.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,513.6,316.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/12/2020 09:17 PM EDT,Not Available,Not Available,143
40.671561,-73.734043,Not Available,Not Available,3363846.7,Not Applicable: Standalone Property,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,No,0400036E (7978301),K-12 School,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,4069592,Not Available,Not Available,1,Not Available,Not Available,Ok,187440,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,187766.8,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,304,413.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/06/2020 12:54 PM EDT,Not Available,Not Available,50.8
40.618415,-74.028842,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300114E (7877753),K-12 School,Not Available,14.23,1.3,Not Available,Not Available,Not Available,7061964.9,Not Available,Not Available,1,1656.4,Not Available,Ok,547600,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,547599.9,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,537,310.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/18/2020 04:17 PM EDT,Not Available,Not Available,148.5
40.693293,-73.90864,Not Available,Not Available,604550.5,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300153E (7896406),K-12 School,Not Available,Not Available,1.3,Not Available,Not Available,Not Available,5761746,Not Available,Not Available,1,Not Available,Not Available,Ok,313920,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0.6,Not Available,Ok,313920,Not Available,Not Available,Unable to Check (not enough data),Ok,Not Available,No,Not Available,Not Available,347,304.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 03:49 PM EDT,Not Available,Not Available,85.1
40.57732,-73.971313,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,No,0300111E (7877783),K-12 School,Not Available,88.12,1,Not Available,Not Available,Not Available,7281143,Not Available,Not Available,1,8248.2,Not Available,Ok,354240,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,K-12 School,0,Not Available,Ok,352368.2,Not Available,Not Available,No,Ok,Not Available,No,Not Available,Not Available,545.8,313.0,Ok,Not Available,Not Available,Not Applicable: Standalone Property,08/17/2020 01:44 PM EDT,Not Available,Not Available,96
