property_name,refrigerated_warehouse_gross,courthouse_gross_floor_area,distribution_center_gross,weather_normalized_site_eui,hospital_general_medical_3,hospital_general_medical_4,largest_property_use_type_1,medical_office_percent_that_1,water_use_all_water_sources,electricity_use_grid_purchase,egrid_output_emissions_rate,fitness_center_health_club,hospital_general_medical_12,indoor_water_use_all_water,difference_from_national_1,nta,estimated_data_flag_1,property_gfa_calculated_2,energy_star_certification_2,district_hot_water_use_kbtu,propane_use_kbtu,avoided_emissions_onsite,multifamily_housing_percent_1,borough,data_center_cooling_equipment,electricity_use_generated_3,site_eui_kbtu_ft,electricity_use_generated_1,financial_office_gross_floor,green_power_onsite_and_offsite,address_2,senior_care_community_gross,energy_star_certification_1,_2nd_largest_property_use_1,alert_energy_meter_has_less,residence_hall_dormitory,multifamily_housing_resident,hospital_general_medical_1,property_gfa_self_reported,financial_office_number_of,office_percent_that_can_be_1,national_median_energy_star,multifamily_housing_number_6,third_party_certification_1,multifamily_housing_number_5,multifamily_housing_number_4,estimated_data_flag,green_power_offsite_kwh,indoor_water_use_intensity,energy_star_certification,alert_energy_meter_has_gaps,multifamily_housing_number,green_power_onsite_kwh,nyc_building_identification,food_service_gross_floor
X166-0200207,Not Available,Not Available,Not Available,65.6,Not Available,Not Available,188575.0,Not Available,4347789.8,3267331.3,84.7,Not Available,Not Available,4347789.8,-25.7,East Concourse-Concourse Village,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,65.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,188575,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,23056.02,Not Available,Ok,Not Available,Not Available,2002497,Not Available
K989-0301732,Not Available,Not Available,Not Available,137.5,Not Available,Not Available,62180.0,Not Available,8656.7,2842878.4,79.5,Not Available,Not Available,8656.7,53.4,Bay Ridge,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,140.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,62180,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,139.22,Not Available,Ok,Not Available,Not Available,3154215,Not Available
X131-0200174,Not Available,Not Available,Not Available,43.1,Not Available,Not Available,184975.0,Not Available,41114.5,2271027.2,84.7,Not Available,Not Available,41114.5,-38.5,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,Not Available,Yes,Not Available,Not Available,91.9,Not Available,BRONX,Not Available,20188.8,43.1,190717.3,Not Available,190717.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,184975,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,222.27,Not Available,Ok,Not Available,190717.3,2103869,Not Available
X090-0200131,Not Available,Not Available,Not Available,65.8,Not Available,Not Available,124900.0,Not Available,10620.8,2066307.3,79.5,Not Available,Not Available,10620.8,-27.6,East Concourse-Concourse Village,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,65.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,124900,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,85.03,Not Available,Ok,Not Available,Not Available,2002745,Not Available
Q169-0400153,Not Available,Not Available,Not Available,69.9,Not Available,Not Available,92575.0,Not Available,Not Available,1372750,79.5,Not Available,Not Available,Not Available,-8.3,Ft. Totten-Bay Terrace-Clearview,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,70.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,92575,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,4131147,Not Available
K095-0300106,Not Available,Not Available,Not Available,73.8,Not Available,Not Available,106800.0,Not Available,Not Available,1826648.3,79.5,Not Available,Not Available,Not Available,-25.4,Gravesend,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,74.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,106800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3192661,Not Available
K306-0300301,Not Available,Not Available,Not Available,82.3,Not Available,Not Available,112800.0,Not Available,Not Available,1787888,84.7,Not Available,Not Available,Not Available,1.8,East New York,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,82.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,112800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3097873,Not Available
909 Third Avenue,Not Available,Not Available,Not Available,68.1,Not Available,Not Available,1110632.0,Not Available,15438.1,49874273.8,84.7,Not Available,Not Available,15438.1,-34.2,Turtle Bay-East Midtown,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,N+1,Not Available,69.6,Not Available,Not Available,0,Not Available,Not Available,09/12/2019,1000,Ok,Not Available,Not Available,Not Available,1111632,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,No,0,13.89,"2019, 2018, 2017, 2016, 2015, 2012, 2008",Ok,Not Available,Not Available,1038570,Not Available
Q196-0400172,Not Available,Not Available,Not Available,70.8,Not Available,Not Available,112800.0,Not Available,17582.8,3038045,84.7,Not Available,Not Available,17582.8,16.9,Forest Hills,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,70.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,112800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,155.88,Not Available,Ok,Not Available,Not Available,4052713,Not Available
Q127-0400113,Not Available,Not Available,Not Available,87.9,Not Available,Not Available,111725.0,Not Available,8072.4,1766051.2,84.7,Not Available,Not Available,8072.4,6.6,East Elmhurst,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,87.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,111725,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,72.25,Not Available,Ok,Not Available,Not Available,4024487,Not Available
