property_name,refrigerated_warehouse_gross,courthouse_gross_floor_area,distribution_center_gross,weather_normalized_site_eui,hospital_general_medical_3,hospital_general_medical_4,largest_property_use_type_1,medical_office_percent_that_1,water_use_all_water_sources,electricity_use_grid_purchase,egrid_output_emissions_rate,fitness_center_health_club,hospital_general_medical_12,indoor_water_use_all_water,difference_from_national_1,nta,estimated_data_flag_1,property_gfa_calculated_2,energy_star_certification_2,district_hot_water_use_kbtu,propane_use_kbtu,avoided_emissions_onsite,multifamily_housing_percent_1,borough,data_center_cooling_equipment,electricity_use_generated_3,site_eui_kbtu_ft,electricity_use_generated_1,financial_office_gross_floor,green_power_onsite_and_offsite,address_2,senior_care_community_gross,energy_star_certification_1,_2nd_largest_property_use_1,alert_energy_meter_has_less,residence_hall_dormitory,multifamily_housing_resident,hospital_general_medical_1,property_gfa_self_reported,financial_office_number_of,office_percent_that_can_be_1,national_median_energy_star,multifamily_housing_number_6,third_party_certification_1,multifamily_housing_number_5,multifamily_housing_number_4,estimated_data_flag,green_power_offsite_kwh,indoor_water_use_intensity,energy_star_certification,alert_energy_meter_has_gaps,multifamily_housing_number,green_power_onsite_kwh,nyc_building_identification,food_service_gross_floor
K256-0300260,Not Available,Not Available,Not Available,41.7,Not Available,Not Available,106800.0,Not Available,Not Available,1101393.6,79.5,Not Available,Not Available,Not Available,-45.8,Bedford,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,42.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,106800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3049769,Not Available
K201-0300204,Not Available,Not Available,Not Available,59.2,Not Available,Not Available,128400.0,Not Available,17362.9,2155019.1,79.5,Not Available,Not Available,17362.9,-33.6,Dyker Heights,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,58,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,128400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,135.23,Not Available,Ok,Not Available,Not Available,3162973,Not Available
X147-0200190,Not Available,Not Available,Not Available,41.1,Not Available,Not Available,199200.0,Not Available,Not Available,3712255.7,79.5,Not Available,Not Available,Not Available,-44.1,Claremont-Bathgate,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,40.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,199200,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2009400,Not Available
Q866-0401237,Not Available,Not Available,Not Available,90,Not Available,Not Available,38030.0,Not Available,14033.5,1550412.8,79.5,Not Available,Not Available,14033.5,30.3,Kew Gardens,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,89.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,38030,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,369.01,Not Available,Ok,Not Available,Not Available,4437660,Not Available
Q206-0400178,Not Available,Not Available,Not Available,79.3,Not Available,Not Available,78280.0,Not Available,4872.8,1655502.4,79.5,Not Available,Not Available,4872.8,-9.7,Rego Park,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,78.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,78280,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,62.25,Not Available,Ok,Not Available,Not Available,4050414,Not Available
X077-0200115,Not Available,Not Available,Not Available,75.5,Not Available,Not Available,130975.0,Not Available,7104.7,3285619.6,79.5,Not Available,Not Available,7104.7,-8.5,West Farms-Bronx River,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,75.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,130975,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,54.24,Not Available,Ok,Not Available,Not Available,2088553,Not Available
X089-0200129,Not Available,Not Available,Not Available,64.9,Not Available,Not Available,117680.0,Not Available,Not Available,2140552.3,79.5,Not Available,Not Available,Not Available,-32.9,Bronxdale,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,65,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,117680,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2051571,Not Available
M079-0100082,Not Available,Not Available,Not Available,69.1,Not Available,Not Available,105700.0,Not Available,Not Available,1589992,79.5,Not Available,Not Available,Not Available,-30.7,East Harlem North,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,68.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,105700,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,1053968,Not Available
M002-0100027,Not Available,Not Available,Not Available,39.4,Not Available,Not Available,109300.0,Not Available,7511,1733296,79.5,Not Available,Not Available,7511,-43.6,Lower East Side,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,39.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,109300,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,68.72,Not Available,Ok,Not Available,Not Available,1003248,Not Available
Q201-0400175,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87725.0,Not Available,1016.9,996167.5,79.5,Not Available,Not Available,1016.9,-40.4,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,40.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,87725,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,11.59,Not Available,Ok,Not Available,Not Available,4146992,Not Available
Q141-0400127,Not Available,Not Available,Not Available,58.8,Not Available,Not Available,142925.0,Not Available,9078.4,1301336.8,79.5,Not Available,Not Available,9078.4,-30.3,Steinway,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,59,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,142925,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,63.52,Not Available,Ok,Not Available,Not Available,4016102,Not Available
K159-0300161,Not Available,Not Available,Not Available,59,Not Available,Not Available,66000.0,Not Available,0,1103986.7,79.5,Not Available,Not Available,0,-14.1,East New York,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,59.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,66000,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,0,Not Available,Ok,Not Available,Not Available,3094735,Not Available
K198-0300200,Not Available,Not Available,Not Available,72.4,Not Available,Not Available,80400.0,Not Available,Not Available,1557236.8,79.5,Not Available,Not Available,Not Available,12.5,East Flatbush-Farragut,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,72.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,80400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3113388,Not Available
X864-0200233,Not Available,Not Available,Not Available,48.3,Not Available,Not Available,25260.0,Not Available,Not Available,1222860.8,79.5,Not Available,Not Available,Not Available,-1,Belmont,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,48.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,25260,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2013047,Not Available
K137-0300144,Not Available,Not Available,Not Available,64.7,Not Available,Not Available,55200.0,Not Available,Not Available,795405.5,79.5,Not Available,Not Available,Not Available,-30.1,Ocean Hill,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,64.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,55200,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3040878,Not Available
K152-0300154,Not Available,Not Available,Not Available,98.5,Not Available,Not Available,184800.0,Not Available,1463,5251750.5,79.5,Not Available,Not Available,1463,26.2,Flatbush,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,97.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,184800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,7.92,Not Available,Ok,Not Available,Not Available,3205780,Not Available
Q020-0400021,Not Available,Not Available,Not Available,87.4,Not Available,Not Available,156175.0,Not Available,6619.2,3641286.1,84.7,Not Available,Not Available,6619.2,4.9,Flushing,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,87.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,156175,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,42.38,Not Available,Ok,Not Available,Not Available,4114657,Not Available
M046-0100062,Not Available,Not Available,Not Available,17.2,Not Available,Not Available,112800.0,Not Available,3905.9,1421029.8,79.5,Not Available,Not Available,3905.9,-59,Central Harlem North-Polo Grounds,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,17.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,112800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,34.63,Not Available,Ok,Not Available,Not Available,1082090,Not Available
X094-0200136,Not Available,Not Available,Not Available,71.5,Not Available,Not Available,88739.0,Not Available,10003.9,1287825.3,79.5,Not Available,Not Available,10003.9,-29.2,Norwood,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,71.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,88739,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,112.73,Not Available,Ok,Not Available,Not Available,2018628,Not Available
1177 Avenue of the Americas,Not Available,Not Available,Not Available,74.6,Not Available,Not Available,997901.0,Not Available,12476.9,56817185.9,84.7,Not Available,Not Available,Not Available,-25.7,Midtown-Midtown South,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,74.7,Not Available,Not Available,0,Not Available,Not Available,11/14/2019,Not Available,Ok,Not Available,Not Available,Not Available,997901,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,Yes,0,Not Available,"2019, 2018, 2017",Ok,Not Available,Not Available,1076173,Not Available
M017-0100039,Not Available,Not Available,Not Available,52.3,Not Available,Not Available,121300.0,Not Available,0,1720193.9,79.5,Not Available,Not Available,0,-53.5,Clinton,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,52.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,121300,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,0,Not Available,Ok,Not Available,Not Available,1025092,Not Available
Q034-0400032,Not Available,Not Available,Not Available,70,Not Available,Not Available,72260.0,Not Available,9773.7,1277998.8,79.5,Not Available,Not Available,9773.7,-5.5,Queens Village,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,70.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,72260,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,135.26,Not Available,Ok,Not Available,Not Available,4240503,Not Available
M152-0100134,Not Available,Not Available,Not Available,77.4,Not Available,Not Available,122684.0,Not Available,8321,1910760.9,79.5,Not Available,Not Available,8321,-17.5,Washington Heights North,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,79.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,122684,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,67.82,Not Available,Ok,Not Available,Not Available,1064149,Not Available
Q199-0400173,Not Available,Not Available,Not Available,83.4,Not Available,Not Available,86518.0,Not Available,Not Available,1864794.5,79.5,Not Available,Not Available,Not Available,-8.4,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,84.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,86518,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,4002915,Not Available
Q227-0400204,Not Available,Not Available,Not Available,43.7,Not Available,Not Available,212575.0,Not Available,9498.5,3895139.4,79.5,Not Available,Not Available,9498.5,-40.2,East Elmhurst,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,43.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,212575,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,44.68,Not Available,Ok,Not Available,Not Available,4034891,Not Available
Q455-0400222,Not Available,Not Available,Not Available,68.4,Not Available,Not Available,265325.0,Not Available,7571.1,3739551.8,79.5,Not Available,Not Available,7571.1,-32,Elmhurst,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,68.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,265325,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,28.54,Not Available,Ok,Not Available,Not Available,4045629,Not Available
K038-0300060,Not Available,Not Available,Not Available,60.5,Not Available,Not Available,104400.0,Not Available,11442.3,803867.2,79.5,Not Available,Not Available,11442.3,-31.2,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,61.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,104400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,109.6,Not Available,Ok,Not Available,Not Available,3001183,Not Available
X008-0200047,Not Available,Not Available,Not Available,65.5,Not Available,Not Available,92480.0,Not Available,Not Available,1639397.8,84.7,Not Available,Not Available,Not Available,-29.9,Bedford Park-Fordham North,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,65.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,92480,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,2094734,Not Available
K067-0300086,Not Available,Not Available,Not Available,88.1,Not Available,Not Available,138125.0,Not Available,1986.5,2097424.6,79.5,Not Available,Not Available,1986.5,-18.4,Fort Greene,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,88.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,138125,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,14.38,Not Available,Ok,Not Available,Not Available,3332507,Not Available
Q109-0400097,Not Available,Not Available,Not Available,63.4,Not Available,Not Available,128777.0,Not Available,4234.9,1645948.8,79.5,Not Available,Not Available,4234.9,-30.2,Queens Village,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,63.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,128777,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,32.89,Not Available,Ok,Not Available,Not Available,4226839,Not Available
Q025-0400025,Not Available,Not Available,Not Available,70.3,Not Available,Not Available,161175.0,Not Available,1380.9,3302816.2,79.5,Not Available,Not Available,1380.9,-25.8,Auburndale,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,70.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,161175,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,8.57,Not Available,Ok,Not Available,Not Available,4119139,Not Available
K035-0300058,Not Available,Not Available,Not Available,77.5,Not Available,Not Available,135600.0,Not Available,249,1681433.6,79.5,Not Available,Not Available,249,-29.6,Stuyvesant Heights,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,77.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,135600,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,1.84,Not Available,Ok,Not Available,Not Available,3047054,Not Available
"Q134, Q835-0400120",Not Available,Not Available,Not Available,62.9,Not Available,Not Available,109200.0,Not Available,268.6,1693034.4,79.5,Not Available,Not Available,268.6,-20.5,Hollis,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,63.1,Not Available,Not Available,0,109-36 204th Street,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,109200,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,2.46,Not Available,Ok,Not Available,Not Available,"Q134-4440330, Q835-4438829",Not Available
K225-0300230,Not Available,Not Available,Not Available,90.5,Not Available,Not Available,122400.0,Not Available,8638.5,2254649.6,79.5,Not Available,Not Available,8638.5,-23.2,Brighton Beach,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,91.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,122400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,70.58,Not Available,Ok,Not Available,Not Available,3245498,Not Available
K191-0300193,Not Available,Not Available,Not Available,90.2,Not Available,Not Available,86400.0,Not Available,4834.2,1228865.9,79.5,Not Available,Not Available,4834.2,-3.1,Crown Heights North,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,89,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,86400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,55.95,Not Available,Ok,Not Available,Not Available,3036635,Not Available
M011-0100034,Not Available,Not Available,Not Available,76.2,Not Available,Not Available,115300.0,Not Available,Not Available,2048837.8,79.5,Not Available,Not Available,Not Available,-23.7,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,75.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,115300,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,1013260,Not Available
K110-0300119,Not Available,Not Available,Not Available,45.7,Not Available,Not Available,80400.0,Not Available,6445.2,945397,79.5,Not Available,Not Available,6445.2,-27.7,Greenpoint,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,45.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,80400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,80.16,Not Available,Ok,Not Available,Not Available,3067144,Not Available
K212-0300215,Not Available,Not Available,Not Available,60,Not Available,Not Available,96000.0,Not Available,5137.5,1472619.2,79.5,Not Available,Not Available,5137.5,-25.8,Gravesend,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,58.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,96000,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,53.52,Not Available,Ok,Not Available,Not Available,3187407,Not Available
K308-0300303,Not Available,Not Available,Not Available,52.1,Not Available,Not Available,141600.0,Not Available,11444.6,2296276,79.5,Not Available,Not Available,11444.6,-37.9,Stuyvesant Heights,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,51.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,141600,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,80.82,Not Available,Ok,Not Available,Not Available,3044493,Not Available
K176-0300179,Not Available,Not Available,Not Available,61.8,Not Available,Not Available,110400.0,Not Available,6083.3,1589719,79.5,Not Available,Not Available,6083.3,-30.2,Dyker Heights,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,60.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,110400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,55.1,Not Available,Ok,Not Available,Not Available,3143190,Not Available
K055-0300074,Not Available,Not Available,Not Available,43.8,Not Available,Not Available,196800.0,Not Available,40543.9,3376515.3,79.5,Not Available,Not Available,40543.9,-47.9,Ocean Hill,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,43.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,196800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,206.02,Not Available,Ok,Not Available,Not Available,3038939,Not Available
M855-0101504,Not Available,Not Available,Not Available,70,Not Available,Not Available,75980.0,Not Available,10130,3750470.1,79.5,Not Available,Not Available,10130,15.6,Lenox Hill-Roosevelt Island,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,70.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,75980,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,133.32,Not Available,Ok,Not Available,Not Available,1045949,Not Available
K220-0300225,Not Available,Not Available,Not Available,81,Not Available,Not Available,130800.0,Not Available,0,1854763.2,79.5,Not Available,Not Available,0,-24.2,Sunset Park East,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,76.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,130800,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,0,Not Available,Ok,Not Available,Not Available,3012824,Not Available
NYP Cornell (East Campus),Not Available,Not Available,Not Available,342.4,2050.6,5,2405480.0,Not Available,Not Available,83477409.1,79.5,Not Available,100,Not Available,-12.1,Lenox Hill-Roosevelt Island,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,340.1,Not Available,Not Available,0,Not Available,Not Available,07/19/2011,396315,Ok,Not Available,Not Available,2405480,2801796,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,2011,Ok,Not Available,Not Available,1084781; 1084780; 1081252,Not Available
X167-0200211,Not Available,Not Available,Not Available,46.2,Not Available,Not Available,207600.0,Not Available,1218.7,3665852.8,79.5,Not Available,Not Available,1218.7,-36.4,Crotona Park East,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,46.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,207600,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,5.87,Not Available,Ok,Not Available,Not Available,2094603,Not Available
M898-0101303,Not Available,Not Available,Not Available,49.3,Not Available,Not Available,23080.0,Not Available,Not Available,585772.2,79.5,Not Available,Not Available,Not Available,-59.9,Marble Hill-Inwood,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,49.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,23080,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,1082045,Not Available
K288-0300287,Not Available,Not Available,Not Available,55.8,Not Available,Not Available,98400.0,Not Available,Not Available,1756497.6,84.7,Not Available,Not Available,Not Available,-13,Seagate-Coney Island,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,55.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,98400,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,3189538,Not Available
M132-0100119,Not Available,Not Available,Not Available,86.4,Not Available,Not Available,97300.0,Not Available,Not Available,1236836.4,79.5,Not Available,Not Available,Not Available,-19.6,Washington Heights North,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,86.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,97300,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Ok,Not Available,Not Available,1063947,Not Available
2 Park Avenue,Not Available,Not Available,Not Available,60.3,Not Available,Not Available,897723.0,Not Available,12762.4,39647816.7,84.7,Not Available,Not Available,12762.4,-32,Midtown-Midtown South,Not Available,9177,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,60.7,Not Available,Not Available,0,Not Available,Not Available,09/19/2019,13106,Ok,Not Available,Not Available,Not Available,916666,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,No,0,13.92,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",Ok,Not Available,Not Available,1017019,Not Available
Times Square Tower,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1164662.0,Not Available,20885,58891459.7,84.7,Not Available,Not Available,20885,-22.5,Midtown-Midtown South,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,60.7,Not Available,Not Available,0,Not Available,Not Available,06/12/2018,12247,Ok,Not Available,Not Available,Not Available,1184834,Not Available,100,50,Not Available,Not Available,Not Available,Not Available,Yes,0,17.63,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2008",Ok,Not Available,Not Available,1086069,Not Available
