property_id,property_name,estimated_data_flag_fuel_1,parking_gross_floor_area,non_refrigerated_warehouse,multifamily_housing_government,parking_open_parking_lot,year_built,k_12_school_gross_floor_area,percent_of_total_electricity,last_modified_date_non,medical_office_number_of_1,national_median_reference,source_energy_use_kbtu,office_gross_floor_area_ft,laboratory_gross_floor_area,office_number_of_computers,weather_normalized_site_2,data_center_ups_output_meter,kerosene_use_kbtu,supermarket_grocery_number,avoided_emissions_onsite_1,retail_store_gross_floor,ambulatory_surgical_center,district_steam_use_kbtu,census_tract,natural_gas_use_therms,metered_areas_water,total_ghg_emissions_intensity,data_center_pdu_output_meter,weather_normalized_source_1,weather_normalized_source,weather_normalized_site_energy,restaurant_worker_density,alert_data_center_issue_with,office_weekly_operating_hours,diesel_2_use_kbtu,hospital_general_medical,data_center_it_source_energy,estimated_data_flag_district,restaurant_gross_floor_area,worship_facility_gross_floor,movie_theater_gross_floor,electricity_use_generated
1633734,X171-0201229,No,Not Available,Not Available,Not Available,Not Available,1995,40375,Not Available,04/10/2020 05:36 PM EDT,Not Available,CBECS - Elementary/Middle & High School,6621026.6,Not Available,Not Available,Not Available,21698.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,165.0,22077.00096,Not Available,5.9,Not Available,6521906.7,161.5,3685435.9,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633064,X040-0200076,No,Not Available,Not Available,Not Available,Not Available,1966,108000,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,8970069.5,Not Available,Not Available,Not Available,42331.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,39.0,41973.9996,Not Available,3.3,Not Available,9007596.6,83.4,5862711.3,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634584,X138-0200182,Not Available,Not Available,Not Available,Not Available,Not Available,1957,88375,Not Available,04/10/2020 05:35 PM EDT,Not Available,CBECS - Elementary/Middle & High School,10154474.5,Not Available,Not Available,Not Available,976,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,74.0,976.000002,Not Available,6.3,Not Available,10129508.9,114.6,7256304.6,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634641,X074-0200112,No,Not Available,Not Available,Not Available,Not Available,1974,166975,Not Available,04/10/2020 05:36 PM EDT,Not Available,CBECS - Elementary/Middle & High School,19794678.8,Not Available,Not Available,Not Available,3302.7,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,117.0,3288.000021,Not Available,5.4,Not Available,19307352.1,115.6,11704270.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1143922,NE - 111 WALL STREET,No,Not Available,Not Available,Not Available,Not Available,1968,Not Available,Not Available,04/27/2020 05:07 PM EDT,Not Available,CBECS - Office & Bank/Financial,130343423.1,885474,Not Available,1160,0,Not Available,Not Available,Not Available,0,Not Available,Not Available,26387397.7,7.0,0,Not Available,5.3,Not Available,130343423.1,147.2,61601076,Not Available,Ok,30.59,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available
1634231,K175-0300178,No,Not Available,Not Available,Not Available,Not Available,1930,106800,Not Available,04/14/2020 02:37 PM EDT,Not Available,CBECS - Elementary/Middle & High School,11972797.6,Not Available,Not Available,Not Available,57441.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,924.0,57811.99987,Not Available,4.8,Not Available,11933937.3,111.7,8399335.8,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633179,Q038-0400036,No,Not Available,Not Available,Not Available,Not Available,1925,39960,Not Available,04/17/2020 12:54 PM EDT,Not Available,CBECS - Elementary/Middle & High School,5257721.9,Not Available,Not Available,Not Available,662,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,638.0,662.0000269,Not Available,7.6,Not Available,5260761.5,131.7,4070625,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633098,K104-0300114,Not Available,Not Available,Not Available,Not Available,Not Available,1904,116400,Not Available,04/17/2020 10:28 AM EDT,Not Available,CBECS - Elementary/Middle & High School,10481556.7,Not Available,Not Available,Not Available,1129,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,160.0,1128.999988,Not Available,4.6,Not Available,10694936.9,91.9,7273232.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634460,K151-0300153,No,Not Available,Not Available,Not Available,Not Available,1905,67200,Not Available,04/14/2020 02:39 PM EDT,Not Available,CBECS - Elementary/Middle & High School,7900067.5,Not Available,Not Available,Not Available,40572.6,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,437.0,40861.00406,Not Available,5.2,Not Available,7946543.8,118.3,5808904.1,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633968,K100-0300111,Not Available,Not Available,Not Available,Not Available,Not Available,1931,93600,Not Available,04/17/2020 10:27 AM EDT,Not Available,CBECS - Elementary/Middle & High School,9530820.1,Not Available,Not Available,Not Available,3370.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,35602.0,3338.000216,Not Available,5.8,Not Available,9784166.3,104.5,7543171.2,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
