grade_6,students_with_disabilities_2,year,grade_11,students_with_disabilities_1,poverty_1,grade_7
0,13.5,2013-14,0,80,174,0
13,33.1,2013-14,68,107,271,19
0,16.7,2014-15,348,246,1021,0
0,32.0,2015-16,0,65,172,0
0,20.0,2016-17,54,45,172,0
292,12.1,2013-14,0,99,211,262
0,11.4,2016-17,0,73,121,0
98,18.6,2016-17,0,158,74,83
24,12.4,2016-17,0,76,206,21
0,16.1,2015-16,0,25,17,0
0,28.2,2015-16,0,71,247,0
0,19.1,2015-16,0,29,48,0
0,16.8,2017-18,0,110,493,0
24,22.1,2015-16,0,74,134,23
0,14.7,2017-18,0,40,75,0
487,15.8,2016-17,0,215,456,434
64,10.6,2017-18,70,52,123,68
0,19.2,2013-14,111,85,362,0
134,19.2,2017-18,0,77,109,134
111,20.2,2016-17,111,154,257,107
60,31.0,2017-18,0,115,324,65
0,35.0,2016-17,0,201,416,0
54,31.1,2016-17,0,140,418,73
0,15.2,2014-15,0,98,65,0
0,17.6,2015-16,105,78,373,0
150,3.8,2014-15,194,66,490,137
61,14.0,2017-18,0,33,28,57
0,18.2,2015-16,90,95,388,0
0,17.3,2014-15,47,31,147,0
0,7.5,2017-18,283,54,670,0
0,15.9,2015-16,392,285,1484,0
0,6.4,2015-16,258,48,661,0
0,17.4,2017-18,61,42,168,0
391,17.1,2014-15,0,183,667,342
130,13.2,2014-15,0,48,41,120
0,22.6,2013-14,82,95,274,0
0,23.7,2015-16,52,44,159,0
0,16.3,2015-16,94,67,345,0
0,20.8,2014-15,94,86,335,0
0,21.8,2017-18,59,67,260,0
0,27.9,2016-17,62,89,272,0
0,21.6,2017-18,0,119,533,0
0,16.8,2015-16,0,121,29,0
21,2.0,2014-15,0,3,95,22
57,20.3,2015-16,0,102,463,49
141,16.3,2013-14,0,67,147,137
54,7.4,2013-14,0,17,25,58
0,16.9,2014-15,0,150,67,0
0,21.4,2016-17,83,85,366,0
57,5.3,2015-16,0,30,264,61
0,7.9,2016-17,326,103,323,0
0,20.6,2017-18,55,58,229,0
66,13.6,2013-14,0,119,103,92
0,18.5,2014-15,0,150,132,0
0,5.5,2014-15,246,40,646,0
0,2.3,2014-15,97,12,396,0
0,25.1,2014-15,74,102,301,0
127,24.3,2015-16,0,90,257,124
0,14.0,2014-15,0,60,39,0
0,20.9,2015-16,50,45,153,0
0,32.8,2016-17,0,81,239,0
0,13.9,2014-15,440,246,1458,0
0,3.9,2016-17,78,13,161,0
0,32.5,2016-17,0,88,207,0
0,3.7,2015-16,82,16,186,0
70,38.3,2017-18,0,98,205,90
12,52.3,2017-18,0,103,122,17
0,2.8,2016-17,101,11,339,0
99,23.3,2017-18,0,66,142,93
27,44.1,2016-17,0,56,98,44
0,12.3,2013-14,0,71,300,0
0,18.7,2016-17,0,59,71,0
0,16.2,2014-15,0,68,217,0
0,17.0,2017-18,94,79,406,0
0,9.6,2017-18,312,133,341,0
93,16.5,2015-16,0,144,62,91
15,13.1,2016-17,47,41,57,16
0,22.7,2014-15,0,144,411,0
0,11.8,2017-18,0,22,22,0
0,24.2,2015-16,80,99,291,0
109,16.0,2014-15,0,54,146,117
0,4.9,2017-18,152,29,256,0
0,23.9,2017-18,97,85,306,0
0,4.1,2013-14,70,14,174,0
0,19.7,2016-17,109,92,262,0
151,15.8,2016-17,0,70,31,147
0,3.8,2014-15,192,20,203,0
0,18.0,2013-14,0,85,19,0
0,22.6,2014-15,88,101,364,0
0,17.4,2013-14,0,157,80,0
49,21.3,2016-17,0,156,549,60
20,25.2,2016-17,46,78,204,15
101,36.4,2016-17,0,103,195,97
52,31.0,2016-17,0,138,382,52
0,10.2,2015-16,0,83,368,0
52,23.5,2016-17,0,35,111,41
0,17.8,2014-15,0,156,80,0
0,10.6,2015-16,144,68,287,0
0,26.1,2013-14,60,78,272,0
24,2.7,2013-14,0,4,92,21
65,7.4,2015-16,61,36,88,64
0,27.5,2015-16,179,147,500,0
64,6.5,2017-18,0,35,45,64
0,5.0,2013-14,88,8,79,0
62,22.6,2013-14,0,44,183,68
94,16.2,2014-15,0,139,77,62
53,15.1,2013-14,0,93,455,51
0,8.7,2014-15,135,44,276,0
120,18.3,2015-16,0,63,174,111
450,16.2,2017-18,0,216,409,457
136,21.3,2015-16,0,29,25,0
0,15.0,2016-17,131,65,329,0
0,18.3,2017-18,166,104,451,0
0,19.2,2013-14,99,82,342,0
0,18.6,2014-15,134,126,529,0
0,33.0,2013-14,0,59,145,0
