oid,location_name,council_district,technology_related_courses,fri_open,bin,workstation_number,staffed,access_notes,media_and_entertainment_ex,mon_open,wireline_dwn,type_of_device_available
DYCDPCCCA372,Highbridge Gardens Community Center,16.0,Y,2pm-10pm,2095219.0,7.0,Y,,Y,2pm-10pm,328.0,Desktops
NYPL011,Belmont Library and Enrico Fermi Cultural Center,15.0,Y,10:00 AM - 6:00 PM,2012129.0,14.0,Y,,N,10:00 AM - 6:00 PM,1000.0,"Laptops,Desktops,Chromebooks"
NYPL067,Seward Park Library,1.0,Y,10:00 AM - 5:00 PM,1004053.0,33.0,Y,,N,10:00 AM - 8:00 PM,1000.0,"Laptops,Desktops,Chromebooks"
DYCDPCCCO983,Washington Community Center,8.0,Y,9:00 AM - 9:00 PM,1079203.0,,N,,Y,9:00 AM - 9:00 PM,0.0,
QPL026,Hillcrest Library,24.0,Y,10am - 6pm,4155032.0,11.0,Y,,N,10am - 6pm,500.0,"Tablets,Desktops"
DFTAPCCSUN250,Shore Hill Neighborhood Senior Center,47.0,Y,9:00 AM - 5:00 PM,3322532.0,3.0,Y,,N,9:00 AM - 5:00 PM,192.9,Tablets
DYCDPCCCA247,Albany Cornerstone  Community Center,36.0,Y,10:30 AM - 8:30 PM,3324617.0,,N,,N,10:30 AM - 8:30 PM,25.0,Desktops
DYCDPCCSO374,South Jamaica Ckrnerstone Community Center,28.0,Y,9:00 AM - 11:00 PM,4435245.0,6.0,Y,,N,9:00 AM - 11:00 PM,250.8,"Desktops,Laptops,Wi-fi Hotspots"
QPL043,Ozone Park Library,32.0,Y,10am - 6pm,4189526.0,18.0,Y,,N,10am - 6pm,500.0,"Tablets,Desktops"
PARKS019,McCarren Media Lab,33.0,Y,6pm-12am,3067525.0,13.0,Y,All ages; Recreation Center membership required,Y,10am-6pm,143.5,Desktops
DFTAPCCJEW249,Bay Eden Neighborhood Senior Center,12.0,Y,8:00 AM - 4:00 PM,2093741.0,10.0,Y,"Age 60+ years, a resident of NYC, and registered member of Bay Eden OAC.",N,8:00 AM - 4:00 PM,93.0,"Desktops,Headsets,Printers,Cameras,Wi-fi Hotspots"
DFTAPCCROC798,SNAP of Eastern Queens Older Adult Center,23.0,Y,9:00 AM - 3:00 PM,4537294.0,,N,Age 60+,N,9:00 AM - 3:00 PM,0.0,
NYCHADV04,Digital Van 4,,Y,9:00 AM - 3:00 PM,,8.0,Y,The eligbility requirement is that you must be under the age of 12 and be accompanied by an adult.,N,9:00 AM - 3:00 PM,,"Wi-fi Hotspots,Desktops,Printers"
PARKS011,Greenbelt Media Lab,50.0,Y,6:30am-8:30pm,5107273.0,9.0,N,All ages; Recreation Center membership required,N,6:30am-8:30pm,,Desktops
DFTAPCCWES273,The Center At The Red Oak Neighborhood Senior Center,7.0,Y,8:30 AM - 4:00 PM,1055957.0,6.0,N,Must be an Older Adult Center member OR a WSFSSH resident.,Y,8:30 AM - 4:00 PM,163.9,"Desktops,Chargers,Tablets,Printers"
DFTAPCCALL90-20,Allen Community International Tower Senior Center,27.0,Y,9:00 AM - 4:00 PM,4209721.0,4.0,N,Must be an older adult aged 60 and above.,N,9:00 AM - 4:00 PM,0.0,"Desktops,Printers"
QPL065,Woodhaven Library,32.0,Y,10am - 6pm,4181578.0,11.0,Y,,N,10am - 6pm,500.0,"Tablets,Desktops"
DYCDPCCSU422,Berry Cornerstone Community Center,50.0,Y,9:00 AM - 5:00 PM,5109569.0,12.0,Y,,N,9:00 AM - 5:00 PM,540.4,"Desktops,Wi-fi Hotspots,Headsets"
NYPL037,Huguenot Park Library,51.0,Y,10:00 AM - 5:00 PM,5083401.0,11.0,Y,,N,10:00 AM - 6:00 PM,1000.0,"Laptops,Desktops,Chromebooks"
