property_id,property_name,non_refrigerated_warehouse_3,k_12_school_computer_density,parking_gross_floor_area,retail_store_open_or_closed,supermarket_grocery_number_2,onsite_renewable_system,retail_store_walk_in,parking_open_parking_lot,generation_date,council_district,retail_store_cash_register,bin,address_2,senior_care_community_number_4,data_center_it_energy,electricity_onsite_renewable,senior_care_community_number_5,latitude,green_power_offsite_kwh,retail_store_percent_that,hospital_general_medical_6,k_12_school_percent_that,national_median_source_eui,water_alerts,percent_better_than_national_1,residence_hall_dormitory_2,date_property_last_modified,diesel_2_use_kbtu,k_12_school_high_school,medical_office_weekly,non_refrigerated_warehouse_2,metered_areas_energy,residence_hall_dormitory_1,energy_star_score,district_chilled_water_use,indoor_water_intensity_all,estimated_data_flag_fuel_2,energy_star_certification_3,hotel_gross_floor_area_ft,onsite_renewable_system_1,senior_care_community_number_6,hotel_percent_that_can_be,weather_normalized_site_eui,hospital_general_medical_2,hospital_general_medical_1
2384128,520 East 76th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-24T12:31:46.000,5.0,Not Available,1046307.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.769146,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,113.63,No,Not Available,Not Available,Not Available,Not Available,Not Available,59.9,Not Available,Not Available
2364068,10 Rock (Bld 11),Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-24T16:41:26.000,4.0,0.3,1077284.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.758104,Not Available,100,Not Available,Not Available,272.1,Not Available,-14.2,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,63,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,123.6,Not Available,Not Available
1203624,C&W/METLIFE 27-01 QPN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-31T00:35:15.000,26.0,Not Available,4005016.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.750561,Not Available,Not Available,Not Available,Not Available,298,Not Available,-31.5,Not Available,18-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,81,0,Not Available,Not Available,"2007, 2008, 2009, 2010, 2011, 2012",Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available
2430725,Trinity- 155 Aof A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-09T14:40:12.000,3.0,Not Available,1007385.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.725248,Not Available,Not Available,Not Available,Not Available,289.2,Not Available,-51.9,Not Available,03-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,94,0,8.39,Not Available,"2011, 2012",Not Available,Not Available,Not Available,Not Available,54.8,Not Available,Not Available
1460459,909 Third,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-28T09:53:26.000,4.0,Not Available,1038570.0,,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.758744,Not Available,Not Available,Not Available,Not Available,333.9,Not Available,-26.5,Not Available,27-FEB-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,78,0,16.08,Not Available,"2008, 2012",Not Available,Not Available,Not Available,Not Available,99.9,Not Available,Not Available
2611699,0973-7501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-30T15:21:17.000,22.0,Not Available,4449269.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.768051,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,14-APR-13,Not Available,Not Available,Not Available,Not Available,Default energy data,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84.7,Not Available,Not Available
1944274,Queenswood-Building 2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-23T10:10:48.000,21.0,Not Available,4047631.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.73973,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78.3,Not Available,Not Available
1463980,350 Park Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-28T09:53:26.000,4.0,Not Available,1035473.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.758224,Not Available,Not Available,Not Available,Not Available,301,Not Available,8.1,Not Available,27-FEB-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,42,0,20.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,136.4,Not Available,Not Available
1216329,FDA Queens,0,Not Available,91262,Not Available,Not Available,Not Available,Not Available,0,2013-04-15T10:36:43.000,27.0,Not Available,4467556.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.699839,Not Available,Not Available,Not Available,Not Available,127,Not Available,300.5,Not Available,27-MAR-13,Not Available,Not Available,Not Available,0,Whole Facility Energy Consumption,Not Available,0,0,33.48,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,255.4,Not Available,Not Available
1946606,Loews Regency Hotel,Not Available,Not Available,27000,Not Available,Not Available,Not Available,Not Available,0,2013-04-26T11:59:08.000,4.0,Not Available,1040855.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.764308,Not Available,Not Available,Not Available,Not Available,239.6,Not Available,1.8,Not Available,24-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,48,0,126.94,Not Available,Not Available,320000,Not Available,Not Available,100,130.9,Not Available,Not Available
