property_id,property_name,non_refrigerated_warehouse_3,k_12_school_computer_density,parking_gross_floor_area,retail_store_open_or_closed,supermarket_grocery_number_2,onsite_renewable_system,retail_store_walk_in,parking_open_parking_lot,generation_date,council_district,retail_store_cash_register,bin,address_2,senior_care_community_number_4,data_center_it_energy,electricity_onsite_renewable,senior_care_community_number_5,latitude,green_power_offsite_kwh,retail_store_percent_that,hospital_general_medical_6,k_12_school_percent_that,national_median_source_eui,water_alerts,percent_better_than_national_1,residence_hall_dormitory_2,date_property_last_modified,diesel_2_use_kbtu,k_12_school_high_school,medical_office_weekly,non_refrigerated_warehouse_2,metered_areas_energy,residence_hall_dormitory_1,energy_star_score,district_chilled_water_use,indoor_water_intensity_all,estimated_data_flag_fuel_2,energy_star_certification_3,hotel_gross_floor_area_ft,onsite_renewable_system_1,senior_care_community_number_6,hotel_percent_that_can_be,weather_normalized_site_eui,hospital_general_medical_2,hospital_general_medical_1
2345461,3201,Not Available,Not Available,Not Available,0.04,Not Available,Not Available,0,Not Available,2013-04-29T10:52:17.000,50.0,0.15,,Not Available,Not Available,Not Available,Not Available,Not Available,40.566994,Not Available,100,Not Available,Not Available,203.3,Not Available,-26.1,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,71,0,14.48,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.8,Not Available,Not Available
2430729,Trinity- 435 Hudson,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-01T10:01:44.000,3.0,Not Available,1010402.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.730587,Not Available,Not Available,Not Available,Not Available,319.9,Not Available,-2,Not Available,28-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,52,0,15.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104.5,Not Available,Not Available
1845411,110 East 59th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-22T14:13:50.000,4.0,Not Available,1037165.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.762631,Not Available,Not Available,Not Available,Not Available,292.7,Not Available,8.9,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,42,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,140.6,Not Available,Not Available
2586392,THE ARSENAL COMPANY LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-24T10:19:26.000,3.0,Not Available,1015222.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.751749,Not Available,Not Available,Not Available,Not Available,261,Not Available,-35.6,Not Available,04-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,83,0,Not Available,No,2012,Not Available,Not Available,Not Available,Not Available,58.9,Not Available,Not Available
2560258,BIMC - Petrie Division,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-23T16:35:03.000,2.0,Not Available,1081661.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.733147,Not Available,Not Available,1,Not Available,522.8,Not Available,-6.1,Not Available,14-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,61,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,214.2,0,1
1426638,40 East 52nd Street,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-07T10:00:27.000,4.0,0.14,1076267.0,Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT equipment. (Preferred),Not Available,Not Available,40.758814,Not Available,100,Not Available,Not Available,587.2,Not Available,-33.1,Not Available,29-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,91,0,22.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.5,Not Available,Not Available
2485934,AJC National Headquarters,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-23T12:45:56.000,4.0,0.58,1036879.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.759952,Not Available,100,Not Available,Not Available,261.7,There is no water use for the time period specified.,-35,Not Available,11-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,82,0,0,Not Available,"2010, 2011",Not Available,Not Available,Not Available,Not Available,61.5,Not Available,Not Available
2522063,20 Rock (Christie's),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-26T11:56:22.000,4.0,Not Available,1077284.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.758348,Not Available,Not Available,Not Available,Not Available,94,Not Available,246.8,Not Available,24-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.8,Not Available,Not Available
1796792,Deutsche Bank - Piscataway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-06-02T10:33:58.000,,Not Available,,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,164,Not Available,Not Available,Not Available,26-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2539077,Winter- 423 W 55th St,Not Available,Not Available,Not Available,0.06,Not Available,Not Available,0,Not Available,2013-04-24T15:39:54.000,3.0,0.19,1026842.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.766993,Not Available,100,Not Available,Not Available,164,Not Available,-4.3,Not Available,12-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52,Not Available,Not Available
1560916,732 Lexington Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-30T12:36:04.000,4.0,Not Available,1087267.0,130 East 59th Street,Not Available,Uninterruptible Power Supply (UPS) supports only IT equipment. (Preferred),Not Available,Not Available,40.761944,Not Available,Not Available,Not Available,Not Available,296.2,Not Available,-45.6,Not Available,28-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,92,0,18.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55.1,Not Available,Not Available
1241677,0578 Inwood,Not Available,Not Available,Not Available,Not Available,12,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,650.2,Not Available,-14.8,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,72,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,206.3,Not Available,Not Available
2611698,Riverdale House,Not Available,Not Available,3900,Not Available,Not Available,Not Available,Not Available,0,2013-04-26T16:54:51.000,11.0,Not Available,2083984.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.887497,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,76.2,Not Available,Not Available
1409173,NE - COURT SQUARE II,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-31T00:35:15.000,26.0,Not Available,4539429.0,Long Island City,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.747571,Not Available,Not Available,Not Available,Not Available,274.8,Not Available,-38.6,Not Available,22-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,87,0,9.41,Not Available,"2009, 2010, 2011, 2012",Not Available,Not Available,Not Available,Not Available,58.4,Not Available,Not Available
2590317,Park Columbus,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-15T09:13:11.000,6.0,Not Available,1031783.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.783473,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,370.01,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2614202,845 1st Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-28T17:59:58.000,4.0,Not Available,1038909.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.751983,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,27-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68.4,Not Available,Not Available
2612582,143-09 BARCLAY AVE,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-29T12:05:35.000,20.0,Not Available,4114658.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.759183,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,28-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.5,Not Available,Not Available
2383961,333 East 46th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-24T12:31:46.000,4.0,Not Available,1038901.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.752011,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15-MAY-13,Not Available,Not Available,65,Not Available,No Selection Made,Not Available,0,0,45.77,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,123.1,Not Available,Not Available
2533065,400 Fifth Avenue,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-28T08:40:20.000,4.0,0.3,1015937.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.750038,Not Available,100,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,19-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,0,Not Available,Not Available,149472,Not Available,Not Available,100,95.8,Not Available,Not Available
1802295,Boston Properties- 5 Times Sq.,Not Available,Not Available,Not Available,0.14,Not Available,Not Available,0.08,Not Available,2013-04-29T08:43:41.000,3.0,0.35,1024656.0,Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT equipment. (Preferred),Not Available,Not Available,40.755709,Not Available,100,Not Available,Not Available,352.1,Not Available,-18.6,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,68,0,28.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.6,Not Available,Not Available
2238727,148 Lafayette,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-23T18:40:31.000,1.0,Not Available,1003051.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.719526,2036.73,Not Available,Not Available,Not Available,304.9,Not Available,-36.7,Not Available,13-MAY-13,Not Available,Not Available,Not Available,Not Available,Tenant Energy Consumption Only,Not Available,84,0,7.91,Not Available,"2010, 2013",Not Available,Not Available,Not Available,Not Available,68.4,Not Available,Not Available
2611745,Towers Golf Course and Irrigation Wells,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-31T22:52:03.000,23.0,Not Available,4456886.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.759261,Not Available,Not Available,Not Available,Not Available,127,Not Available,2741.8,Not Available,04-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1080.6,Not Available,Not Available
2564206,15 West 20th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-28T08:40:20.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,16-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.3,Not Available,Not Available
1241649,0528 Newburgh,Not Available,Not Available,Not Available,Not Available,14,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,673.7,Not Available,-21.3,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,81,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,192.9,Not Available,Not Available
2290685,Boston Properties- 125 West 55th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-29T08:43:41.000,4.0,Not Available,1076176.0,,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.763514,Not Available,Not Available,Not Available,Not Available,355.5,Not Available,-32.2,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,82,0,18.41,Not Available,2012,Not Available,Not Available,Not Available,Not Available,80.4,Not Available,Not Available
2592527,145 Lincoln Road,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-06-03T16:42:02.000,40.0,Not Available,3035247.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.661118,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,30-MAY-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2533061,59 John Street,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-28T08:40:20.000,1.0,0,1001193.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.7089,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,50.27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.5,Not Available,Not Available
2614198,725 Fifth Ave.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-28T17:59:58.000,4.0,Not Available,1035794.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.762508,Not Available,Not Available,Not Available,Not Available,Not Available,There is no water use for the time period specified.,Not Available,Not Available,27-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,89.8,Not Available,Not Available
1472193,Fisher - 605 3rd Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-24T15:30:37.000,4.0,Not Available,1082153.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.749076,Not Available,Not Available,Not Available,Not Available,307.9,Not Available,-32.2,Not Available,01-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,82,0,Not Available,Not Available,"2011, 2012",Not Available,Not Available,Not Available,Not Available,90.2,Not Available,Not Available
2561951,3201-13 Park Realty L.L.C.,Not Available,Not Available,Not Available,0.5,1,Not Available,0,Not Available,2013-04-21T13:51:51.000,13.0,1,2048553.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.852799,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09-APR-13,Not Available,Not Available,40,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197.7,Not Available,Not Available
1241634,0504 Bronx,Not Available,Not Available,Not Available,Not Available,11,Not Available,Not Available,Not Available,2013-05-15T10:33:11.000,12.0,Not Available,2118946.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.879864,Not Available,Not Available,Not Available,Not Available,648.8,Not Available,-8.7,Not Available,26-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,63,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,239.9,Not Available,Not Available
1536164,ATCO - 555 Fifth Avenue,Not Available,Not Available,Not Available,0.06,Not Available,Not Available,0.06,Not Available,2013-04-26T15:36:06.000,4.0,0.08,1035401.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.755801,Not Available,100,Not Available,Not Available,304.3,Not Available,-29.3,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,78,0,Not Available,Not Available,2010,Not Available,Not Available,Not Available,Not Available,69.7,Not Available,Not Available
1582233,1 United Nations Plaza,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-18T12:21:05.000,4.0,Not Available,1038758.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.750441,Not Available,Not Available,Not Available,Not Available,282,Not Available,2.7,Not Available,15-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,47,0,46.28,Not Available,Not Available,200000,Not Available,Not Available,100,121.8,Not Available,Not Available
2606281,84 Fifth Avenue,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-07-26T10:36:41.000,3.0,0.10412,1015291.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.736112,0,100,Not Available,Not Available,226.3,This property does not have at least one meter for the type of energy or water used in this metric calculation.,-13.3,Not Available,07/24/2013 05:25 PM EDT,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.1,Not Available,Not Available
2559046,"Rockaway One Company11, LLC",Not Available,Not Available,26700,Not Available,Not Available,Not Available,Not Available,0,2013-04-18T11:22:43.000,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,55.9,Not Available,Not Available
2610158,Research and Learning Center,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-01T16:18:00.000,11.0,Not Available,2084004.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.886091,Not Available,Not Available,Not Available,Not Available,144,Not Available,8.9,Not Available,22-MAR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.6,Not Available,Not Available
2610542,Rodless Properties LP EAST BLK 10352 LOT 89,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-26T10:31:03.000,27.0,Not Available,4220567.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.709522,Not Available,Not Available,Not Available,Not Available,43.7,Not Available,182.4,Not Available,19-APR-13,Not Available,Not Available,Not Available,0,Whole Facility Energy Consumption,Not Available,2,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90.3,Not Available,Not Available
2383143,70 Remsen Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-24T12:31:46.000,33.0,Not Available,3002201.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.694403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15-MAY-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,45.52,No,Not Available,Not Available,Not Available,Not Available,Not Available,74.8,Not Available,Not Available
2595885,3130 Grand Concourse Coop/Condo,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-29T09:35:38.000,11.0,Not Available,2017347.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.875123,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,78.08,No,Not Available,Not Available,Not Available,Not Available,Not Available,88.8,Not Available,Not Available
2598578,CBRE- 292 Madison,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-24T15:23:56.000,4.0,Not Available,1035322.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.75189,Not Available,Not Available,Not Available,Not Available,275.6,Not Available,-27.3,Not Available,09-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,76,0,Not Available,Not Available,2012,Not Available,Not Available,Not Available,Not Available,97.5,Not Available,Not Available
1463679,770 Broadway,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-28T09:53:26.000,2.0,0.69,1008952.0,Not Available,Not Available,IT Energy is not currently metered at this facility - Apply estimates.,Not Available,Not Available,40.730842,Not Available,40,Not Available,Not Available,319.8,Not Available,-35,Not Available,22-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,83,0,12.74,Not Available,2008,Not Available,Not Available,Not Available,Not Available,82.7,Not Available,Not Available
2240788,TSBA,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-03-14T09:55:15.000,26.0,Not Available,4000795.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.749499,Not Available,Not Available,Not Available,Not Available,257.5,Not Available,0.1,Not Available,11-MAR-13,Not Available,Not Available,Not Available,0,No Selection Made,Not Available,49,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104.2,Not Available,Not Available
2610981,SURFSIDE MANOR,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-12T08:29:02.000,32.0,Not Available,4303677.0,Not Available,0,Not Available,Not Available,100,40.585512,Not Available,Not Available,Not Available,Not Available,248,Not Available,Not Available,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available
2592027,Westleigh Company LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-23T11:00:04.000,25.0,Not Available,4035564.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.75201,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2598016,175 West 12th Street Corporation,Not Available,Not Available,Not Available,3.4,Not Available,Not Available,0,Not Available,2013-05-10T09:43:41.000,3.0,1.7,1067315.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.736853,Not Available,75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17-APR-13,Not Available,Not Available,40,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,105.4,Not Available,Not Available
2562923,2114 Aqueduct Realty L.L.C.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-21T13:51:51.000,13.0,Not Available,2048553.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.852799,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,109.6,Not Available,Not Available
2598414,51 West 81st Street Corporation,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-10T09:43:41.000,6.0,0.3,1031134.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.782649,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45.1,Not Available,Not Available
2503315,660,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-05-07T17:31:32.000,4.0,Not Available,1022549.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.746031,Not Available,Not Available,Not Available,Not Available,387.8,Not Available,33.7,Not Available,14-FEB-13,Not Available,Not Available,120,Not Available,No Selection Made,Not Available,20,0,17.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,183.1,Not Available,Not Available
2506977,Brave Front Corp.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-19T09:06:52.000,8.0,Not Available,2002993.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.830975,Not Available,Not Available,Not Available,Not Available,Not Available,Less than 1 year of data<br>,Not Available,Not Available,05-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,101.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,117.6,Not Available,Not Available
