property_id,address_1,parking_partially_enclosed,hotel_cooking_facilities,parking_completely_enclosed,worship_facility_weekly,multifamily_housing_percent_1,direct_ghg_emissions_mtco2e,indoor_water_use_all_water,senior_care_community_number,data_center_pue,indirect_ghg_emissions_mtco2e,non_refrigerated_warehouse_1,year_ending,fuel_oil_5_6_use_kbtu,estimated_data_flag_district,other_use_kbtu,bank_branch_computer_density,retail_store_weekly_operating,data_center_it_source_energy,bank_branch_gross_floor_area,postcode,source_eui_kbtu_ft,senior_care_community_average,electricity_use_grid_purchase,target_energy_star_score,senior_care_community_percent,energy_star_certification_1,office_weekly_operating_hours,estimated_data_flag_district_1,medical_office_gross_floor,refrigerated_warehouse_worker,water_current_date,primary_property_type_self,estimated_data_flag_1,community_board,site_eui_kbtu_ft,estimated_data_flag_fuel,egrid_output_emissions_rate,service_and_product_provider,hotel_type_of_laundry_facility,office_worker_density_number,data_center_ups_output_site,multifamily_housing_resident,retail_store_computer_density,k_12_school_gross_floor_area
1753814,80 Birdsell Road,Not Available,Not Available,Not Available,Not Available,Not Available,228.09,Not Available,Not Available,Not Available,901.62,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10589,475.5,Not Available,9877387.44,75,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,179.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1241799,1100 E Jericho Trnpike,Not Available,Not Available,Not Available,Not Available,Not Available,191.46,Not Available,Not Available,Not Available,1678.39,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11743,484.5,Not Available,8862586.85,75,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,180.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
260039000.00%,1801 Dorchester Road,Not Available,Not Available,Not Available,Not Available,Not Available,352.47,Not Available,Not Available,Not Available,177.75,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11226,111.3,Not Available,1893268.86,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,314.0,71.5,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2598343,153 East 57th Street,0,Not Available,11797,Not Available,20.5,550.06,Not Available,Not Available,Not Available,409.25,Not Available,2012-12-31T00:00:00.000,6940864.07,Not Available,Not Available,Not Available,55,Not Available,Not Available,10155,158.8,Not Available,4358960.1,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,106.0,83.2,Not Available,Not Available,Energy Investment Systems,Not Available,Not Available,Not Available,Not Available,0.2,Not Available
2435222,1601 Broadway,0,1,36063,Not Available,Not Available,372.51,Not Available,Not Available,Not Available,7443.64,Not Available,2012-12-31T00:00:00.000,Not Available,No,Not Available,Not Available,84,Not Available,Not Available,10019,266,Not Available,47140010.06,0,Not Available,Not Eligible: Rating must be 75 or above,54,Not Available,Not Available,Not Available,31-JAN-13,Hotel,Not Available,105.0,116.4,Not Available,Not Available,,4000000,1.87,Not Available,Not Available,0.38,Not Available
2606978,1 Tiffany Place,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11321,477.5,Not Available,2856253.44,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-OCT-12,Multifamily Housing,Not Available,,209.2,Not Available,Not Available,One Tiffany Place Condominium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1764864,220 west 42nd street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8472.3,Not Available,Not Available,Not Available,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10036,Not Available,Not Available,Not Available,Not Available,Not Available,Not Eligible: Current period ending over 120 days,65,Not Available,Not Available,Not Available,31-DEC-12,Office,Not Available,105.0,Not Available,Not Available,Not Available,,Not Available,4.91,Not Available,Not Available,Not Available,Not Available
2563039,1919 Williamsbridge Road,Not Available,Not Available,Not Available,Not Available,20,502.29,Not Available,Not Available,Not Available,126.05,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,10461,138.7,Not Available,1342571.48,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Multifamily Housing,Not Available,211.0,100.4,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,0.89,Not Available
1241683,670 N. Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,281.4,Not Available,Not Available,Not Available,1057.52,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10603,553.2,Not Available,11263735.76,75,Not Available,Eligible,Not Available,Not Available,Not Available,Not Available,01-JAN-00,Supermarket/Grocery,Not Available,,212.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2563626,33 CENTRAL AVE,Not Available,Not Available,Not Available,Not Available,8,173.32,447.6,Not Available,Not Available,66.28,Not Available,2012-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10301,76.9,Not Available,705966.68,0,Not Available,Not Eligible: Rating must be 75 or above,Not Available,Not Available,Not Available,Not Available,31-DEC-12,Multifamily Housing,Not Available,501.0,52.9,Not Available,Not Available,,Not Available,Not Available,Not Available,No specific resident population,Not Available,Not Available
