no_travel_homeschool,deliver_none,person_num,no_travel_no_transport,hh_id,deliver_other,no_travel_housework
995,1,1,995,196355892,0,995
995,0,1,995,191912929,0,995
995,-9998,1,995,19763057,-9998,995
995,0,1,995,195710575,0,995
995,1,1,995,19839985,0,995
995,1,1,995,191547753,0,995
0,1,1,0,19763057,0,0
995,1,1,995,19697957,0,995
995,1,1,995,19781379,0,995
995,1,1,995,19788741,0,995
995,1,1,995,197159897,0,995
995,0,1,995,19041683,0,995
0,0,1,0,19790439,0,1
0,0,1,0,19335767,0,0
995,1,1,995,199478901,0,995
995,0,1,995,19697957,0,995
995,1,1,995,191912929,0,995
995,1,1,995,196165032,0,995
995,0,1,995,198384279,0,995
995,1,1,995,19795057,0,995
995,-9998,1,995,19538747,-9998,995
995,1,1,995,19046325,0,995
995,0,1,995,19976134,0,995
0,1,1,0,19166193,0,1
0,1,1,0,19837789,0,0
995,0,1,995,19897994,0,995
995,1,1,995,19759230,0,995
995,1,1,995,191546322,0,995
995,1,1,995,19335767,0,995
0,0,1,0,19728477,0,0
995,1,1,995,19522530,0,995
995,1,1,995,19274519,0,995
995,1,1,995,19861579,0,995
995,0,1,995,19324963,0,995
995,0,1,995,19921063,0,995
995,1,1,995,19453139,0,995
995,0,1,995,19878706,0,995
995,1,1,995,19652456,0,995
0,1,1,0,19268881,0,0
995,1,1,995,19040425,0,995
995,-9998,1,995,19538747,-9998,995
995,1,1,995,19816756,0,995
995,1,1,995,19004442,0,995
995,1,1,995,194754023,0,995
995,1,1,995,19605518,0,995
995,1,1,995,19577146,0,995
0,1,1,0,19177357,0,0
995,0,1,995,198384279,0,995
995,0,1,995,19453139,0,995
995,1,1,995,19035289,0,995
995,1,1,995,19448981,0,995
995,0,1,995,193943331,0,995
995,1,1,995,19643282,0,995
995,0,1,995,19663685,0,995
995,1,1,995,19739768,0,995
995,1,1,995,19820185,0,995
995,0,1,995,19839985,0,995
995,1,1,995,19911992,0,995
995,1,1,995,19035289,0,995
995,1,1,995,19873448,0,995
995,1,1,995,194783312,0,995
995,1,1,995,19697957,0,995
995,1,1,995,191912929,0,995
