brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_3_year_built,comparable_rental_3_address,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,comparable_rental_1_total_units,brooklyn_cooperatives_comparable_properties_neighborhood,bbl,comparable_rental_3_market_value_per_sqft,comparable_rental_1_estimated_gross_income
3-06027-0031,"{'latitude': '40.621705900144', 'longitude': '-74.023496460868', 'human_address': '{""address"": ""580 84 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.3, ,D7-ELEVATOR, ,, , ,,DYKER HEIGHTS,18.88,57.54,8.76,8.87,218660.0,18.03,1954,55,BAY RIDGE,, ,1208320
3-07457-0001,"{'latitude': '40.584603826224', 'longitude': '-73.981966654599', 'human_address': '{""address"": ""2620 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,D1-ELEVATOR, ,, , ,,SHEEPSHEAD BAY,18.13,48.19,7.96,9.66,1061979.0,16.55,1952,76,SHEEPSHEAD BAY,, ,991071
3-06115-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9437 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05, ,D1-ELEVATOR, ,, , ,,BAY RIDGE,17.99,65.0,9.02,7.06,564255.0,17.8,1940,63,BAY RIDGE,3061150001.0, ,1035372
3-00251-0055,"{'latitude': '40.694431724522', 'longitude': '-73.998074046033', 'human_address': '{""address"": ""19 GRACE COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.63,77.32,7.87,7.87,107298.0,17.09,1926,41,BROOKLYN HEIGHTS,3002510055.0, ,748577
3-00229-0006,"{'latitude': '40.698575385791', 'longitude': '-73.996164951212', 'human_address': '{""address"": ""129 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.04, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,17.36,77.38,7.87,8.95,432456.0,18.0,1900,16,BROOKLYN HEIGHTS,3002290006.0, ,245070
3-06137-0200,"{'latitude': '40.612667572249', 'longitude': '-74.034926348897', 'human_address': '{""address"": ""302 101 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14,13.96,C7-WALK-UP,1931,"{'latitude': '40.611875423327', 'longitude': '-74.033895852316', 'human_address': '{""address"": ""425 101 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,6.68,3-06138-0047,BAY RIDGE,10.53,44.07,6.7,6.11,271048.0,9.22,1983,43,BAY RIDGE,3061370200.0,47.53,377859
3-05275-0036,"{'latitude': '40.653314710518', 'longitude': '-73.974682766804', 'human_address': '{""address"": ""47 REEVE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,12.23,C1-WALK-UP,1931,"{'latitude': '40.648588942089', 'longitude': '-73.967682212842', 'human_address': '{""address"": ""39 ARGYLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.51,7.88,3-05074-0047,KENSINGTON,11.71,30.63,5.51,6.49,77780.0,11.71,1931,27,WINDSOR TERRACE,3052750036.0,26.5,279223
3-01961-0032,"{'latitude': '40.686358150015', 'longitude': '-73.967422324776', 'human_address': '{""address"": ""387 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,19.14,C1-WALK-UP,1930,"{'latitude': '40.685713966821', 'longitude': '-73.964278229775', 'human_address': '{""address"": ""148 ST JAMES PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,8.05,3-01963-0064,CLINTON HILL,23.2,70.91,6.98,12.33,193512.0,16.78,1910,11,CLINTON HILL,3019610032.0,79.6,139071
3-08690-0091,"{'latitude': '40.57574043595', 'longitude': '-73.96205463232', 'human_address': '{""address"": ""500 BRIGHTWATER COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.82, ,D1-ELEVATOR, ,, , ,,OCEAN PARKWAY-SOUTH,16.1,53.23,6.12,6.29,1944915.0,16.1,1967,240,BRIGHTON BEACH,3086900091.0, ,3136890
3-00234-0008,"{'latitude': '40.696336661722', 'longitude': '-73.997060890963', 'human_address': '{""address"": ""1 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.63,88.04,9.52,7.87,309980.0,20.08,1924,41,BROOKLYN HEIGHTS,3002340008.0, ,748577
3-07250-0001,"{'latitude': '40.580088659943', 'longitude': '-73.971787033725', 'human_address': '{""address"": ""2790 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.08,19.45,D1-ELEVATOR,1964,"{'latitude': '40.578078853004', 'longitude': '-73.954129416858', 'human_address': '{""address"": ""161 CORBIN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.04,10.23,3-08719-0073,CONEY ISLAND,17.49,56.63,8.98,8.37,1428840.0,18.55,1963,360,CONEY ISLAND,,62.6,6646013
3-05916-0062,"{'latitude': '40.633189575959', 'longitude': '-74.031769967678', 'human_address': '{""address"": ""141 74 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.34, ,D1-ELEVATOR, ,, , ,,BAY RIDGE,16.33,59.93,7.39,5.43,674929.0,16.02,1957,69,BAY RIDGE,, ,822994
3-00261-0018,"{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,37.72,C1-WALK-UP,1900,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""75 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.04,11.28,3-00262-0008,BROOKLYN HEIGHTS,29.34,237.66,11.76,,515245.0,25.36,1960,7,BROOKLYN HEIGHTS,3002610018.0,200.27,195258
3-05328-0051,"{'latitude': '40.672048005111', 'longitude': '-73.985168166103', 'human_address': '{""address"": ""283 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15, ,D1-ELEVATOR, ,, , ,,KENSINGTON,7.11,37.48,6.95,2.73,456125.0,10.11,1935,48,KENSINGTON,, ,353880
3-05208-0025,"{'latitude': '40.638732353691', 'longitude': '-73.956723895758', 'human_address': '{""address"": ""2215 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,12.91,D1-ELEVATOR,1931,"{'latitude': '40.639713335848', 'longitude': '-73.957956739598', 'human_address': '{""address"": ""585 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,8.22,3-05207-0001,FLATBUSH-CENTRAL,9.86,25.03,4.41,5.73,408787.0,8.54,1927,52,FLATBUSH-CENTRAL,3052080025.0,31.29,630568
3-07470-0059,"{'latitude': '40.587798216412', 'longitude': '-73.944304910041', 'human_address': '{""address"": ""4665 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,14.76,C1-WALK-UP,1928,"{'latitude': '40.581566731237', 'longitude': '-73.98719095398', 'human_address': '{""address"": ""2502 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.4,7.73,3-07439-0006,SHEEPSHEAD BAY,19.07,66.35,6.41,9.11,93464.0,16.15,1980,16,SHEEPSHEAD BAY,3074700059.0,47.87,195452
3-05286-0001,"{'latitude': '40.650516383343', 'longitude': '-73.974231610072', 'human_address': '{""address"": ""30 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,12.91,D7-ELEVATOR,1951,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""217 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.35,6.88,3-05330-0024,KENSINGTON,13.58,45.2,6.11,7.6,615781.0,4.36,1936,59,WINDSOR TERRACE,3052860001.0,37.05,917807
3-01173-0040,"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,22.08,C1-WALK-UP,1911,"{'latitude': '40.674656506305', 'longitude': '-73.963716690597', 'human_address': '{""address"": ""442 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0,10.95,3-01173-0043,PROSPECT HEIGHTS,17.74,63.65,7.76,7.14,117702.0,17.74,1910,16,PROSPECT HEIGHTS,3011730040.0,81.55,237404
3-06796-0026,"{'latitude': '40.606881525388', 'longitude': '-73.958911811416', 'human_address': '{""address"": ""1750 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,D1-ELEVATOR, ,, , ,,MADISON,12.5,24.45,7.46,7.16,154493.0,11.88,1961,94,MADISON,, ,1124851
3-00266-0012,"{'latitude': '40.691607850514', 'longitude': '-73.991373568321', 'human_address': '{""address"": ""77 LIVINGSTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,21.82,D1-ELEVATOR,1936,"{'latitude': '40.693671581243', 'longitude': '-73.993093970266', 'human_address': '{""address"": ""142 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.25,10.6,3-00254-0081,BROOKLYN HEIGHTS,26.36,117.65,7.22,11.38,1177623.0,15.99,1964,364,DOWNTOWN-FULTON MALL,3002660020.0,82.18,6397996
3-01059-0055,"{'latitude': '40.67509062861', 'longitude': '-73.972857045219', 'human_address': '{""address"": ""225 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,16.65,D1-ELEVATOR,1920,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.43,9.29,3-01078-0016,PROSPECT HEIGHTS,19.96,31.24,6.47,9.26,169792.0,16.65,1920,49,PARK SLOPE,3010590055.0,53.26,704826
3-00229-0001,"{'latitude': '40.698203135509', 'longitude': '-73.995647747662', 'human_address': '{""address"": ""15 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,37.89,100.41,13.11,25.91,341705.0,30.03,1920,42,BROOKLYN HEIGHTS,3002290001.0, ,734725
3-05279-0032,"{'latitude': '40.700609569246', 'longitude': '-73.985048211646', 'human_address': '{""address"": ""175 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.27,12.78,C1-WALK-UP,1925,"{'latitude': '40.64767799773', 'longitude': '-73.969403453316', 'human_address': '{""address"": ""49 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.41,5.8,3-05072-0047,FLATBUSH-CENTRAL,11.71,26.62,5.9,6.49,125731.0,7.67,1970,27,WINDSOR TERRACE,3011170001.0,32.72,279223
3-01933-0100,"{'latitude': '40.688534755281', 'longitude': '-73.963201576119', 'human_address': '{""address"": ""333 LAFAYETTE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.83,10.11,D1-ELEVATOR,1980,"{'latitude': '40.680477068647', 'longitude': '-73.928599864021', 'human_address': '{""address"": ""362 MALCOLM X BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.53,6.22,3-01684-0001,BEDFORD STUYVESANT,14.91,42.85,7.7,7.9,1907090.0,14.26,1963,101,CLINTON HILL,3019330100.0,24.23,1564357
3-01071-0002,"{'latitude': '40.67233661195', 'longitude': '-73.974803435411', 'human_address': '{""address"": ""19 FISKE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,16.77,C1-WALK-UP,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""77 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,6.1,3-01063-0007,PARK SLOPE,24.2,99.18,8.48,9.55,182509.0,22.01,1920,16,PARK SLOPE,3010710002.0,77.18,272266
3-06044-0072,"{'latitude': '40.622657906732', 'longitude': '-74.03090145859', 'human_address': '{""address"": ""315 87 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,20.6,C7-WALK-UP,1925,"{'latitude': '40.623427895966', 'longitude': '-74.031018772314', 'human_address': '{""address"": ""302 86 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0,6.98,3-06044-0007,BAY RIDGE,21.23,68.44,8.97,9.76,119778.0,18.5,1927,15,BAY RIDGE,,164.76,225038
3-00242-0012,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0, ,D7-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,24.79,79.72,12.13,10.89,598983.0,23.85,1900,33,BROOKLYN HEIGHTS,3002420012.0, ,793249
