brooklyn_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_estimated_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_2_estimated_expense,census_tract,comparable_rental_2_building_classification,comparable_rental_2_gross_sqft,comparable_rental_3_total_units,brooklyn_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_net_operating_income,community_board,comparable_rental_2_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_year_built,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_total_units,brooklyn_cooperatives_comparable_properties_gross_sqft
3-00241-0012,1261698.0,7323000,"230,440","24,528",77.38,662715.0,301.0,D3-ELEVATOR,54640.0,19,1999894,0.05,432456,2.0,23.09,74.77,3,4356000.0,1949,59.0,128,97938
3-00234-0019,445398.0,1265000,"115,524","11,580",168.25,111167.0,301.0,C1-WALK-UP,14608.0,20,334263,0.28,274380,2.0,30.49,77.85,3,4601000.0,1900,17.0,29,16250
3-02061-0040,953817.0,6343000, , ,36.28,627424.0,31.0,D3-ELEVATOR,108000.0, ,2041817,0.75,150618,2.0,8.83,33.8,3,1947000.0,1928,76.0,183,187667
3-01063-0026,524009.0,3060000,"364,847","39,261",80.82,305169.0,159.0,D1-ELEVATOR,47540.0,47,730469,0.32,854135,6.0,11.02,69.75,3,1265000.0,1926,30.0,64,43872
3-00279-0035,200895.0,764000, , ,78.57,82408.0,43.0,C1-WALK-UP,7830.0, ,178937,0.1,96518,2.0,25.66,90.95,3,859000.0,1900,14.0,16,8400
3-00231-0017,555648.0,1896000, , ,51.02,245668.0,501.0,D1-ELEVATOR,25818.0, ,474095,0.15,351765,2.0,21.52,74.63,3,2273000.0,1924,36.0,307,25407
3-06099-0047,582016.0,2095000,"150,606","21,600",31.91,320292.0,5202.0,D1-ELEVATOR,45756.0,26,461281,0.08,243588,10.0,12.72,50.8,3,1749000.0,1931,42.0,40,41238
3-06681-0415,608389.0,4551000,"331,502","78,750",26.37,250126.0,41402.0,D1-ELEVATOR,60000.0,76,1444212,0.0,540909,15.0,10.14,32.84,3,1474000.0,1938,48.0,113,138600
3-05320-0046,,1210000, , ,19.74,,504.0, ,, ,843597,,262520,7.0,,13.04,3,,1931,,80,92805
3-05376-0058,907288.0,5156000,"617,724","88,728",38.91,529354.0,,D1-ELEVATOR,88528.0,98,1340630,0.17,472329,,10.25,44.92,3,2167000.0,1961,83.0,123,114780
