unnamed_column,teacher_horizon_engagement,student_communication_score,student_safety_and_respect,horizon_academic_expectations,student_horizon_communication,parent_horizon_academic,horizon_communication_score,student_horizon_engagement
M101,0.64,6.4,6.0,0.59,0.51,0.52,0.69,0.62
M409,0.2,6.0,6.5,0.23,0.41,0.0,0.27,0.47
X141,0.5,5.2,6.0,0.4,0.15,0.37,0.35,0.49
M415,0.45,5.5,5.9,0.47,0.24,0.51,0.42,0.6
M150,0.77,,,0.77,,0.79,0.62,
X475,0.44,5.1,5.6,0.39,0.15,0.61,0.42,0.47
X438,0.58,5.8,5.9,0.58,0.35,0.64,0.58,0.58
K474,0.6,5.2,6.1,0.5,0.18,0.61,0.58,0.51
X157,0.5,,,0.73,,0.99,0.65,
K547,0.46,5.2,5.6,0.5,0.18,0.64,0.39,0.4
M381,0.89,5.9,6.7,0.78,0.34,0.9,0.77,0.9
R049,0.47,5.6,6.1,0.48,0.25,0.49,0.46,0.69
M692,0.79,6.9,7.8,0.96,0.68,0.86,0.81,1.0
K410,0.6,5.2,6.1,0.42,0.18,0.39,0.42,0.47
Q111,0.72,6.8,6.0,0.71,0.58,0.61,0.73,0.77
K035,0.65,6.5,7.0,0.78,0.54,0.73,0.77,0.97
X218,0.79,6.5,7.0,0.75,0.48,0.53,0.68,0.73
Q172,0.19,5.6,6.5,0.37,0.25,0.52,0.23,0.66
M299,0.41,5.5,6.0,0.39,0.26,0.5,0.27,0.51
M416,0.69,6.5,7.8,0.92,0.56,0.82,0.89,0.86
K519,0.63,5.5,5.7,0.54,0.26,0.61,0.58,0.54
Q455,0.75,5.5,6.5,0.62,0.26,0.46,0.65,0.68
Q896,0.52,5.8,6.3,0.59,0.33,0.51,0.65,0.6
X473,0.71,6.1,7.2,0.89,0.44,1.0,0.92,0.86
M028,0.64,,,0.73,,0.69,0.77,
M439,0.69,6.2,7.6,0.96,0.47,0.9,0.73,0.82
M004,0.5,,,0.46,,0.64,0.54,
X101,0.73,6.6,7.3,0.93,0.57,0.87,0.96,0.97
X174,0.49,5.5,5.5,0.37,0.21,0.38,0.35,0.48
