address,council_district,bin,wifi_status_date
994 EAST 163 STREET,17.0,2005635.0,2025-12-24 22:00:00.528
60 LAFAYETTE STREET,1.0,1001842.0,2025-12-24 22:00:00.528
98 BELMONT AVENUE,41.0,,2025-12-24 22:00:00.528
48 EAST 183 STREET,14.0,2014064.0,2025-12-24 22:00:00.528
118 VARICK STREET,3.0,1000000.0,2025-12-24 22:00:00.528
182 1 AVENUE,2.0,1077654.0,2025-12-24 22:00:00.528
900 NOSTRAND AVENUE,35.0,3348092.0,2025-12-24 22:00:00.528
62 PENNSYLVANIA AVENUE,37.0,3083275.0,2025-12-24 22:00:00.528
936 7 AVENUE,4.0,1024918.0,2025-12-24 22:00:00.528
735 10 AVENUE,3.0,1083799.0,2025-12-24 22:00:00.528
5030 BROADWAY,10.0,1064883.0,
1380 NOSTRAND AVENUE,40.0,3116689.0,2025-12-24 22:00:00.528
1 EAST 177 STREET,14.0,2008247.0,2025-12-24 22:00:00.528
575 8 AVENUE,3.0,1013644.0,2025-12-24 22:00:00.528
907 8 AVENUE,3.0,1025400.0,2025-12-24 22:00:00.528
74 7 AVENUE,3.0,1013735.0,2025-12-24 22:00:00.528
241 CRESCENT STREET,37.0,3092798.0,2025-12-24 22:00:00.528
1803 FULTON STREET,36.0,3047930.0,2025-12-24 22:00:00.528
260 SPRING STREET,3.0,1009740.0,2025-12-24 22:00:00.528
2 ELDERT LANE,37.0,3091371.0,2025-12-24 22:00:00.528
38 UNION SQUARE EAST,2.0,1017819.0,2025-12-24 22:00:00.528
268 SARATOGA AVENUE,41.0,3038527.0,2025-12-24 22:00:00.528
425 6 AVENUE,3.0,1082668.0,2025-12-24 22:00:00.528
2928 WEST 5 STREET,48.0,3257102.0,2025-12-24 22:00:00.528
798 HUNTS POINT AVENUE,17.0,2006548.0,2025-12-24 22:00:00.528
436 BROOK AVENUE,8.0,2090996.0,2025-12-24 22:00:00.528
2861 WEBSTER AVENUE,15.0,2016419.0,2025-12-24 22:00:00.528
100 EAST 22 STREET,2.0,1018009.0,2025-12-24 22:00:00.528
171 FLATBUSH AVENUE,35.0,3348849.0,2025-12-24 22:00:00.528
147 3 AVENUE,2.0,1019523.0,2025-12-24 22:00:00.528
605 FULTON STREET,35.0,3058594.0,2025-12-24 22:00:00.528
523 8 AVENUE,3.0,1013597.0,2025-12-24 22:00:00.528
6301 MILL LANE,46.0,3221457.0,2025-12-24 22:00:00.528
357 GRAND STREET,1.0,1004034.0,2025-12-24 22:00:00.528
72 2 AVENUE,2.0,1006198.0,2025-12-24 22:00:00.528
4201 3 AVENUE,15.0,2009606.0,2024-09-26 11:00:00.475
701 8 AVENUE,3.0,1024991.0,2025-12-24 22:00:00.528
30 EAST KINGSBRIDGE ROAD,14.0,2014144.0,2025-12-24 22:00:00.528
130 VAN BRUNT STREET,38.0,3336674.0,
300 EAST 204 STREET,11.0,2017946.0,2025-12-24 22:00:00.528
210 CANAL STREET,1.0,1085449.0,2025-12-24 22:00:00.528
219 EAST BURNSIDE AVENUE,15.0,,2025-12-24 22:00:00.528
96 EAST 170 STREET,16.0,2008083.0,2025-12-24 22:00:00.528
266 EAST 205 STREET,11.0,2018100.0,2025-12-24 22:00:00.528
3177 WEBSTER AVENUE,11.0,2017877.0,2025-12-24 22:00:00.528
98 BOND STREET,33.0,3255607.0,2025-12-24 22:00:00.528
135 EAST 146 STREET,17.0,2001088.0,2025-12-24 22:00:00.528
165 EAST BROADWAY,1.0,1003627.0,2025-12-24 22:00:00.528
941 4 AVENUE,38.0,3010335.0,2025-12-24 22:00:00.528
281 11 AVENUE,3.0,1080275.0,2025-12-24 22:00:00.528
691 4 AVENUE,38.0,3000000.0,2025-12-24 22:00:00.528
891 8 AVENUE,3.0,1025400.0,2025-12-24 22:00:00.528
1999 UNIVERSITY AVENUE,14.0,2014698.0,2025-12-24 22:00:00.528
35 3 AVENUE,2.0,1006764.0,2025-12-24 22:00:00.528
400 8 AVENUE,3.0,1014306.0,2025-12-24 22:00:00.528
61 7 AVENUE,3.0,1014515.0,2025-12-24 22:00:00.528
30 EAST 64 STREET,4.0,1041045.0,2025-11-10 10:00:00.588
231 EAST 183RD STREET,15.0,2013723.0,2025-12-24 22:00:00.528
256-17 HILLSIDE AVENUE,23.0,4179294.0,
40-39 CRESCENT STREET,26.0,4004904.0,
258 14 STREET,39.0,3023670.0,2025-12-24 22:00:00.528
1049 GERARD AVENUE,8.0,2002938.0,2025-12-24 22:00:00.528
280 CADMAN PLAZA WEST,33.0,3001939.0,2025-12-24 22:00:00.528
159 EAST GUN HILL ROAD,11.0,2018225.0,2025-12-24 22:00:00.528
1273 BROADWAY,3.0,1015199.0,2025-12-24 22:00:00.528
29-14 122 STREET,19.0,4100714.0,
29 SOUTH 3 STREET,33.0,3395339.0,2025-12-24 22:00:00.528
846 BROADWAY,36.0,3251257.0,2025-12-24 22:00:00.528
3037 WEBSTER AVENUE,11.0,2017907.0,2025-12-24 22:00:00.528
1149 BROADWAY,3.0,1015655.0,2025-12-24 22:00:00.528
691 FULTON STREET,35.0,3331261.0,2025-12-24 22:00:00.528
2991 3 AVENUE,17.0,2089847.0,2025-12-24 22:00:00.528
991 NOSTRAND AVENUE,35.0,3324553.0,2025-12-24 22:00:00.528
3450 FULTON STREET,37.0,3093023.0,2025-12-24 22:00:00.528
375 6 AVENUE,3.0,1010249.0,2025-12-24 22:00:00.528
812 THOMAS S BOYLAND STREET,42.0,3393314.0,2025-12-24 22:00:00.528
41 HORATIO STREET,3.0,1011688.0,2025-12-24 22:00:00.528
145 1 AVENUE,2.0,1079781.0,2025-12-24 22:00:00.528
717 6 AVENUE,3.0,1014954.0,2025-12-24 22:00:00.528
27 6 AVENUE,35.0,3027605.0,2025-06-09 16:00:00.619
170 2 AVENUE,2.0,1006435.0,2025-12-24 22:00:00.528
1876 JEROME AVENUE,14.0,2008231.0,2025-12-24 22:00:00.528
203 3 AVENUE,2.0,1019551.0,2025-12-24 22:00:00.528
117 42ND STREET,38.0,3337139.0,
259 WEST 24 STREET,3.0,1014167.0,2025-12-24 22:00:00.528
815 8 AVENUE,3.0,1076203.0,2025-12-24 22:00:00.528
1874 FULTON STREET,41.0,3048037.0,2025-12-24 22:00:00.528
101 EAST BURNSIDE AVENUE,14.0,2092406.0,2025-12-24 22:00:00.528
27 EAST 32 STREET,2.0,1017015.0,2025-12-24 22:00:00.528
985 BRUCKNER BOULEVARD,17.0,2000000.0,2025-12-24 22:00:00.528
43 NORTH 10 STREET,33.0,3061586.0,2025-12-24 22:00:00.528
488 BERGEN STREET,35.0,3028037.0,2025-12-24 22:00:00.528
250 CHURCH STREET,1.0,1001971.0,2025-12-24 22:00:00.528
7 WEST 48 STREET,4.0,1034506.0,2025-12-24 22:00:00.528
3170 COLLEGE POINT BOULEVARD,19.0,4570029.0,
911 8 AVENUE,3.0,1025416.0,2025-12-24 22:00:00.528
56 KING STREET,3.0,1008117.0,2025-12-24 22:00:00.528
80-51 261 STREET,23.0,4524684.0,
133 WEST 14 STREET,3.0,1014523.0,2025-12-24 22:00:00.528
1208 NOSTRAND AVENUE,40.0,3115751.0,2025-12-24 22:00:00.528
271 EAST 161 STREET,17.0,2001921.0,2025-12-24 22:00:00.528
871 8 AVENUE,3.0,1025257.0,2025-12-24 22:00:00.528
628 NOSTRAND AVENUE,36.0,3030004.0,2025-12-24 22:00:00.528
1848 WEBSTER AVENUE,15.0,2009444.0,2025-12-24 22:00:00.528
1961 FULTON STREET,41.0,3041785.0,2025-12-24 22:00:00.528
835 BROADWAY,2.0,1080130.0,2025-12-24 22:00:00.528
734 10 AVENUE,3.0,1026666.0,2025-12-24 22:00:00.528
2 EAST 172 STREET,14.0,2008109.0,2025-12-24 22:00:00.528
180 VARICK STREET,3.0,1008117.0,2025-12-24 22:00:00.528
776 MELROSE AVENUE,17.0,2114613.0,2025-12-24 22:00:00.528
151 EAST FORDHAM Road,14.0,2013811.0,2025-12-24 22:00:00.528
340 EMPIRE BOULEVARD,40.0,3034835.0,2025-12-24 22:00:00.528
