dbn,school_name,q3_i_feel_well_informed_by_1,q34_if_you_are_a_parent_1,q16_my_child_s_school_will_1,q20_the_principal_school,q5_staff_at_this_school_work,q24_how_satisfied_are_you_1,q43_if_you_are_a_parent,q37_if_you_are_a_parent,q17_at_this_school_my_child,q16_my_child_s_school_will,q26_how_satisfied_are_you_1,q25_how_satisfied_are_you_1,q17_at_this_school_my_child_1,q21_since_the_beginning_of_1,q35_if_you_are_a_parent,q40_if_you_are_a_parent,q38_if_you_are_a_parent,q43_if_you_are_a_parent_1,q22_since_the_beginning_of_1,q29_during_the_school_year,q39_if_you_are_a_parent_1,q30_during_the_school_year,q2_teachers_work_closely_1,q14_the_principal_school,q3_i_feel_well_informed_by,q7_my_child_s_school_1,q38_if_you_are_a_parent_1,q33_if_you_are_a_parent,q5_staff_at_this_school_work_1,q12_the_principal_school_1,q12_the_principal_school,q13_my_child_s_teachers_think_1,q31_which_of_the_following_1,total_parent_response_rate,q9_my_child_s_race_ethnicity,q31_which_of_the_following
06M008,P.S. 008 Luis Belliard,0%,0%,3%,99%,98%,0%,80%,100%,98%,97%,0%,1%,2%,1%,0%,100%,94%,20%,1%,78%,0%,90%,1%,99%,100%,2%,6%,95%,2%,1%,99%,1%,,0.23,99%,
21K100,P.S. 100 The Coney Island School,7%,0%,5%,94%,93%,4%,80%,98%,97%,95%,3%,13%,3%,5%,0%,80%,90%,20%,4%,76%,0%,95%,6%,90%,93%,3%,10%,95%,7%,8%,92%,3%,,0.43,98%,
18K279,P.S. 279 Herman Schreiber,11%,0%,4%,92%,93%,0%,,100%,96%,96%,4%,4%,4%,4%,0%,,100%,,0%,79%,,89%,7%,96%,89%,7%,0%,96%,7%,4%,96%,4%,,0.1,96%,
08X123,J.H.S. 123 James M. Kieran,7%,0%,6%,96%,91%,2%,0%,100%,96%,94%,4%,7%,4%,11%,0%,0%,100%,0%,9%,68%,0%,88%,9%,95%,93%,5%,0%,0%,9%,5%,95%,4%,,0.3,95%,
11X189,Cornerstone Academy For Social Action,3%,0%,4%,99%,94%,2%,82%,96%,98%,96%,5%,8%,2%,10%,0%,90%,96%,18%,10%,81%,0%,95%,10%,98%,97%,2%,4%,98%,6%,3%,97%,4%,,0.33,98%,
16K898,The Brooklyn Green School,0%,0%,0%,100%,100%,0%,0%,91%,100%,100%,0%,0%,0%,5%,0%,0%,91%,0%,21%,92%,0%,92%,5%,100%,100%,0%,9%,0%,0%,0%,100%,0%,,0.26,100%,
12X691,Bronx Little School,4%,0%,5%,98%,94%,0%,,92%,97%,95%,4%,6%,3%,4%,0%,,96%,,2%,73%,,96%,6%,97%,96%,2%,4%,99%,6%,1%,99%,5%,,0.27,96%,
75X811,P.S. X811,7%,9%,8%,93%,95%,2%,0%,98%,94%,92%,0%,3%,6%,3%,87%,0%,93%,0%,7%,73%,0%,98%,2%,91%,93%,2%,7%,0%,5%,7%,93%,5%,,0.09,98%,
16K021,P.S. 021 Crispus Attucks,4%,0%,2%,97%,97%,4%,79%,92%,98%,98%,1%,4%,2%,2%,0%,93%,92%,21%,1%,91%,7%,97%,4%,96%,96%,1%,8%,98%,3%,3%,97%,2%,,0.27,99%,
10X315,P.S. 315 Lab School,8%,0%,5%,97%,95%,2%,0%,100%,95%,95%,3%,6%,5%,9%,0%,0%,89%,0%,9%,75%,0%,95%,7%,97%,92%,1%,11%,96%,5%,4%,96%,3%,,0.75,99%,
07X584,I.S. 584,9%,0%,14%,84%,86%,10%,0%,56%,88%,86%,5%,5%,12%,0%,0%,0%,56%,0%,14%,68%,0%,73%,9%,90%,91%,9%,44%,0%,14%,14%,86%,17%,,0.1,91%,
08X072,P.S. 072 Dr. William Dorney,9%,0%,1%,98%,96%,10%,87%,90%,95%,99%,3%,4%,5%,2%,0%,100%,93%,13%,7%,82%,0%,97%,4%,98%,91%,2%,7%,97%,4%,3%,97%,2%,,0.13,99%,
14K031,P.S. 031 Samuel F. Dupont,4%,0%,3%,97%,97%,2%,63%,100%,99%,97%,4%,7%,1%,7%,0%,94%,93%,37%,3%,78%,4%,90%,7%,96%,96%,0%,7%,98%,3%,1%,99%,5%,,0.52,99%,
03M505,Edward A. Reynolds West Side High School,0%,17%,14%,100%,100%,0%,0%,,100%,86%,0%,0%,0%,0%,80%,0%,,0%,0%,71%,0%,57%,0%,80%,100%,0%,,0%,0%,0%,100%,0%,,0.05,100%,
17K221,P.S. 221 Toussaint L'Ouverture,2%,0%,7%,95%,81%,2%,,70%,95%,93%,5%,10%,5%,5%,0%,,70%,,5%,74%,,89%,2%,93%,98%,0%,30%,88%,19%,12%,88%,2%,,0.23,98%,
19K007,P.S. 007 Abraham Lincoln,3%,0%,1%,98%,97%,1%,93%,97%,97%,99%,1%,3%,3%,5%,0%,100%,97%,7%,4%,88%,0%,93%,4%,97%,97%,1%,3%,97%,3%,1%,99%,1%,,0.53,99%,
21K097,P.S. 97 The Highlawn,3%,0%,1%,100%,97%,1%,0%,100%,99%,99%,4%,7%,1%,13%,0%,0%,90%,0%,3%,82%,0%,95%,6%,99%,97%,2%,10%,99%,3%,1%,99%,2%,,0.21,97%,
05M304,Mott Hall High School,2%,3%,2%,98%,98%,0%,0%,97%,99%,98%,2%,3%,1%,6%,97%,0%,97%,0%,10%,77%,0%,78%,3%,98%,98%,1%,3%,0%,2%,1%,99%,4%,,0.87,99%,
