address,st_senate,inf_shoes,y_sp,longitude,bin,wire_other,inf_lights,wire_htap,horz_other,cncldist,boroname,tree_dbh,nta_name,pit_type,soil_lvl,boro_ct
1918 1 AVENUE,29,No,225273,-73.94344365,1052997.0,No,No,No,No,8,Manhattan,12,East Harlem South,Sidewalk Pit,Below,1016200.0
100 BEDFORD STREET,27,No,206199,-74.00556387,1010058.0,No,No,No,No,3,Manhattan,7,West Village,Sidewalk Pit,Level,1007300.0
1198 1 AVENUE,28,No,217340,-73.95933476,1083904.0,No,No,No,No,5,Manhattan,4,Lenox Hill-Roosevelt Island,Sidewalk Pit,Level,1011600.0
421 EAST  106 STREET,30,No,226864,-73.93939168,1052999.0,No,No,No,No,8,Manhattan,11,East Harlem South,Sidewalk Pit,Below,1016200.0
125 BARCLAY STREET,26,No,199480,-74.01289581,1001417.0,No,No,No,No,1,Manhattan,5,SoHo-TriBeCa-Civic Center-Little Italy,Continuous Pit,Level,1002100.0
401 EAST   96 STREET,29,No,224627,-73.94461511,1000000.0,No,No,No,No,8,Manhattan,17,East Harlem South,Sidewalk Pit,Level,1016200.0
101 MURRAY STREET,26,No,199796,-74.0122611,1001542.0,Yes,No,No,No,1,Manhattan,10,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
510 AMSTERDAM AVENUE,31,No,225906,-73.97572224,1033112.0,No,No,No,No,6,Manhattan,5,Upper West Side,Sidewalk Pit,Above,1017100.0
101 MURRAY STREET,26,No,199796,-74.0122611,1001542.0,No,No,No,No,1,Manhattan,6,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
300 MANHATTAN AVENUE,30,No,231783,-73.95840753,1055804.0,No,No,No,No,9,Manhattan,3,Central Harlem South,Sidewalk Pit,Above,1019702.0
3755 BROADWAY,31,No,242891,-73.94541898,1063250.0,No,No,No,No,7,Manhattan,21,Washington Heights South,Continuous Pit,Below,1024100.0
25 BROADWAY,26,No,196398,-74.01338109,1000045.0,No,No,No,No,1,Manhattan,2,Battery Park City-Lower Manhattan,Sidewalk Pit,Level,1001300.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,12,East Harlem South,Sidewalk Pit,Below,1016200.0
295 GREENWICH STREET,26,No,200138,-74.01101314,1066187.0,No,No,No,No,1,Manhattan,8,SoHo-TriBeCa-Civic Center-Little Italy,Sidewalk Pit,Level,1002100.0
1930 1 AVENUE,29,No,225626,-73.94273505,1000000.0,No,No,No,Yes,8,Manhattan,3,East Harlem South,Sidewalk Pit,Level,1016200.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,18,East Harlem South,Sidewalk Pit,Above,1016200.0
420 EAST  111 STREET,30,No,227925,-73.93653237,1083956.0,No,No,No,No,8,Manhattan,7,East Harlem South,Continuous Pit,Level,1016200.0
54 WEST   91 STREET,30,No,226770,-73.96851687,1031612.0,No,No,No,No,6,Manhattan,9,Upper West Side,Sidewalk Pit,Level,1017700.0
524 WEST   57 STREET,27,No,219641,-73.98958813,1027069.0,No,No,No,No,6,Manhattan,5,Clinton,Sidewalk Pit,Level,1013500.0
342 PLEASANT AVENUE,29,No,229505,-73.93201725,1000000.0,No,No,No,No,8,Manhattan,21,East Harlem North,Sidewalk Pit,Level,1017800.0
633 BROADWAY,26,No,203842,-73.99615401,1008235.0,No,No,No,No,1,Manhattan,12,West Village,Sidewalk Pit,Level,1005501.0
