objectid,objectid_1,horz_plant,:@computed_region_efsh_h5xi,status,spc_latin,bbl,state,vert_wall,vert_pgrd,x_sp,borocode,horz_grate,tree_loc,location_1,vert_tgrd
592409,36,No,11725.0,Poor,UNKNOWN,1000130027.0,New York,No,No,980540,1,No,Rear,"{'latitude': '40.70574309', 'longitude': '-74.01338109'}",No
593088,715,No,12426.0,Good,ULMUS AMERICANA,1017080011.0,New York,Yes,No,1002108,1,No,Front,"{'latitude': '40.79435371', 'longitude': '-73.93550469'}",No
592824,451,No,12423.0,Excellent,GLEDITSIA TRIACANTHOS,1018480036.0,New York,No,Yes,996138,1,No,Front,"{'latitude': '40.80468942', 'longitude': '-73.95705906'}",No
592863,490,No,12421.0,Good,ROBINIA PSEUDOACACIA,1012030146.0,New York,No,Yes,993006,1,No,Front,"{'latitude': '40.78824118', 'longitude': '-73.96838005'}",No
592396,23,No,11725.0,Good,GLEDITSIA TRIACANTHOS,1000157501.0,New York,No,No,979981,1,No,Across,"{'latitude': '40.70564402', 'longitude': '-74.01539725'}",Yes
592888,515,No,12426.0,Excellent,GLEDITSIA TRIACANTHOS,1016780001.0,New York,No,No,1001001,1,No,Front,"{'latitude': '40.79040896', 'longitude': '-73.93950628'}",No
592698,325,No,12076.0,Good,PYRUS CALLERYANA,1001410001.0,New York,No,No,981700,1,No,Side,"{'latitude': '40.71633553', 'longitude': '-74.00919871'}",No
592886,513,No,12426.0,Excellent,ACER RUBRUM,1016780001.0,New York,No,No,1000927,1,No,Front,"{'latitude': '40.79003856', 'longitude': '-73.93977386'}",No
592741,368,No,11728.0,Good,QUERCUS PALUSTRIS,1001280026.0,New York,No,No,980675,1,No,Rear,"{'latitude': '40.7142025', 'longitude': '-74.01289581'}",No
592500,127,No,12421.0,Excellent,TILIA CORDATA,1012300008.0,New York,No,No,990302,1,No,Front,"{'latitude': '40.78633311', 'longitude': '-73.97814545'}",No
592794,421,No,11728.0,Excellent,GLEDITSIA TRIACANTHOS,1001377502.0,New York,No,No,981197,1,No,Side,"{'latitude': '40.71600875', 'longitude': '-74.01101314'}",No
592783,410,No,12076.0,Excellent,PYRUS CALLERYANA,1001400005.0,New York,No,No,981514,1,Yes,Front,"{'latitude': '40.71581672', 'longitude': '-74.00986959'}",No
640869,48496,No,12420.0,Good,PYRUS CALLERYANA,,New York,No,No,0,1,No,Across,"{'latitude': '40.77234', 'longitude': '-73.98257856'}",No
593033,660,No,10099.0,Excellent,PLATANUS ACERIFOLIA,1016900001.0,New York,No,No,999588,1,No,Rear,"{'latitude': '40.78321209', 'longitude': '-73.94461511'}",No
592777,404,No,12076.0,Excellent,PYRUS CALLERYANA,1001407502.0,New York,No,No,981507,1,No,Front,"{'latitude': '40.71648918', 'longitude': '-74.00989495'}",No
592609,236,No,12426.0,Good,QUERCUS BICOLOR,1016930001.0,New York,No,No,1000108,1,No,Side,"{'latitude': '40.78595316', 'longitude': '-73.94273505'}",No
592446,73,Yes,12077.0,Excellent,FRAXINUS PENNSYLVANICA,1005880082.0,New York,No,Yes,982708,1,No,Across,"{'latitude': '40.73264512', 'longitude': '-74.00556387'}",No
593316,943,No,12081.0,Excellent,GLEDITSIA TRIACANTHOS,1010860001.0,New York,No,No,986805,1,No,Front,"{'latitude': '40.77006127', 'longitude': '-73.99077582'}",No
593340,967,No,12421.0,Poor,PLATANUS ACERIFOLIA,1012210007.0,New York,No,No,992267,1,No,Front,"{'latitude': '40.78937546', 'longitude': '-73.97104826'}",No
592386,13,No,17621.0,Good,PYRUS CALLERYANA,3056970014.0,New York,No,No,984701,3,No,Front,"{'latitude': '40.63149764', 'longitude': '-73.99837516'}",No
593011,638,No,11723.0,Good,PYRUS CALLERYANA,1003540080.0,New York,No,No,988263,1,No,Front,"{'latitude': '40.72011727', 'longitude': '-73.98552294'}",No
592917,544,No,12426.0,Excellent,QUERCUS PALUSTRIS,1017000001.0,New York,No,No,1001033,1,No,Side,"{'latitude': '40.78934943', 'longitude': '-73.93939168'}",No
592425,52,No,13090.0,Poor,GLEDITSIA TRIACANTHOS,1021340195.0,New York,No,No,998986,1,No,Front,"{'latitude': '40.8349923', 'longitude': '-73.94674749'}",No
593306,933,No,12081.0,Excellent,GLEDITSIA TRIACANTHOS,1010860001.0,New York,No,No,986805,1,No,Front,"{'latitude': '40.77006127', 'longitude': '-73.99077582'}",No
592600,227,No,12426.0,Dead,Unknown Dead,1016720017.0,New York,No,No,1000117,1,No,Front,"{'latitude': '40.78603274', 'longitude': '-73.94270248'}",No
593069,696,No,12420.0,Good,QUERCUS RUBRA,1011390001.0,New York,No,Yes,988792,1,No,Front,"{'latitude': '40.77590951', 'longitude': '-73.98360082'}",No
592852,479,No,12421.0,Good,ROBINIA PSEUDOACACIA,1012030142.0,New York,No,Yes,993064,1,No,Front,"{'latitude': '40.78815329', 'longitude': '-73.96817064'}",No
592828,455,Yes,12424.0,Excellent,PLATANUS ACERIFOLIA,1019460001.0,New York,No,No,996550,1,No,Side,"{'latitude': '40.80784255', 'longitude': '-73.95556877'}",No
592437,64,No,13090.0,Good,ZELKOVA SERRATA,1021340195.0,New York,No,No,998986,1,No,Side,"{'latitude': '40.8349923', 'longitude': '-73.94674749'}",No
592865,492,No,12421.0,Good,QUERCUS RUBRA,1012037501.0,New York,No,Yes,992983,1,No,Front,"{'latitude': '40.78827414', 'longitude': '-73.9684631'}",No
592878,505,No,12426.0,Excellent,ACER RUBRUM,1016780001.0,New York,No,No,1000927,1,No,Front,"{'latitude': '40.79003856', 'longitude': '-73.93977386'}",No
592717,344,No,11728.0,Excellent,QUERCUS PALUSTRIS,1001420001.0,New York,No,No,981191,1,Yes,Front,"{'latitude': '40.71601698', 'longitude': '-74.01103479'}",No
593095,722,No,12426.0,Good,ULMUS AMERICANA,1017080012.0,New York,No,No,1002126,1,No,Front,"{'latitude': '40.79432623', 'longitude': '-73.93543971'}",No
593333,960,No,12421.0,Good,PLATANUS ACERIFOLIA,1012210007.0,New York,No,No,992267,1,No,Front,"{'latitude': '40.78937546', 'longitude': '-73.97104826'}",No
593002,629,Yes,11723.0,Good,PYRUS CALLERYANA,1003480053.0,New York,No,Yes,988538,1,No,Front,"{'latitude': '40.71890945', 'longitude': '-73.98453115'}",No
