lot,percent_4,pyexmptot,cbnexmptxbl,percent_3,bldg_class,j51_govt_financed,pyincrpct1,j51_vase_val_trn,enter_date,tenexmptxbl,prelimdate,cbnexmptot,gargcompct,baseyr,basetot
1573,0.0,185674,0,0.0,R4,N,0.0,0,,183653,0,0,0.0,0,16189
1186,0.0,120379,0,0.0,R4,N,0.0,0,,122686,0,0,0.0,0,19677
2133,0.0,113803,0,0.0,R4,N,0.0,0,,116029,0,0,0.0,0,20656
1016,0.0,133592,0,0.0,R4,N,0.0,0,,136153,0,0,0.0,0,21836
1738,0.0,157093,0,0.0,R4,N,0.0,0,,155121,0,0,0.0,0,14580
1046,0.0,148763,0,0.0,R4,N,0.0,0,,151614,0,0,0.0,0,24316
2024,0.0,110706,0,0.0,R4,N,0.0,0,,112826,0,0,0.0,0,19682
2058,0.0,118198,0,0.0,R4,N,0.0,0,,120508,0,0,0.0,0,21439
1027,0.0,135051,0,0.0,R4,N,0.0,0,,137640,0,0,0.0,0,22077
1838,0.0,209458,0,0.0,R4,N,0.0,0,,206829,0,0,0.0,0,19440
1,0.0,153319950,0,0.0,O4,N,0.0,0,,171570600,0,0,0.0,0,28170000
1182,0.0,65694,0,0.0,R4,N,0.0,0,,66953,0,0,0.0,0,14320
1220,0.0,121372,0,0.0,R4,N,0.0,0,,123699,0,0,0.0,0,19841
1052,0.0,159092,0,0.0,R4,N,0.0,0,,164578,0,0,0.0,0,26396
2085,0.0,242258,0,0.0,R4,N,0.0,0,,246899,0,0,0.0,0,43070
2089,0.0,146898,0,0.0,R4,N,0.0,0,,149712,0,0,0.0,0,26116
1550,0.0,134407,0,0.0,R4,N,0.0,0,,132943,0,0,0.0,0,11719
1258,0.0,6126,0,0.0,RP,N,0.0,0,,0,2005,0,0.0,2005,380
1756,0.0,261822,0,0.0,R4,N,0.0,0,,258536,0,0,0.0,0,24300
2075,0.0,127699,0,0.0,R4,N,0.0,0,,130145,0,0,0.0,0,22702
1602,0.0,226631,0,0.0,R4,N,0.0,0,,224164,0,0,0.0,0,19760
1124,0.0,140449,0,0.0,R4,N,0.0,0,,143140,0,0,0.0,0,22958
