dbn,school_name,n_chronic_absent_ems_allew,n_prof_pct_watn5_mthlevel2,survey_pp_ri,qr_1_4,teacher_ethnicity_asian_pct,val_chronic_absent_ems_allei,n_prof_pct_watn5_mthlevel34,val_chronic_absent_ems_allew,n_prof_pct_watn3_elalevel2,val_pct_core_ela_all,rr_t,val_chronic_absent_ems_all,val_lre_all,n_chronic_absent_ems_allgm,val_pct_accel_try_all,survey_pp_tr,val_prof_2plus_watn5_mthlevel1,n_pct_accel_try_mth_all,n_prof_pct_watn5_elalevel34,gender_male_pct,school_type,n_prof_2plus_watn3_mthlevel1,val_pct_core_sci_all,val_prof_pct_watn3_mthlevel34,survey_pp_sf,qr_1_1,qr_3_4,n_pct_accel_try_lote_all,val_chronic_absent_ems_allgm,qr_4_2,val_prof_pct_watn5_mthlevel34,n_chronic_absent_ems_allea,n_prof_pct_watn3_elalevel34,n_lre_all,n_chronic_absent_ems_alleb,ell,n_pct_accel_p_mth_all,val_chronic_absent_ems_allgf,val_prof_pct_watn5_mthlevel2,val_chronic_absent_ems_allep,principal_experience,n_pct_accel_lote_all
14K110,P.S. 110 The Monitor,371,No Data,0.81,Well Developed,No Data,No Data,No Data,0.86,6,No Data,77%,0.17,0.27,261,No Data,0.91,No Data,No Data,No Data,0.5,Elementary,2,No Data,0.5,0.94,Well Developed,Well Developed,No Data,0.831,Proficient,No Data,32,34,26,10,0.084,No Data,0.83,No Data,No Data,0.9,No Data
15K051,M.S. 51 William Alexander,475,11,0.83,Proficient,No Data,No Data,257,0.968,No Data,0.986,85%,0.06,0.2,532,0.95,0.87,0.5,361,166,0.458,Middle,No Data,0.956,No Data,0.85,Proficient,Well Developed,361,0.936,Well Developed,0.965,229,No Data,229,92,0.041,341,0.944,No Data,No Data,13.9,361
27Q063,P.S. 063 Old South,61,No Data,0.8,Well Developed,No Data,0.778,No Data,0.77,66,No Data,94%,0.24,0.14,567,No Data,0.96,No Data,No Data,No Data,0.522,Elementary,29,No Data,0.791,0.96,Well Developed,Well Developed,No Data,0.762,Well Developed,No Data,407,101,158,64,0.165,No Data,0.758,No Data,0.9,0.4,No Data
12X217,School of Performing Arts,7,20,0.61,Proficient,0,No Data,14,No Data,No Data,0.975,62%,0.28,0.46,163,0,0.73,0.188,92,18,0.464,Middle,No Data,0.988,No Data,0.97,Proficient,Proficient,92,0.718,Well Developed,No Data,3,No Data,117,127,0.166,No Data,0.723,0.4,No Data,4.2,92
09X058,P.S. 058,4,No Data,0.62,Proficient,No Data,No Data,No Data,No Data,23,No Data,29%,0.387,0.31,188,No Data,0.79,No Data,No Data,No Data,0.516,Elementary,25,No Data,0.667,0.84,Proficient,Proficient,No Data,0.622,Well Developed,No Data,No Data,17,90,83,0.292,No Data,0.602,No Data,No Data,15.1,No Data
19K202,P.S. 202 Ernest S. Jenkyns,11,No Data,0.63,Proficient,0,No Data,No Data,No Data,21,No Data,37%,0.528,0.34,166,No Data,0.76,No Data,No Data,No Data,0.506,Elementary,16,No Data,0.588,0.92,Proficient,Proficient,No Data,0.47,Proficient,No Data,14,21,74,184,0.119,No Data,0.474,No Data,No Data,3.1,No Data
11X370,Leaders of Tomorrow,9,38,0.67,Proficient,No Data,No Data,15,No Data,No Data,0.998,3%,0.274,0.38,257,0,0.87,0.114,149,14,0.531,Middle,No Data,0.998,No Data,0.95,Proficient,Proficient,149,0.735,Well Developed,0.2,7,No Data,133,276,0.138,No Data,0.716,0,No Data,2,149
15K516,Sunset Park Avenues Elementary School,33,No Data,0.76,Proficient,0.13,No Data,No Data,0.909,19,No Data,91%,0.166,0.11,203,No Data,0.92,No Data,No Data,No Data,0.472,Elementary,6,No Data,0.682,0.97,Proficient,Proficient,No Data,0.847,Proficient,No Data,50,15,84,2,0.354,No Data,0.823,No Data,No Data,1.4,No Data
10X033,P.S. 033 Timothy Dwight,6,No Data,0.66,Proficient,No Data,No Data,No Data,No Data,34,No Data,27%,0.301,0.15,392,No Data,0.79,No Data,No Data,No Data,0.49,Elementary,43,No Data,0.591,0.94,Well Developed,Well Developed,No Data,0.691,Proficient,No Data,7,49,138,79,0.258,No Data,0.706,No Data,No Data,15.1,No Data
18K285,I.S. 285 Meyer Levin,9,51,0.75,Proficient,No Data,No Data,52,No Data,No Data,0.997,23%,0.182,0.28,330,0.996,0.91,0.435,225,42,0.443,Middle,No Data,0.997,No Data,0.88,Proficient,Proficient,225,0.821,Proficient,0.538,5,No Data,158,674,0.041,43,0.815,0.275,No Data,5,225
10X342,International School for Liberal Arts,No Data,11,0.79,Well Developed,No Data,No Data,4,No Data,No Data,0.985,98%,0.062,0.24,77,0.842,0.89,0.625,57,2,0.536,Middle,No Data,0.94,No Data,0.89,Proficient,Proficient,57,0.961,Proficient,No Data,No Data,No Data,17,No Data,0.717,No Data,0.91,No Data,No Data,0.4,57
08X152,P.S. 152 Evergreen,9,No Data,0.7,Well Developed,No Data,No Data,No Data,No Data,63,No Data,48%,0.235,0.35,381,No Data,0.84,No Data,No Data,No Data,0.473,Elementary,30,No Data,0.597,0.91,Well Developed,Proficient,No Data,0.769,Proficient,No Data,10,46,155,120,0.272,No Data,0.761,No Data,No Data,1.1,No Data
10X045,Thomas C. Giordano Middle School 45,24,67,0.77,Proficient,No Data,No Data,35,0.75,No Data,0.997,25%,0.267,0.36,367,0.249,0.85,0.095,213,35,0.496,Middle,No Data,0.986,No Data,0.9,Proficient,Proficient,213,0.714,Proficient,0.457,8,No Data,158,124,0.181,53,0.752,0.09,No Data,15.1,213
07X001,P.S. 001 Courtlandt School,15,No Data,0.71,Proficient,No Data,No Data,No Data,0.667,37,No Data,46%,0.342,0.26,285,No Data,0.79,No Data,No Data,No Data,0.508,Elementary,38,No Data,0.467,0.9,Proficient,Proficient,No Data,0.642,Proficient,No Data,1,18,119,127,0.246,No Data,0.674,No Data,No Data,14.1,No Data
17K375,P.S. 375 Jackie Robinson School,2,No Data,0.68,Proficient,No Data,No Data,No Data,No Data,25,No Data,47%,0.267,0.27,156,No Data,0.78,No Data,No Data,No Data,0.552,Elementary,12,No Data,0.25,0.94,Proficient,Proficient,No Data,0.75,Proficient,No Data,7,21,51,199,0.215,No Data,0.711,No Data,No Data,0.9,No Data
27Q123,P.S. 123,14,No Data,0.85,Well Developed,No Data,0.836,No Data,No Data,31,No Data,71%,0.184,0.19,313,No Data,0.94,No Data,No Data,No Data,0.505,Elementary,17,No Data,0.522,0.96,Well Developed,Well Developed,No Data,0.834,Proficient,No Data,54,48,98,350,0.068,No Data,0.797,No Data,No Data,6.9,No Data
