program_code,location_1,location_2,enrollment,meals,early_drop_off_available,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available
02M126,80 Catherine Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",42.0,Breakfast/Lunch,No,1.0,3.0,No
18K244,5404 Tilden Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",26.0,Breakfast/Lunch,No,0.92,4.0,No
20K192,4715 18th Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",29.0,Breakfast/Lunch/Snack(s),No,,3.0,No
15KBMU,199 14th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",22.0,Breakfast/Lunch/Snack(s),Yes,1.0,3.0,Yes
24Q153,60-02 60th Lane,"{'human_address': '{""address"": """", ""city"": ""MASPETH"", ""state"": ""NY"", ""zip"": ""11378""}'}",18.0,Breakfast/Lunch/Snack(s),No,1.0,4.0,No
09X073,1020 Anderson Avenue,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",36.0,Breakfast/Lunch,No,0.96,3.0,No
25Q169,18-25 212th Street,"{'human_address': '{""address"": """", ""city"": ""BAYSIDE"", ""state"": ""NY"", ""zip"": ""11360""}'}",35.0,Breakfast/Lunch,No,1.0,3.0,No
18K115,1500 East 92nd Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",97.0,Breakfast/Lunch/Snack(s),Yes,0.96,1.0,No
23K446,76 Riverdale Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",36.0,Breakfast/Lunch,No,0.86,4.0,No
32K075,95 Grove Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",33.0,Breakfast/Lunch,No,0.8,3.0,No
02M111,440 West 53rd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",43.0,Breakfast/Lunch,No,1.0,1.0,Yes
14KABG,563 Bedford Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",30.0,Contact program directly for details,No,1.0,3.0,No
24Q102,55-24 Van Horn Street,"{'human_address': '{""address"": """", ""city"": ""ELMHURST"", ""state"": ""NY"", ""zip"": ""11373""}'}",40.0,Breakfast/Lunch,No,0.91,4.0,No
17KBOL,160 Parkside Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",36.0,Lunch/Snack(s),Yes,1.0,4.0,Yes
23K178,2163 Dean Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",36.0,Contact program directly for details,No,1.0,4.0,No
28Q101,2 Russell Place,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",18.0,Breakfast/Lunch/Snack(s),Yes,1.0,3.0,Yes
02M130,143 Baxter Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",36.0,Breakfast/Lunch,No,0.92,3.0,No
14K031,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",69.0,Breakfast/Lunch,No,0.96,3.0,No
14KBMA,80 Skillman Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",23.0,,,1.0,4.0,
31R006,555 Page Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10307""}'}",35.0,Breakfast/Lunch,No,,4.0,No
31RAFV,144 Bloomingdale Road,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",25.0,Lunch/Snack(s),Yes,0.73,3.0,Yes
13KCQE,69 Macdonough Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",18.0,Breakfast/Lunch,Yes,0.98,3.0,No
27Q362,535 Briar Place,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",54.0,Breakfast/Lunch,No,1.0,3.0,No
