hispanic,ell_other,ell_chinese_1,asian_1,grade_12,ell_spanish,ela_level_4_1,ell_urdu_1,grade_10,math_level_4,ell_french_1,math_test_takers,ell_haitian_creole_1,male
292,,,2.3%,104,,s,,90,s,,102,,234
60,,,s,14,,s,,29,s,,s,,60
241,,,s,64,,s,,111,s,,41,,177
s,s,s,s,s,s,s,s,s,s,s,s,s,s
115,,,s,65,,s,,56,s,,38,,43
7,s,s,s,,6,s,s,s,s,s,s,s,s
83,,,15.6%,54,,48.3%,,43,s,,17,,79
231,,,12.6%,78,,s,,109,s,,87,,122
238,,,3.7%,106,,12.1%,,152,s,,93,,127
31,,,s,8,,s,,13,s,,s,,19
134,,,s,61,,s,,104,s,,15,,s
220,,,4.6%,75,,s,,91,s,,56,,177
27,,,s,s,,s,,s,s,,14,,17
s,,,s,8,,s,,6,s,,s,,6
200,,,s,55,,s,,95,s,,65,,141
243,,,2.0%,86,,s,,67,s,,87,,189
6,,,s,s,,s,,8,s,,s,,9
7,,,s,s,,s,,s,s,,s,,s
274,28,s,4.5%,37,274,s,s,116,s,6.4%,30,s,195
59,,,s,13,,s,,19,s,,30,,9
66,,,16.8%,142,,63.8%,,136,44,,68,,214
98,,,45.3%,,,,,29,,,,,157
23,,,s,6,,s,,16,s,,9,,s
7,,,s,,,s,,s,s,,s,,10
217,s,s,11.2%,55,215,s,s,86,s,2.5%,37,s,156
35,,,s,12,,s,,34,s,,16,,27
205,,,3.6%,114,,s,,135,6,,89,,97
s,s,97.9%,100.0%,,s,s,s,s,s,s,25,s,20
21,,,s,24,,,,8,,,,,24
57,s,s,s,10,58,s,s,22,s,s,6,s,32
8,,,s,s,,s,,6,s,,s,,10
284,,,s,102,,s,,94,s,,75,,189
151,,,3.9%,61,,s,,60,s,,50,,180
472,,,s,128,,s,,119,s,,70,,218
47,,,s,6,,s,,18,s,,s,,33
173,,,6.3%,81,,7.3%,,98,s,,83,,160
6,,,s,s,,s,,6,s,,s,,8
s,,,s,s,,s,,s,s,,s,,s
46,,,s,12,,s,,17,s,,15,,38
7,,,s,s,,,,s,,,,,s
220,,,3.2%,95,,s,,81,s,,78,,240
29,,,s,8,,s,,9,s,,10,,21
18,,,89.0%,87,,20.0%,,91,24,,71,,135
151,,,8.3%,57,,s,,77,s,,52,,193
206,,,12.0%,65,,s,,90,s,,80,,99
22,,,s,,,s,,12,s,,s,,12
171,,,s,15,,s,,61,s,,23,,79
152,,,29.1%,115,,37.7%,,118,19,,82,,182
9,,,s,,,s,,19,s,,14,,18
17,,,s,s,,s,,8,s,,9,,18
270,,,7.3%,75,,7.0%,,119,s,,98,,253
s,,,s,,,s,,s,s,,s,,s
159,8,s,s,6,158,s,s,72,s,s,18,s,103
88,,,s,50,,s,,38,s,,22,,29
14,s,s,s,,13,s,s,s,s,s,6,s,10
206,,,30.3%,81,,6.6%,,130,10,,115,,267
45,s,s,s,7,46,s,s,16,s,s,16,s,s
48,,,s,9,,s,,28,s,,16,,37
50,s,s,s,s,51,s,s,18,s,s,8,s,27
22,,,s,s,,s,,13,s,,s,,19
s,,,s,,,,,s,,,,,s
6,,,s,s,,s,,s,,,,,s
20,,,s,s,,s,,9,s,,9,,11
27,,,s,s,,s,,21,s,,7,,35
s,s,s,s,,s,,s,s,,s,,s,s
170,15,s,s,10,172,s,s,50,s,2.9%,77,s,119
52,s,s,s,8,52,s,s,19,s,s,19,s,45
71,,,s,s,,s,,32,s,,6,,36
29,,,s,10,,s,,13,s,,12,,22
78,,,s,11,,s,,34,s,,25,,63
194,,,s,47,,s,,94,s,,53,,153
12,,,21.9%,s,,s,,10,s,,s,,22
22,,,s,7,,s,,s,s,,s,,10
121,,,s,43,,,,65,,,,,86
53,,,s,6,,s,,28,s,,16,,44
228,,,s,71,,s,,110,s,,70,,167
358,,,4.9%,146,,8.4%,,137,s,,119,,323
27,,,s,15,,s,,22,s,,s,,42
354,,,s,76,,s,,151,s,,103,,292
71,,,s,36,,s,,32,s,,16,,71
37,,,s,10,,s,,30,s,,s,,50
