percent_of_students_entering_8,number_of_students_with,percent_of_students_with
19.4,129,13.7
22.7,49,17.9
18.7,178,18.1
20.0,123,11.0
22.8,137,9.1
21.4,1171,11.8
21.2,91,14.4
