actual_shootings_asian_pi,shootings,nyc_pop_american_indian_an,actual_dir_male,nyc_pop_asian_pi,actual_shootings_male,actual_dirs_black,expected_dirs_white,nyc_pop_female
,6,,,,,,,
,14,,,,,,,
,24,,,,,,,
,30,,,,,,,
,41,,,,,,,
,82,,,,,,,
,10,,,,,,,
,922,,,,,,,
,87,,,,,,,
,6,,,,,,,
,39,,,,,,,
,30,,,,,,,
,166,,,,,,,
,28,,,,,,,
,5,,,,,,,
,112,,,,,,,
,82,,,,,,,
