vert_pgrd,wire_other,vert_wall,inf_canopy,wire_htap,boro_ct,address
No,No,No,No,No,3070600,2254 BERGEN AVENUE
No,No,No,No,No,1017700,175 WEST   90 STREET
No,No,No,No,No,1017800,324 PLEASANT AVENUE
No,No,No,No,No,1017800,506 EAST  118 STREET
Yes,No,No,No,No,1017300,30 WEST   90 STREET
No,No,No,No,No,1016200,1930 1 AVENUE
No,No,No,No,No,1016200,2130 1 AVENUE
No,No,No,No,No,1002201,170 RIVINGTON STREET
No,No,Yes,No,No,1001402,135 RIVINGTON STREET
No,No,No,No,No,1012900,535 WEST   48 STREET
No,No,No,No,No,1017800,456 EAST  116 STREET
No,No,No,No,No,1017000,2075 1 AVENUE
No,No,No,No,No,1017500,564 AMSTERDAM AVENUE
No,No,No,No,No,1017800,402 EAST  116 STREET
No,No,No,No,No,1002100,275 GREENWICH STREET
No,No,No,No,No,1017800,280 PLEASANT AVENUE
No,No,No,No,No,1016200,2100 1 AVENUE
No,No,No,No,No,1025700,498 MANHATTAN AVENUE
Yes,No,Yes,No,No,1017700,35 WEST   92 STREET
No,No,No,No,No,1001300,25 BROADWAY
No,No,No,No,No,1023700,617 WEST  155 STREET
Yes,No,Yes,No,No,1017700,35 WEST   92 STREET
No,No,No,No,No,1016200,1930 1 AVENUE
No,No,No,No,No,1017700,54 WEST   91 STREET
Yes,No,No,No,No,1016300,310 WEST END AVENUE
Yes,No,No,No,No,1017300,129 WEST   86 STREET
No,No,No,No,No,1019702,294 MANHATTAN AVENUE
No,No,No,No,No,1001402,137 RIVINGTON STREET
No,No,No,No,No,1017800,328 PLEASANT AVENUE
No,No,No,No,No,1020102,351 WEST  114 STREET
No,No,Yes,No,No,1016300,300 WEST END AVENUE
No,No,Yes,No,No,1016200,401 EAST  106 STREET
No,No,No,No,No,1024100,3755 BROADWAY
No,No,No,No,No,1016900,509 AMSTERDAM AVENUE
Yes,No,Yes,No,No,1017700,55 WEST   92 STREET
No,No,No,No,No,1006900,160 CHRISTOPHER STREET
No,No,No,No,No,1002100,5 HUDSON STREET
No,No,No,No,No,1017800,280 PLEASANT AVENUE
No,No,No,Yes,No,1017700,101 WEST   90 STREET
Yes,No,No,No,No,1017700,300 CENTRAL PARK WEST
No,No,No,No,No,1002100,292 GREENWICH STREET
No,No,No,No,No,1003800,59-61 EAST    4 STREET
No,No,No,No,No,1016300,346-8 WEST END AVENUE
No,No,No,No,No,1017100,464 AMSTERDAM AVENUE
No,No,Yes,No,No,1017700,48 WEST   91 STREET
Yes,No,No,No,No,1017300,107 WEST   86 STREET
No,No,No,No,No,1007500,159 CHRISTOPHER STREET
No,No,No,No,No,1013500,555 WEST   57 STREET
Yes,No,No,No,No,1020102,370 MANHATTAN AVENUE
No,No,No,No,No,1001402,179 RIVINGTON STREET
Yes,No,No,No,No,1007300,490 HUDSON STREET
No,No,No,No,No,1024100,800 RIVERSIDE DRIVE
No,No,No,No,No,1013500,518 WEST   58 STREET
No,No,No,No,No,1002100,121 READE STREET
No,No,No,No,No,1004000,155 1 AVENUE
No,No,No,No,No,1016200,2130 1 AVENUE
Yes,No,No,No,No,1024100,3755 BROADWAY
Yes,No,No,No,No,1007500,133 CHRISTOPHER STREET
No,No,No,No,No,1024100,800 RIVERSIDE DRIVE
Yes,No,No,No,No,1017700,61 WEST   90 STREET
Yes,No,No,No,No,1007500,143 CHRISTOPHER STREET
Yes,No,No,No,No,1017300,44 WEST   90 STREET
No,No,No,No,No,1004000,192 1 AVENUE
No,No,No,No,No,1013500,530 WEST   57 STREET
No,No,No,No,No,1004000,237 1 AVENUE
No,No,No,No,No,1025700,437 MANHATTAN AVENUE
No,Yes,No,No,No,1025700,496 MANHATTAN AVENUE
Yes,No,Yes,No,No,1017700,322 CENTRAL PARK WEST
No,No,No,No,No,1011600,1198 1 AVENUE
No,No,No,No,No,1016300,350 WEST END AVENUE
No,No,No,No,No,1002100,311 GREENWICH STREET
Yes,No,No,No,No,1003800,58 EAST    4 STREET
No,No,No,No,No,1003800,78 EAST    4 STREET
Yes,No,No,No,No,1017300,295 CENTRAL PARK WEST
No,No,Yes,No,No,1016300,300 WEST END AVENUE
No,No,No,No,No,1017100,2289-91 BROADWAY
Yes,No,No,No,No,1007300,107 BEDFORD STREET
No,No,No,No,No,1017800,430 EAST  118 STREET
No,No,No,No,No,1002100,125 BARCLAY STREET
No,No,No,Yes,No,1002202,249 EAST    2 STREET
No,No,No,No,No,1017700,24 WEST   91 STREET
No,No,No,No,No,1016200,401 EAST   96 STREET
No,No,No,No,No,1003200,223 EAST    4 STREET
No,No,No,No,No,3070600,2220 BERGEN AVENUE
No,No,No,No,No,1016200,421 EAST  106 STREET
No,No,No,Yes,No,1017800,329 PLEASANT AVENUE
No,No,No,Yes,No,1016200,420 EAST  111 STREET
No,No,No,No,No,1016200,420 EAST  111 STREET
Yes,No,No,No,No,1002202,219 EAST    2 STREET
No,No,No,No,No,1004000,150 1 AVENUE
No,No,No,No,No,1017800,506 EAST  118 STREET
No,No,No,No,No,1017700,70 WEST   91 STREET
Yes,No,No,No,No,1016300,310 WEST END AVENUE
No,No,No,No,No,1013500,521 WEST   57 STREET
No,No,No,No,No,1013500,530 WEST   57 STREET
No,No,No,No,No,1017700,133 WEST   90 STREET
No,Yes,No,No,No,1025700,492 MANHATTAN AVENUE
No,No,No,No,No,1016200,439 EAST  100 STREET
No,No,No,No,No,1013500,555 WEST   57 STREET
No,No,No,No,No,1001300,2 WASHINGTON STREET
No,No,No,No,No,1016200,2130 1 AVENUE
No,No,No,No,No,1002202,234 EAST    2 STREET
No,No,No,No,No,1017800,279 PLEASANT AVENUE
No,No,No,No,No,1017700,34 WEST   91 STREET
No,No,No,No,No,1017800,302 PLEASANT AVENUE
Yes,No,No,No,No,1007300,100 BEDFORD STREET
No,No,No,No,No,1002100,125 BARCLAY STREET
Yes,No,No,No,No,1017800,281 PLEASANT AVENUE
No,No,Yes,Yes,No,1004000,151 1 AVENUE
No,No,No,No,No,1017000,2065 1 AVENUE
No,No,No,No,No,1016200,2040 1 AVENUE
Yes,No,No,No,No,1007300,100 BEDFORD STREET
No,No,No,No,No,1013500,514 WEST   57 STREET
No,No,No,No,No,1024100,800 RIVERSIDE DRIVE
No,No,No,No,No,1015100,600 west 59th street
No,No,No,No,No,1007300,322 BLEECKER STREET
No,No,No,No,No,1001300,11 GREENWICH STREET
Yes,No,No,No,No,1017700,48 WEST   91 STREET
No,No,No,No,No,1017100,2289-91 BROADWAY
No,No,No,No,No,1016200,2130 1 AVENUE
No,No,No,No,No,1004000,185 1 AVENUE
No,No,No,No,No,1017100,2299 BROADWAY
Yes,No,Yes,No,No,1017800,428 EAST  116 STREET
No,No,No,No,No,0,55-52 WEST  215 STREET
No,No,No,No,No,1016400,1955 1 AVENUE
No,No,No,No,No,1016200,2130 1 AVENUE
No,No,No,No,No,1015602,1901 1 AVENUE
No,No,No,No,No,1001402,135 RIVINGTON STREET
Yes,No,No,No,No,1002100,295 GREENWICH STREET
No,No,No,No,No,1024100,800 RIVERSIDE DRIVE
No,No,No,No,No,1016200,1930 1 AVENUE
No,No,No,No,No,1015602,1901 1 AVENUE
No,No,No,No,No,1017800,411 EAST  118 STREET
No,No,No,No,No,1007500,143 CHRISTOPHER STREET
Yes,No,No,No,No,1017300,151 WEST   86 STREET
No,No,No,No,No,1016200,1918 1 AVENUE
Yes,No,No,No,No,1002100,295 GREENWICH STREET
No,No,No,No,No,1016200,401 EAST   96 STREET
No,No,No,No,No,3069800,1481 EAST   63 STREET
No,No,No,No,No,1002100,292 GREENWICH STREET
No,No,No,No,No,1003001,135 SUFFOLK STREET
Yes,No,No,No,No,1002202,214 EAST    2 STREET
No,No,No,No,No,1002100,151 READE STREET
No,No,No,No,No,1017700,175 WEST   90 STREET
Yes,No,No,No,No,1017300,46 WEST   90 STREET
No,No,No,No,No,1015100,600 west 59th street
No,No,No,No,No,3021600,1162 57 STREET
No,No,No,No,No,1017800,324 PLEASANT AVENUE
Yes,No,No,No,No,1017300,107 WEST   86 STREET
No,No,No,No,No,1016200,1930 1 AVENUE
