dbn,location_name,_11_superintendent,_17_removals,_16_principal,_5_expulsions,_19_expulsions,_6_expulsions,_18_superintendent,_15_expulsions,_21_superintendent,_8_expulsions,_7_removals,_12_principal,_21_expulsions,_10_removals,_8_principal,_11_removals,_15_superintendent
07X381,Bronx Haven High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M328,Community Math & Science Prep,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M570,Satellite Academy High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K590,Medgar Evers College Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
16K765,Nelson Mandela High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12
10X081,P.S. 081 Robert J. Christen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X463,Urban Scholars Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X016,P.S. 016 Wakefield,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R
06M463,High School for Media and Communications,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K354,The School of Integrated Learning,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X217,School of Performing Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X268,Kingsbridge International High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M505,Edward A. Reynolds West Side High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X521,The Metropolitan Soundview High School,R,R,22,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X396,P.S. 396,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X101,M.S. X101 Edward R. Byrne,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K581,East Flatbush Community Research School,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
08X301,M.S. 301 Paul L. Dunbar,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
17K189,P.S. 189 The Bilingual Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
18K763,Brooklyn Science and Engineering Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M173,P.S. 173,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
20K030,P.S./I.S. 30 Mary White Ovington,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R
11X144,J.H.S. 144 Michelangelo,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X095,P.S. 095 Sheila Mencher,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R
13K282,P.S. 282 Park Slope,R,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R
01M315,The East Village Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
