location_code,primary_address_line_1,:@computed_region_yeji_bk3q,highschool_network_location_code,managed_by_name,principal_title,grades_final_text,school_support_team_name,council_district
X299,925 ASTOR AVENUE,5,HS08,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Affinity Group,13
M041,116 WEST  11 STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Manhattan,3
K161,330 CROWN STREET,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 2- Brooklyn South,35
K308,616 QUINCY STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 5- Brooklyn North,36
M322,4600 BROADWAY,4,,DOE,PRINCIPAL,"06,07,08,SE",School Support Team 7- Manhattan,10
X071,3040 ROBERTS AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 7- Bronx,13
M545,350 GRAND STREET,4,HS04,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Manhattan,1
X315,2865 CLAFLIN AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 3- Bronx,14
K594,265 RALPH AVENUE,2,HS12,DOE,PRINCIPAL,"09,10,11,12",School Support Team 5- Affinity Group,41
M139,439 WEST 49TH STREET,4,HS03,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Affinity Group,3
M290,311 EAST  82 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Manhattan,5
K182,183 SOUTH  3 STREET,2,,Charter,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",,34
X418,2040 ANTIN PL,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,13
M570,120 WEST  30 STREET,4,HS10,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Manhattan,3
X032,690 EAST 183 STREET,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Bronx,15
M468,549 AUDUBON AVENUE,4,,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Manhattan,10
X392,650 HOLLYWOOD AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 7- Bronx,13
Q273,88-07 102ND STREET,3,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 2- Queens South,32
K546,600 KINGSTON AVENUE,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,40
K204,8101 15 AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 4- Brooklyn South,43
M189,2580 AMSTERDAM AVENUE,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 7- Manhattan,10
Q744,45-10 94TH STREET,3,HS08,DOE,I.A. PRINCIPAL,"09,10,11,12",School Support Team 2- Affinity Group,25
K615,1 WELLS STREET,2,HS05,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn North,37
K126,424 LEONARD STREET,2,,DOE,PRINCIPAL,"06,07,08",School Support Team 4- Brooklyn North,33
K093,31 NEW YORK AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Brooklyn North,36
X327,1501 JEROME AVENUE,5,,DOE,PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 10- Bronx,14
M037,508 EAST 120 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 6- Manhattan,8
X249,750 BAYCHESTER AVENUE,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,12
K676,27 HUNTINGTON STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 4- Brooklyn North,38
X508,925 ASTOR AVENUE,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,13
K009,80 UNDERHILL AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Brooklyn North,35
K592,362 SCHERMERHORN STREET,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,33
X269,928 SIMPSON STREET,5,,DOE,I.A. PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 7- Bronx,17
K532,1025 EASTERN PARKWAY,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 2- Brooklyn South,35
X125,1111 PUGSLEY AVENUE,5,,DOE,PRINCIPAL,"06,07,08",School Support Team 7- Bronx,18
M289,201 WARREN STREET,4,,DOE,PRINCIPAL,"06,07,08",School Support Team 4- Manhattan,1
M076,220 WEST 121 STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 5- Manhattan,9
X543,1110 BOSTON ROAD,5,HS09,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,16
K273,923 JEROME STREET,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 6- Brooklyn North,42
K445,1601 80 STREET,2,HS06,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn South,43
X072,2951 DEWEY AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,SE",School Support Team 7- Bronx,13
K130,70 OCEAN PARKWAY,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 5- Brooklyn North,39
X086,2756 RESERVOIR AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06",School Support Team 3- Bronx,11
X153,650 BAYCHESTER AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 10- Bronx,12
X369,468 EAST 140 STREET,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Bronx,8
K067,51 SAINT EDWARDS STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Brooklyn North,35
M126,80 CATHERINE STREET,4,,DOE,I.A. PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 3- Manhattan,1
X141,660 WEST 237 STREET,5,,DOE,PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 4- Bronx,11
M964,19 EAST 103 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08,SE",School Support Team 6- Manhattan,8
X194,2365 WATERBURY AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 10- Bronx,18
K595,1119 BEDFORD AVENUE,2,HS05,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn North,36
M200,2589 7 AVENUE,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Manhattan,9
X088,1340 SHERIDAN AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03",School Support Team 8- Bronx,16
M343,1 PECK SLIP,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Manhattan,1
X003,2100 LAFONTAINE AVENUE,5,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 4- Bronx,15
K088,544 7TH AVENUE,2,,DOE,PRINCIPAL,"06,07,08",School Support Team 5- Brooklyn North,38
X224,345 BROOK AVENUE,5,,DOE,I.A. PRINCIPAL,"06,07,08",School Support Team 6- Bronx,8
M372,240 EAST 109 STREET,4,,DOE,PRINCIPAL,"06,07,08,09,10,11,12",School Support Team 6- Manhattan,8
K502,400 PENNSYLVANIA AVENUE,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Brooklyn North,42
X565,2474 CROTONA AVENUE,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Bronx,15
K200,1940 BENSON AVENUE,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 4- Brooklyn South,43
K069,6302 9TH AVENUE,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Brooklyn South,38
M423,650 ACADEMY STREET,4,HS10,DOE,PRINCIPAL,"08,09,10,11,12",School Support Team 2- Manhattan,10
M151,421 EAST  88 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Manhattan,5
K673,9517 KINGS HIGHWAY,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,41
K345,111 BERRIMAN STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 7- Brooklyn North,37
X294,1425 WALTON AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 8- Bronx,16
X558,3000 EAST TREMONT AVENUE,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,13
X105,725 BRADY AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 10- Bronx,13
X037,360 WEST 230 STREET,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 3- Bronx,11
M575,240 2 AVENUE,4,HS10,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Manhattan,2
K035,272 MACDONOUGH STREET,2,,DOE,PRINCIPAL,"06,07,08",School Support Team 5- Brooklyn North,36
X293,3000 EAST TREMONT AVENUE,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,13
M001,8 HENRY STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Manhattan,1
K229,1400 BENSON AVENUE,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 4- Brooklyn South,43
M839,600 EAST  6 STREET,4,,DOE,PRINCIPAL,"06,07,08",School Support Team 3- Manhattan,2
M500,111 EAST  33RD STREET,4,HS04,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Manhattan,2
X227,240 EAST 172 STREET,5,HS09,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Bronx,16
M328,401 WEST 164 STREET,4,,DOE,PRINCIPAL,"06,07,08",School Support Team 7- Manhattan,10
M394,100 HESTER STREET,4,HS10,DOE,PRINCIPAL,"09,10,11,12",School Support Team 2- Manhattan,1
K498,1396 BROADWAY,2,HS05,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn North,41
M416,411 EAST 76 STREET,4,HS04,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Manhattan,5
M630,231-249 EAST 56 STREET,4,HS04,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Manhattan,4
M009,100 WEST  84 STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 5- Manhattan,6
X175,200 CITY ISLAND AVENUE,5,,DOE,PRINCIPAL,"0K,01,02,03,04,05,06,07,08",School Support Team 10- Bronx,13
K235,525 LENOX ROAD,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 3- Brooklyn South,41
K005,820 HANCOCK STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 6- Brooklyn North,41
X282,456 WHITE PLAINS ROAD,5,HS02,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Bronx,18
X584,600 SAINT ANN'S AVENUE,5,,DOE,Acting Principal,,School Support Team 6- Bronx,17
M149,41 WEST 117 STREET,4,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 5- Manhattan,9
K449,223 GRAHAM AVENUE,2,HS05,DOE,PRINCIPAL,"09,10,11,12",School Support Team 1- Brooklyn North,34
K020,225 ADELPHI STREET,2,,DOE,PRINCIPAL,"PK,0K,01,02,03,04,05",School Support Team 3- Brooklyn North,35
K364,1426 FREEPORT LOOP,2,,DOE,PRINCIPAL,"06,07,08",School Support Team 7- Brooklyn North,42
K094,5010 6 AVENUE,2,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Brooklyn North,38
K490,8301 SHORE ROAD,2,HS07,DOE,PRINCIPAL,"09,10,11,12",School Support Team 3- Affinity Group,43
X339,1600 WEBSTER AVENUE,5,,DOE,PRINCIPAL,"06,07,08",School Support Team 8- Bronx,16
M180,370 WEST 120TH STREET,4,,DOE,I.A. PRINCIPAL,"PK,0K,01,02,03,04,05,06,07,08",School Support Team 5- Manhattan,9
M116,210 EAST  33 STREET,4,,DOE,PRINCIPAL,"0K,01,02,03,04,05",School Support Team 4- Manhattan,2
