job_filing_number,general_liability_company,general_liability_expiration,filing_number,gis_bin,business_name,owner_first_name,license_number,completion_date,lighting_work,_3_wire,removal_of_vio_or_owner,legalization_fee,filing_status,firm_address,category_work_list
X00513387-I1-EL,TRISURA SPECIALTY INSURAN,2022-06-28T00:00:00.000,I1,2028531.0,PARADISE,LEO,13184,2023-04-29T00:00:00.000,No,0,No,0,Complete,62 RUTLEDGE STREET #110,
Q00552412-I1-EL,ACCEPTANCE IND INS CO,2022-04-03T00:00:00.000,I1,4274129.0,,SHANTE,11068,2021-07-08T00:00:00.000,No,1,No,0,Complete,195 7TH AVENUE,
B00564547-P1,FALLS LAKE NATIONAL INS C,2022-01-25T00:00:00.000,P1,3002935.0,"THE ATLANTIC APARTMENTS, LLC C/O SHORE ASSETS",BILLY,13071,2022-03-07T00:00:00.000,No,0,No,0,Approved,1811 STILLWELL AVENUE GND FL,
B00650077-I1-EL,SOUTHWEST MARINE INS,2022-06-12T00:00:00.000,I1,3017355.0,,SARAH,12866,2022-02-23T00:00:00.000,No,0,No,0,Complete,200 6TH STREET SUITE 3G,Sustainable Energy Installs
B00620937-I1-EL,MERCHANTS MUTUAL,2023-03-21T00:00:00.000,I1,3203804.0,,YANA,13111,2022-01-22T00:00:00.000,No,2,No,0,Complete,2906 SHELL ROAD 1ST FL,
B00885791-I1-EL,TRAVELERS CASUALTY INS,2024-01-02T00:00:00.000,I1,3004075.0,,Tom,9774,2024-06-29T00:00:00.000,No,0,Yes,1470,Complete,4347 HYLAN BOULEVARD,
B00543176-I1-EL,SOUTHWEST MARINE INS,2022-06-12T00:00:00.000,I1,3123655.0,,Dina,12866,2021-08-25T00:00:00.000,No,2,No,0,Complete,200 6TH STREET SUITE 3G,Sustainable Energy Installs
M00505408-P1,TRAVELERS INS COMPANY,2021-09-27T00:00:00.000,P1,1008404.0,72 CARMINE STREET LLC,LEOR,11372,2024-04-16T00:00:00.000,No,0,No,0,Approved,37-31 58TH STREET,
X00565960-P1,TRAVELERS CAS INS CO OF,2023-10-15T00:00:00.000,P1,2117695.0,Schimenti,CHARLES,13210,2022-08-29T00:00:00.000,No,0,No,0,Approved,"350 7TH AVENUE, SUITE 201",
M00511729-I1-EL,SELECTIVE INS CO OF NY,2022-04-01T00:00:00.000,I1,1003560.0,Marin Mangt.,Joseph,10584,2021-04-30T00:00:00.000,No,0,No,0,Complete,729 EAST 140TH STREET,
B00552134-I1-EL,MERCHANTS MUTUAL INS CO,2021-12-07T00:00:00.000,I1,3326144.0,HOPE GARDENS I LLC,MICHAEL,11197,2021-12-08T00:00:00.000,No,0,No,0,Complete,45-06 108TH STREET-2ND FL.,Sustainable Energy Installs
M00505950-P1,TRAVELERS PROPERTY CASUAL,2022-01-14T00:00:00.000,P1,1015096.0,Maxwell Kates,RAMON,12958,2022-04-02T00:00:00.000,No,0,No,0,Approved,86-40 122ND STREET,
B00982998-I1-EL,TRAVELERS INDEMNITY OF AM,2024-12-27T00:00:00.000,I1,3388494.0,,Adam,13117,2023-12-28T00:00:00.000,No,0,No,0,Complete,4250 VAN CORTLAND PARK EAST,Minor Work
X00552080-I1-EL,WESTERN WORLD INS CO,2022-05-25T00:00:00.000,I1,2066569.0,ELITE MANAGEMENT LLC,ADAM,11958,2021-07-30T00:00:00.000,No,0,No,0,Complete,21-24 39TH AVENUE,
M00481509-I1-EL,PENN STAR INSURANCE CO,2022-03-01T00:00:00.000,I1,1055870.0,NYC HPD,JASON,11560,2021-03-12T00:00:00.000,No,19,No,0,Complete,1991 LEXINGTON AVENUE,
B00629026-P1,TRAVELERS INSURANCE,2022-09-09T00:00:00.000,P1,3116569.0,,Ezra,11756,2023-02-25T00:00:00.000,No,2,No,0,Approved,2802 AVENUE Y,
M00510713-P1,HISCOX INSURANCE COMP LTD,2021-12-31T00:00:00.000,P1,1089664.0,BOP WEST 31ST STREET LLC,HENRY,10702,2023-04-04T00:00:00.000,No,0,No,0,Approved,360 PARK AVE. SOUTH,
B00222939-I1-EL,RT-COLONEY INS CO,2023-04-09T00:00:00.000,I1,3323704.0,TECHNICO SERVICES,TECHNICO,10529,2020-09-05T00:00:00.000,No,0,No,0,Complete,3058 41ST STREET 1ST FLOOR,
