job_number,total_billable_work_fee,zip,_10_points,temp_construction_svc,filing_type,borough,job_start_date,job_status,auth_rep_owner_relation,coo_related,owner_type,filing_date,block,gis_bbl,worker_comp_policy
X00513387,923.5,11249,0,No,New Job Filing,BRONX,2021-05-03T00:00:00.000,Job is complete,,No,Corporation,2021-05-03T00:00:00.000,3917,2039170028.0,TWC3973722
Q00552412,38.0,11215,0,No,New Job Filing,QUEENS,2021-07-06T00:00:00.000,Job is complete,,No,Individual,2021-07-06T00:00:00.000,12727,4127270031.0,G1419 580-4
B00564547,35.0,11223,0,No,PAA,BROOKLYN,2021-07-26T00:00:00.000,Job in Process,,No,Individual,2021-12-20T00:00:00.000,284,3002840017.0,K2462 921-4
B00650077,15.5,11215,0,No,New Job Filing,BROOKLYN,2021-12-21T00:00:00.000,Job is complete,,No,Individual,2021-12-17T00:00:00.000,890,3008900068.0,373838530101
B00620937,50.75,11224,0,No,New Job Filing,BROOKLYN,2021-10-28T00:00:00.000,Job is complete,,No,Individual,2021-10-28T00:00:00.000,7430,3074300013.0,K 1369 815-4
B00885791,107.0,10312,0,No,New Job Filing,BROOKLYN,2023-06-29T00:00:00.000,Job is complete,,No,Individual,2023-06-28T00:00:00.000,330,3003300002.0,124
B00543176,136.0,11215,0,No,New Job Filing,BROOKLYN,2021-06-25T00:00:00.000,Job is complete,,No,Individual,2021-06-18T00:00:00.000,5307,3053070007.0,373838530101
M00505408,45.75,11377,0,No,PAA,MANHATTAN,2021-04-16T00:00:00.000,Job in Process,,No,Partenership,2021-07-07T00:00:00.000,528,1005280065.0,DEWC253012
X00565960,115.75,10001,0,No,PAA,BRONX,2021-07-28T00:00:00.000,Job in Process,,No,Corporation,2023-01-24T00:00:00.000,2618,2026187501.0,W2346 372-2
M00511729,12.0,10454,0,No,New Job Filing,MANHATTAN,2021-04-29T00:00:00.000,Job is complete,,No,Corporation,2021-04-27T00:00:00.000,283,1002830010.0,2021 075397
B00552134,65.0,11368,0,No,New Job Filing,BROOKLYN,2021-07-06T00:00:00.000,Job is complete,,No,NYCHA,2021-07-05T00:00:00.000,3341,3033410001.0,G1197 987 9
M00505950,1745.0,11418,2,No,PAA,MANHATTAN,2021-04-19T00:00:00.000,Job in Process,Superintendent,No,Corporation,2021-10-28T00:00:00.000,803,1008037501.0,UB4J667863
B00982998,0.0,10470,0,No,New Job Filing,BROOKLYN,2023-12-28T00:00:00.000,Job is complete,,No,Corporation,2023-12-28T00:00:00.000,180,3001807501.0,G 1147 692 6
X00552080,7.5,11101,0,No,New Job Filing,BRONX,2021-07-06T00:00:00.000,Job is complete,,No,Corporation,2021-07-05T00:00:00.000,4954,2049540008.0,H 1461 229-5
M00481509,0.0,10035,0,No,New Job Filing,MANHATTAN,2021-03-08T00:00:00.000,Job is complete,PROCUREMENT,No,NYC Agency,2021-03-05T00:00:00.000,1849,1018490027.0,M 1261 737 9
B00629026,358.5,11235,0,No,PAA,BROOKLYN,2021-11-10T00:00:00.000,Job in Process,,No,Corporation,2022-06-01T00:00:00.000,5082,3050820017.0,K2390 893-2
M00510713,195.0,10010,2,No,PAA,MANHATTAN,2021-04-26T00:00:00.000,Job in Process,,No,Corporation,2021-04-27T00:00:00.000,729,1007297502.0,532
B00222939,75.0,11101,0,No,New Job Filing,BROOKLYN,2019-09-05T00:00:00.000,Job is complete,PROJECT MANAGER,No,NYCHA,2019-09-05T00:00:00.000,557,3005570001.0,Z2472 106 0
B00749236,0.0,11378,0,No,New Job Filing,BROOKLYN,2022-06-02T00:00:00.000,Job is complete,TENANT,No,Corporation,2022-06-01T00:00:00.000,3337,3033370027.0,UB0L6636782143G
M00412584,37.5,11101,0,No,PAA,MANHATTAN,2020-10-13T00:00:00.000,Job in Process,contractor,No,Corporation,2021-07-05T00:00:00.000,1995,1019950001.0,CS-WK-000001393
