survey_complete,d_cms_zone,person_num,d_purpose_imputed,hh_member_5,high_speed_flag,user_merged
1,Upper Manhattan,1,63,995,0,0
1,Manhattan Core,1,63,995,0,0
1,Inner Brooklyn,1,10,995,0,0
1,Inner Brooklyn,1,60,995,0,0
1,Southern Bronx,1,1,995,0,0
0,Manhattan Core,1,-9998,995,0,0
1,Manhattan Core,1,60,995,0,0
1,Manhattan Core,1,33,995,0,0
1,Inner Brooklyn,1,33,995,0,0
1,Northern Bronx,1,50,995,0,0
1,Inner Queens,1,1,995,0,0
1,Northern Bronx,1,51,995,0,0
1,Inner Brooklyn,1,42,995,0,0
1,Southern Bronx,1,33,995,0,0
1,Inner Brooklyn,1,44,995,0,0
1,Staten Island,1,111,995,0,0
1,Inner Brooklyn,1,1,995,0,0
1,Inner Brooklyn,1,50,995,0,0
1,Southern Bronx,1,1,995,0,0
1,Northern Bronx,1,50,995,0,0
1,Inner Brooklyn,1,1,995,0,0
1,Upper Manhattan,1,63,995,0,0
1,Northern Bronx,1,51,995,0,0
1,Inner Brooklyn,1,33,995,0,0
1,Northern Bronx,1,51,995,0,0
1,,1,111,0,0,0
1,Upper Manhattan,1,60,995,0,0
1,Southern Bronx,1,50,995,0,0
1,Northern Bronx,1,997,995,0,0
1,Manhattan Core,1,63,995,0,995
1,Manhattan Core,1,60,995,0,1
1,Manhattan Core,1,14,995,0,0
1,Northern Bronx,1,50,0,0,0
1,Northern Bronx,1,111,995,0,0
1,Inner Brooklyn,1,60,995,0,1
1,Outer Queens,1,33,0,0,0
1,Northern Bronx,1,997,995,0,0
1,Inner Brooklyn,1,33,995,0,0
1,Inner Brooklyn,1,10,995,0,1
1,Northern Bronx,1,997,995,0,0
0,Manhattan Core,1,-9998,995,1,0
1,Manhattan Core,1,51,995,0,0
1,Inner Queens,1,50,995,0,0
0,Southern Bronx,1,-9998,995,0,0
1,Northern Bronx,1,997,995,0,0
1,Northern Bronx,1,33,995,0,0
1,Inner Queens,1,50,995,0,0
1,Northern Bronx,1,1,995,0,0
1,Manhattan Core,1,10,995,0,0
1,Northern Bronx,1,51,995,0,0
1,Northern Bronx,1,1,995,0,0
1,Manhattan Core,1,42,995,0,0
0,Southern Bronx,1,1,995,0,0
1,Southern Bronx,1,10,995,0,0
1,Inner Queens,1,1,995,0,0
1,Northern Bronx,1,1,995,0,0
1,Southern Bronx,1,44,995,0,0
1,Southern Bronx,1,50,995,0,0
1,Manhattan Core,1,111,995,0,0
1,Staten Island,1,10,995,1,0
1,Northern Bronx,1,1,995,0,0
1,Outer Queens,1,1,995,0,0
1,Manhattan Core,1,21,0,0,0
1,Northern Bronx,1,33,995,0,0
1,Manhattan Core,1,63,995,0,0
1,Upper Manhattan,1,997,995,0,0
1,Southern Bronx,1,1,995,0,0
1,Outer Queens,1,1,995,0,995
1,Outer Queens,1,1,995,0,0
1,Manhattan Core,1,33,995,0,0
1,Northern Bronx,1,997,995,0,0
1,Northern Bronx,1,41,995,0,0
1,Manhattan Core,1,24,995,0,1
1,Inner Queens,1,33,995,0,0
1,Inner Brooklyn,1,10,995,0,1
1,Inner Brooklyn,1,60,995,0,0
1,Inner Queens,1,1,995,0,0
0,Inner Queens,1,1,995,0,0
1,Inner Brooklyn,1,33,995,0,0
1,Manhattan Core,1,60,995,0,1
1,Inner Brooklyn,1,33,995,0,0
1,Inner Queens,1,50,995,0,0
1,Northern Bronx,1,10,995,0,0
1,Northern Bronx,1,41,995,0,0
1,Manhattan Core,1,50,995,0,995
1,Staten Island,1,1,995,0,0
1,Northern Bronx,1,13,995,0,0
1,Staten Island,1,33,995,0,0
0,Manhattan Core,1,-9998,995,0,0
1,Manhattan Core,1,60,995,0,0
1,Southern Bronx,1,50,995,0,0
1,Manhattan Core,1,63,995,0,0
1,Staten Island,1,33,995,0,0
1,Northern Bronx,1,50,995,0,0
1,Manhattan Core,1,10,995,0,0
1,Northern Bronx,1,997,995,0,0
