all_average_gross_rent,total_hoh_62_years_and_over,total_families_2nd_adult_employed,total_elderly_population,total_families_on_welfare,total_families_on_welfare_and_hoh_elderly,all_average_total_gross_income
$576,17,5,18,31,1,"$23,683"
$617,1529,140,1735,655,50,"$25,913"
$592,14641,1644,16789,5632,592,"$24,562"
$570,181,44,203,164,11,"$23,648"
$627,18958,2504,22340,6988,751,"$26,210"
