residents_4_to_5,total_families_on_full_welfare,residents_21_to_49,total_male_headed_families,residents_18_to_20,all_families_average_years_in_public_housing,total_female_headed_families
11,15,103,11,29,10.1,72
358,627,5828,1908,1057,25.8,5754
293,469,4536,1584,723,28.7,4730
1506,3447,28172,11621,4306,30.2,33058
90,231,1925,468,467,11.9,1595
