_25_44,cd_10,cd_43,asian,cd_34,_65,hispanic,cd_15,cd_24,cd_42
*,0,0,0,0,0,*,0,0,0
14,*,*,21,*,111,46,*,*,*
0,*,*,*,0,*,0,0,0,0
*,*,0,*,0,*,*,0,*,*
*,0,0,*,0,0,0,0,0,0
*,0,0,0,*,0,0,0,0,0
6901,179,53,443,113,407,3668,551,100,361
*,0,0,0,0,*,*,0,0,0
0,0,0,0,0,0,*,0,0,0
101,*,*,16,*,20,78,*,*,*
68,*,0,*,0,30,57,10,0,*
686,10,*,30,17,*,365,37,*,50
5720,565,297,1623,311,5973,6334,681,233,563
205,*,*,*,*,*,87,15,*,13
*,0,0,0,0,*,*,0,0,*
*,0,0,*,0,*,0,*,0,0
*,*,0,0,0,0,*,0,0,0
23,0,0,*,0,*,16,*,0,*
467,27,13,42,12,73,333,47,*,30
0,0,0,0,0,0,0,0,0,0
*,0,0,*,0,0,*,0,0,*
*,*,*,76,*,190,56,*,*,*
*,*,*,11,*,93,24,*,*,*
1555,144,83,391,86,1962,1858,204,57,157
16,*,0,*,*,0,20,*,0,*
14,0,0,*,0,*,*,0,0,*
*,0,0,0,0,0,*,0,0,0
141,24,0,28,*,138,155,*,*,10
0,0,0,*,*,11,*,*,0,0
*,0,0,0,0,0,0,0,0,0
*,0,0,*,0,0,0,0,0,0
16,*,0,0,0,*,13,*,0,*
*,*,0,0,*,*,10,0,0,0
24,*,*,*,0,10,19,*,0,*
342,20,10,30,*,57,257,32,*,25
*,0,0,0,0,0,*,0,0,0
1419,137,78,463,80,1959,1750,167,58,144
80,*,0,*,*,*,42,*,*,*
0,0,0,0,0,0,*,0,0,*
11,0,0,0,0,0,*,*,0,0
*,0,0,0,0,0,0,*,0,0
0,0,0,0,0,0,0,0,0,0
39,*,*,*,0,*,24,*,*,0
30,*,0,*,*,*,23,*,*,*
*,0,0,0,0,*,*,0,0,0
*,0,0,0,0,0,*,*,0,0
*,0,0,*,0,0,*,*,0,*
17,0,0,0,0,0,14,*,0,0
1674,159,117,578,100,2498,2283,246,75,164
0,0,0,0,0,0,0,0,0,0
29,*,0,0,0,0,12,*,*,*
*,*,*,*,*,45,20,*,*,0
49,*,*,10,*,70,69,*,*,*
76,*,*,13,*,22,48,*,*,*
*,0,0,*,0,0,*,0,*,0
*,*,*,*,0,*,*,*,0,0
0,0,0,0,0,*,*,0,0,0
5090,124,53,289,115,431,2790,403,65,238
0,*,10,20,*,260,100,*,*,*
0,0,0,0,0,*,0,0,0,0
0,0,0,0,0,0,0,0,0,0
*,18,*,26,13,345,135,*,*,*
0,0,0,0,0,*,0,*,0,0
0,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,0,0,0,0
*,*,0,*,*,18,*,*,*,0
*,0,0,0,0,0,*,0,0,0
*,0,0,0,0,0,0,0,0,0
*,*,0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0
24,*,0,*,0,*,16,*,0,0
10,*,0,*,*,*,*,*,0,0
*,0,0,*,0,*,*,0,0,*
633,37,14,65,22,36,454,46,*,49
65,*,0,*,*,*,27,*,*,*
*,0,0,0,0,0,*,0,0,0
*,*,0,*,0,*,*,*,*,*
*,0,0,0,0,0,0,0,0,0
*,0,0,0,0,0,0,0,0,0
