unique_id,job_filing_number,to_floor,sign_manufacturer,sign_transformers,floor_name,floor_heaters,sign_materials_guage,sign_total_watts_va
00080E73-398A-E811-811A-005056B627E4.0.0,Q00062773-I1-EL,,,0,,0,,0.0
009F8962-17DD-E811-811A-005056B627E6.FF9E8962-17DD-E811-811A-005056B627E6.0,Q00094590-I1-EL,,,0,Attic,0,,0.0
000BCB9A-BCED-E811-811A-005056B627E6.0.0,Q00102407-I1-EL,,,0,,0,,0.0
003A2ACF-6A2C-E811-8117-005056B627E4.0.0,M00028669-I1-EL,,,0,,0,,0.0
000B46FA-1502-E911-811C-005056B627E4.0.0,Q00110910-I1-EL,,,0,,0,,0.0
0094CA44-FADD-E811-811A-005056B627E6.BF3D7914-FADD-E811-811A-005056B627E6.0,Q00095186-I1-EL,,,0,Basement,0,,0.0
007820A2-0668-E811-8119-005056B627E6.DE7F7D43-0568-E811-8119-005056B627E6.0,M00049832-I1-EL,14.0,,0,Floor Number(s),0,,0.0
010745B3-030D-E911-811C-005056B627E4.0.0,B00113302-I1-EL,,,0,,0,,0.0
00ED446D-ED44-E811-8117-005056B627E4.FFEC446D-ED44-E811-8117-005056B627E4.0,M00037236-I1-EL,7.0,,0,Floor Number(s),0,,0.0
006E1696-565D-E911-8120-005056B627E6.0.0,Q00154457-I1-EL,,,0,,0,,0.0
000FE78B-5164-E811-8119-005056B627E4.0.0,M00048916-I1-EL,,,0,,0,,0.0
01027011-A116-E811-8117-005056B627E4.0.0,M00021133-I1-EL,,,0,,0,,0.0
00A6347E-0D45-E911-8120-005056B627E4.0.0,B00140882-I1-EL,,,0,,0,,0.0
01176498-4302-E911-811C-005056B627E4.00176498-4302-E911-811C-005056B627E4.0,S00111165-I1-EL,2.0,,0,Floor Number(s),0,,0.0
006A58EA-56E8-E811-811A-005056B627E6.0.0,X00099962-I1-EL,,,0,,0,,0.0
0091011B-0D52-E911-8120-005056B627E4.FF90011B-0D52-E911-8120-005056B627E4.0,Q00148178-I1-EL,,,0,Sub-Cellar #2,0,,0.0
00F962A4-580B-E811-8117-005056B627E4.0.0,M00017097-I1-EL,,,0,,0,,0.0
00FC7EA4-C194-E811-8119-005056B627E6.0.0,X00066440-I1-EL,,,0,,0,,0.0
00086258-6E46-E911-8120-005056B627E4.0.0,B00006279-P2,,,0,,0,,0.0
00C4AABE-8D55-E911-8120-005056B627E4.FFC3AABE-8D55-E911-8120-005056B627E4.0,M00149313-I1-EL,1.0,,0,Floor Number(s),2,,0.0
003D98CE-2B2E-E911-811E-005056B627E6.0.0,M00129674-I1-EL,,,0,,0,,0.0
0027432C-F231-E811-8117-005056B627E4.0.0,S00030450-I1-EL,,,0,,0,,0.0
0100691A-79BB-E811-811A-005056B627E6.0.0,X00080477-I1-EL,,,0,,0,,0.0
00F63F75-1201-E811-8116-005056B627E6.0.0,S00013685-I1-EL,,,0,,0,,0.0
013ACB35-B7FB-E711-8116-005056B627E6.0.0,Q00011903-I1-EL,,,0,,0,,0.0
000F544E-A0FF-E811-811C-005056B627E4.FF0E544E-A0FF-E811-811C-005056B627E4.0,M00110249-I1-EL,20.0,,0,Floor Number(s),0,,0.0
012BC4C4-C0A0-E811-811B-005056B627E4.0.0,X00071214-I1-EL,,,0,,0,,0.0
005AB596-3934-E811-8117-005056B627E4.0.0,Q00031510-I1-EL,,,0,,0,,0.0
009ECB8A-6F49-E811-8117-005056B627E4.0.0,X00038684-I1-EL,,,0,,0,,0.0
0017299E-3F17-E811-8117-005056B627E4.190FF191-3F17-E811-8117-005056B627E4.0,B00021428-I1-EL,3.0,,0,Floor Number(s),0,,0.0
011C487D-E341-E911-811F-005056B627E6.0.0,Q00139707-I1-EL,,,0,,0,,0.0
0010DA2B-5921-E811-8117-005056B627E4.690C9775-5721-E811-8117-005056B627E4.0,Q00023122-S1-EL,,,0,Basement,0,,0.0
00683452-2EFE-E811-811B-005056B627E4.0.0,Q00109399-I1-EL,,,0,,0,,0.0
00B19FB8-2294-E811-8119-005056B627E6.0.0,M00066228-I1-EL,,,0,,0,,0.0
008D27F6-0B5A-E911-8120-005056B627E6.F78C27F6-0B5A-E911-8120-005056B627E6.0,M00151878-I1-EL,6.0,,0,Floor Number(s),0,,0.0
0022955F-B9E1-E711-8116-005056B627E6.0.0,X00005975-I1-EL,,,0,,0,,0.0
00C19EAC-F153-E911-8120-005056B627E4.FFC09EAC-F153-E911-8120-005056B627E4.0,Q00148726-I1-EL,,,0,Basement,0,,0.0
0095562C-3BC7-E811-811B-005056B627E4.D77CDDDF-3AC7-E811-811B-005056B627E4.0,Q00084789-I1-EL,1.0,,0,Floor Number(s),0,,0.0
007E1374-7C21-E811-8117-005056B627E4.91BCA85D-7C21-E811-8117-005056B627E4.0,Q00024949-I1-EL,,,0,Basement,0,,0.0
00A989F5-81A0-E811-811B-005056B627E4.0.0,B00070958-I1-EL,,,0,,0,,0.0
00C09DF4-D2F7-E811-811B-005056B627E4.0.0,M00057830-P2,,,0,,0,,0.0
009000AC-5D7A-E811-811A-005056B627E4.0.0,B00057237-I1-EL,,,0,,0,,0.0
005765AE-5D22-E811-8117-005056B627E4.3A934D7E-5D22-E811-8117-005056B627E4.0,M00010953-P1,,,0,Ground Floor,0,,0.0
0083AC4F-B9CC-E811-811B-005056B627E4.0.0,M00086802-I1-EL,,,0,,0,,0.0
006B5383-4B79-E811-811A-005056B627E4.0.0,M00056524-I1-EL,,,0,,0,,0.0
00D10360-6CEF-E811-811A-005056B627E6.0.0,M00102760-I1-EL,,,0,,0,,0.0
00C1381B-DC17-E811-8117-005056B627E4.0.0,B00021609-I1-EL,,,0,,0,,0.0
012BF73A-F319-E911-811D-8CFAEDA547D3.002BF73A-F319-E911-811D-8CFAEDA547D3.0,X00120385-I1-EL,1.0,,0,Floor Number(s),0,,0.0
0064AD01-0440-E911-811F-005056B627E6.0.0,B00020834-P1,,,0,,0,,0.0
00D611FC-252A-E811-8117-005056B627E4.FFD511FC-252A-E811-8117-005056B627E4.0,B00022415-P1,,,0,Penthouse,0,,0.0
00DA28AE-D999-E811-811B-005056B627E4.0.0,B00068348-I1-EL,,,0,,0,,0.0
0136A99B-180A-E911-811C-005056B627E4.0.0,B00113984-I1-EL,,,0,,0,,0.0
00326752-AA46-E911-8120-005056B627E4.FD316752-AA46-E911-8120-005056B627E4.0,B00020421-P1,,,0,Basement,0,,0.0
00C560A4-0F70-E811-811A-005056B627E4.0.0,M00053493-I1-EL,,,0,,0,,0.0
012D7088-0D38-E811-8117-005056B627E4.05CB7F09-0D38-E811-8117-005056B627E4.0,Q00019152-P1,1.0,,0,Stairwells,0,,0.0
00445FC8-8D51-E911-8120-005056B627E4.493EB9EA-8B51-E911-8120-005056B627E4.0,M00147948-I1-EL,5.0,,0,Floor Number(s),0,,0.0
004217AF-862B-E811-8117-005056B627E4.FF4117AF-862B-E811-8117-005056B627E4.0,M00028231-I1-EL,2.0,,0,Floor Number(s),0,,0.0
