citywide,police_department,miscellaneous,department_of_emergency,department_of_parks_and,civilian_complaint_review,department_of_veterans,board_of_elections,district_attorney_bronx_county,financial_information_services,nyc_taxi_and_limousine,department_of_probation,administration_for_child,department_of_health_and
2349857,0,0,9615,0,0,0,0,$0,0,0,0,0,499464
2743726,25338,0,7488,0,0,0,0,$0,0,0,0,0,96310
8395286,8199000,0,473,0,0,0,0,$0,0,0,0,0,0
452620,0,0,0,0,0,0,0,$0,0,0,0,0,10785
162850,19995,0,0,0,0,0,0,$0,0,0,0,0,0
27541473,0,0,0,0,0,0,0,$0,0,0,0,0,9296855
728512,0,0,25173,0,0,0,0,"$10,116",0,0,0,0,53429
355131,0,0,1908,0,0,0,0,$0,0,0,0,0,340823
59637132,0,0,418228,0,0,0,0,$0,0,0,0,0,5000097
2315687,0,0,0,0,0,0,0,$0,0,0,0,316976,59203
11710764,0,0,0,0,0,0,0,$0,0,0,0,0,1200
3623186,0,0,0,0,0,0,0,$0,0,0,0,0,111821
291894,130944,0,0,0,0,0,0,$0,0,0,0,0,0
6497730,0,0,0,0,0,0,0,$0,0,0,1630,0,36718
51469,0,0,541,50928,0,0,0,$0,0,0,0,0,0
29785377,0,0,29414000,0,0,0,0,$0,0,0,0,110329,177466
90425,0,0,0,0,0,0,0,$0,0,0,0,0,3176
1642590,990,0,0,1636000,0,0,0,$0,0,0,0,0,0
14073535,0,0,13000000,0,0,0,0,$0,0,0,0,0,12609
131862629,38601,0,3000000,0,0,0,0,$0,0,0,0,0,103455069
5038478,0,0,0,0,0,0,0,$0,0,0,0,0,2153
531073,0,0,0,0,0,0,0,$0,0,0,0,0,25870
18230609,0,0,0,0,0,0,0,$0,0,0,0,0,110454
193664,12291,0,0,0,0,0,0,$0,0,0,0,0,670
29552364,0,0,0,0,0,0,0,$0,0,0,0,0,840000
527208,0,0,29966,0,0,0,0,$0,0,0,0,0,0
511182,0,0,0,0,0,0,0,$0,0,0,0,404446,60232
34854535,20000,0,0,0,0,0,0,$0,0,0,0,0,0
2297520,0,0,0,3923,0,0,0,$0,0,0,0,0,0
500879,0,0,481856,0,0,0,0,$0,0,0,0,0,19023
4062312,3880305,0,0,2260,0,0,0,$0,0,0,0,0,0
6796189,0,0,42900,50928,0,0,0,$0,0,1090,0,0,0
149625,0,0,0,0,0,0,0,$0,0,0,0,0,0
12128,0,0,0,0,0,0,0,$0,0,0,0,0,0
24793373,0,0,0,0,0,0,0,$0,0,0,0,0,68426
24031,0,0,188,0,0,0,0,$0,0,0,0,0,3995
8868572,0,0,8319156,0,0,0,0,$0,0,0,0,0,110959
16578786,0,0,0,0,0,0,0,$0,0,0,0,0,1103482
33150,0,0,33150,0,0,0,0,$0,0,0,0,0,0
7918453,0,0,2427332,0,0,0,0,$0,0,0,0,0,28823
7418,0,0,0,0,0,0,0,$0,0,0,0,0,0
9261691,0,0,3358,0,0,0,0,$0,0,0,0,0,7971895
124816,0,120536,733,0,0,0,0,$0,0,0,0,0,0
145720,0,0,0,0,0,0,0,$0,0,0,0,0,60899
1612942,0,0,687,0,0,0,0,$0,0,0,13750,0,0
1170,0,0,0,0,0,0,0,$0,0,0,0,0,0
515434,0,0,0,0,0,0,0,$0,0,0,0,0,317125
3323485,13070,0,0,0,0,0,0,$0,0,0,0,0,231826
3607264,0,0,0,0,0,0,0,$0,0,0,0,0,3073891
49012095,2044403,0,0,10462,0,0,0,$0,0,0,0,0,2099
899325,0,0,9857,0,0,0,15750,$0,0,16121,0,0,508279
2234956,0,0,51867,0,0,0,0,$0,0,0,0,691498,48371
107276536,0,0,0,0,0,0,0,$0,0,0,0,0,1300562
737249,0,0,0,0,0,0,0,$0,0,0,0,0,0
43450829,0,0,147810,0,0,0,0,$0,0,0,0,0,8323672
395199,0,0,0,0,0,0,0,$0,0,0,0,0,386400
3677295,0,0,1996,0,0,0,0,$0,0,0,0,0,227
2979490,0,0,1570,0,0,0,0,$0,0,0,0,0,0
562002,990,0,225,0,0,0,0,$0,0,0,0,0,44713
6685095,0,0,0,0,0,0,0,$0,0,0,0,0,159911
6622167,0,0,3000000,0,0,0,0,$0,0,0,0,0,0
1247116,0,0,0,0,0,0,0,$0,0,0,0,0,53250
7696941,0,0,0,0,0,0,0,$0,0,0,15100,0,2235
11006677,0,0,466363,0,0,0,0,$0,0,0,0,0,2679
213913,0,0,0,9198,0,0,0,$0,0,0,0,0,101840
6037831,0,0,1674938,0,0,0,0,$0,0,0,0,0,26091
12054681,58504,0,1365894,0,0,0,0,$0,0,0,0,0,20342
1428993,0,320000,0,0,0,0,0,$0,0,0,0,0,52800
86238,0,0,0,0,0,0,0,$0,0,0,0,0,67638
133762,0,0,0,0,0,0,0,$0,0,0,0,0,0
2114463,0,0,0,0,0,0,0,$0,0,0,0,0,813731
404667144,832,453513,26650211,357464,576703,0,361756,$0,0,27288,51750,610000,5064937
517273,0,0,0,0,0,0,0,$0,0,0,0,0,59129
433970,0,0,0,0,0,0,0,$0,0,0,0,0,18240
3371618,0,0,3312646,0,0,0,0,$0,0,0,0,0,0
5122943,0,0,558,0,0,0,0,$0,0,40000,13732,0,6703
3480196,0,0,0,0,0,0,100000,$0,0,0,0,0,2880653
1897892,73628,0,137842,0,0,0,0,$0,0,0,0,0,1393859
69889,0,0,8012,0,0,0,0,$0,0,0,0,0,54584
5370562,1618,0,0,1830,0,0,0,$0,0,0,0,0,25444
390062,0,0,6863,0,0,0,0,$0,0,0,0,0,0
6591,0,0,0,6591,0,0,0,$0,0,0,0,0,0
160249,0,0,0,0,0,0,0,$0,0,0,0,0,20350
745376,0,0,316104,0,0,0,0,$0,0,0,0,0,24452
161731,0,0,64880,0,0,0,0,$0,0,0,0,0,3739
1452239,0,0,1394646,0,0,0,0,$0,0,0,0,0,29790
232641,0,0,0,0,0,0,0,$0,0,0,0,0,3277
30359150,0,0,0,0,0,0,520000,$0,0,0,0,0,127793
32127,0,0,0,0,0,0,0,$0,0,0,0,0,0
1438858,9931,0,0,0,0,0,0,$0,0,0,0,0,706900
1235,0,0,0,0,0,0,0,$0,0,0,0,0,0
7781742,0,0,0,0,0,0,0,$0,0,0,0,0,19650
926496,67091,0,20607,24673,0,0,0,$0,0,0,0,0,1662
6427306,0,0,3843922,0,0,0,0,$0,0,32000,0,19947,2531091
509084,0,0,0,0,0,0,0,$0,0,0,0,0,25434
860637,0,0,0,0,0,0,371294,$0,0,40000,0,0,13837
93288372,0,0,92199407,0,0,0,0,$0,0,40000,0,0,26457
574669,0,0,0,0,0,0,0,$0,0,0,0,0,0
14046397,0,0,0,0,0,0,0,$0,0,0,0,0,2287017
464597,0,0,0,0,0,0,0,$0,0,0,0,0,3146
49473522,0,0,0,0,0,0,0,$0,0,0,0,0,22713091
1078461,0,0,0,0,0,0,0,$0,0,0,0,0,0
2062160,0,0,1244500,0,0,0,0,$0,0,0,0,0,0
319740,19365,0,0,0,0,0,0,$0,0,0,0,0,0
2532920,0,0,0,0,0,0,0,$0,0,0,0,0,2492971
1488228,0,0,0,23550,0,0,0,$0,0,0,0,84800,4679
2564295,1350,2391342,0,0,0,0,0,$0,0,0,0,0,19898
10515,0,0,0,0,0,0,0,$0,0,0,0,0,0
8988428,6570,0,166910,0,0,0,0,$0,0,0,0,0,20428
126146674,0,0,75011942,0,0,0,0,$0,0,0,0,0,31134329
31061,0,0,0,0,0,0,0,$0,0,0,0,0,0
1131655,38533,0,0,19950,0,0,0,$0,0,0,0,0,3331
7135,0,0,0,0,0,0,0,$0,0,0,0,0,0
4022065,20000,0,0,8809,0,0,0,$0,0,0,0,0,308159
3722008,0,0,2300,0,0,0,0,$0,0,0,0,0,0
791330,0,0,558,0,0,0,0,$0,0,0,0,0,247197
4677550,19839,0,752160,0,0,0,0,"$10,188",0,0,0,0,2939504
8086495,0,0,0,0,0,0,0,$0,0,14500,0,0,300000
857391,9800,0,1000,0,0,0,0,$0,0,0,0,0,0
40042386,0,0,2429,0,0,0,0,$0,0,0,0,0,686651
