bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
0,2,995,browser,995,995,0,0,995,995,997,995,995,995,995,995,995,1,995,995,0,995,995,0,0,995,995,907.8447316,995
995,2,995,rmove,995,995,995,2,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,2,995,995,995,707.1834569,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,400.697716,995
0,2,0,browser,995,1,1,3,995,995,7,995,995,1,995,1,995,1,995,0,0,995,0,3,0,995,995,598.7626897,995
0,2,995,browser,995,995,0,1,995,995,6,995,0,995,995,995,0,1,995,995,0,995,995,1,0,995,995,111.8878414,995
0,1,995,browser,995,995,0,1,995,995,6,995,1,995,995,995,1,1,995,995,0,995,995,1,0,995,995,7626.036979,995
995,2,995,rmove,995,995,995,1,995,995,1,995,0,995,995,995,0,9,995,995,995,995,995,1,995,995,995,947.5813586,995
1,2,995,rmove,995,995,0,0,995,995,3,995,995,995,995,995,995,9,995,995,0,995,995,0,1,995,995,1513.372001,995
995,999,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,3076.956755,995
0,999,1,rmove,1,995,0,1,995,995,6,995,1,995,995,995,0,9,995,0,0,995,0,1,0,995,995,1409.450809,995
995,2,995,rmove,995,995,995,2,995,995,6,995,995,995,995,995,995,9,995,995,995,995,995,2,995,995,995,4391.876203,995
995,2,995,call,995,995,995,0,995,995,997,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,1229.999453,995
995,2,995,rmove,995,995,995,1,995,995,2,995,0,995,995,995,0,3,995,995,995,995,995,1,995,995,995,180.6864979,995
995,2,995,browser,995,1,995,2,995,995,1,995,995,1,995,0,995,1,995,995,995,995,995,2,995,995,995,201.1396716,995
995,1,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,198.9137614,995
