hh_id,no_travel_6,no_travel_9,delivery_9,begin_day,delivery_8,no_travel_1,delivery_5,delivery_4,telecommute_time,no_travel_11,delivery_6,person_num,no_travel_12,svnday_weight
22007030,995,995,0,1,0,995,0,0,495,995,0,1,995,0.0
22003665,995,995,0,3,0,995,0,0,600,995,0,1,995,0.0
22010388,995,995,0,1,0,995,0,1,0,995,0,1,995,250.2648233
22004847,995,995,0,3,0,995,0,0,0,995,0,1,995,29.52172617
22001830,995,995,0,1,0,995,0,0,360,995,0,1,995,483.0906868
22010306,995,995,0,2,0,995,0,0,0,995,0,1,995,70.66141965
22005260,995,995,0,1,0,995,0,0,995,995,0,1,995,91.12227626
22005648,995,995,0,3,0,995,0,0,495,995,0,1,995,221.1105839
22014869,995,995,0,1,0,995,0,0,995,995,0,1,995,29.56160709
22000768,995,995,0,3,0,995,0,0,0,995,0,1,995,40.75220286
22002570,995,995,0,1,0,995,1,0,0,995,0,1,995,93.15359006
22008079,995,995,0,1,0,995,0,1,995,995,0,1,995,30.165919
22008937,995,995,0,1,0,995,0,0,995,995,0,1,995,356.9466539
22005260,995,995,0,1,0,995,1,0,995,995,0,1,995,91.12227626
22013397,995,995,0,1,0,995,0,0,0,995,0,1,995,41.50038789
22005359,995,995,0,1,0,995,0,0,0,995,0,1,995,118.9810118
22007831,995,995,0,1,0,995,1,0,600,995,0,1,995,25.3187957
22005666,995,995,0,1,0,995,0,0,0,995,0,1,995,25.30162509
22012845,0,0,0,1,0,0,0,1,995,0,0,1,0,33.76099495
22008778,995,995,0,1,0,995,0,0,0,995,0,1,995,94.6933371
22006539,995,995,0,1,0,995,0,1,75,995,0,1,995,44.40256741
22006063,995,995,0,1,0,995,0,0,995,995,0,1,995,29.48737234
22004526,995,995,0,1,0,995,0,1,995,995,0,1,995,104.9055811
22003649,995,995,0,1,0,995,1,0,0,995,0,1,995,45.65262595
22003058,995,995,0,1,0,995,1,0,0,995,0,1,995,0.0
22003464,995,995,0,1,0,995,0,0,0,995,1,1,995,148.9622722
22002287,995,995,0,1,0,995,0,0,600,995,0,1,995,33.95528085
22007429,0,0,0,1,0,0,0,1,300,0,0,1,0,186.832622
22004389,995,995,0,1,0,995,0,0,0,995,0,1,995,285.451423
22013448,995,995,1,1,0,995,1,0,300,995,0,1,995,87.91504772
22003785,995,995,0,3,0,995,0,0,420,995,0,1,995,79.65378733
22001223,995,995,0,1,0,995,0,0,995,995,0,1,995,29.03863386
22014064,995,995,0,1,0,995,0,0,105,995,0,1,995,0.0
22000768,995,995,0,3,0,995,1,0,0,995,0,1,995,40.75220286
