gispropnum,objectid,omppropid,communityb,jurisdicti,permitdist,signname,location
B202,5783,B202,301,DPR,B-01,Lithuania Square,"Stagg St., Hewes St., Union Ave."
B376,5384,B376,317,DPR,B-17,Fidler-Wyckoff House Park,"E. 59 St.,Ditmas Ave., Clarendon Rd., Ralph Ave."
X299,4731,X299,203,DPR,X-03,Little Claremont Playground,Claremont Pkwy bet. Park Av and Washington Av
Q439,4954,Q439,403,DPR,Q-03,Private William Gray Playground,98 St. bet. Northern Blvd. and 32 Ave.
M034,5682,M034,110,DPR,M-10,Hancock Park,"St Nicholas Av, Manhattan Av, W 123 St"
Q488,5935,Q488,412,DPR,Q-12,George Eagle Carr Community Garden,148 St. bet. 89 Ave. and 90 Ave.
B223NC,5785,B223NC,301,DPR/CDOT,B-01,Penn Triangle,"Penn St., Wythe Ave., Williamsburg St. E."
Q021B,5320,Q021B,408,DPR,Q-08,McLaughlin Playground,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.
B221,6143,B221,302,DPR,B-02,Steuben Playground,"Flushing Ave., Steuben St., Williamsburg Pl."
M033,5567,M033,103,DPR,M-03,Hamilton Fish Park,"E Houston St, Stanton St, Sheriff St, Pitt St"
B082,6037,B082,310,DPR/CDOT,B-10,Shore Park and Parkway,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge"
M339,5977,M339,103,DPR,M-03,El Sol Brilliante Jr,E. 12 St. bet. Ave. A and Ave. B
B292,5158,B292,302,DPR,B-02,Pratt Playground,Willoughby Ave. between Stuben St. and Emerson Pl.
X081,5690,X081,204,DPR,X-04,Mount Eden Malls,Mount Eden Pkwy bet. Weeks Av and Walton Av
Q116,5885,Q116,403,DPR,Q-03,One Room Schoolhouse Park,Astoria Blvd. bet. 90 St. and 89 St.
B582,21498,B582,302,DPR,,Brooklyn's Finest Garden,Lefferts Pl. bet. Grand Ave. and St. James Pl.
B003,5797,B003,355,DPR,B-19,Bartel-Pritchard Square,"Prospect Park W., 15 St."
B371,6443,B371,305,DPR,B-05,Spring Creek Park,"Shore Pkwy and Seaview Ave., Schenk Ave."
X148F4,5657,X148F4,"203, 206",DPR,X-06,Park,Cross Bronx Exwy bet. Webster Av and Park Av
Q300A,69212,Q300A,"408, 411",DPR,Q-08,Kissena Corridor Park,"Underhill Ave., Peck Ave., 199 St. bet. Fresh Meadow La. and Francis Lewis Blvd., Union Tpke."
Q031,5491,Q031,402,DPR,Q-02,Lawrence Virgilio Playground,"52 St., Woodside Ave. bet. 39 Rd. and 39 Dr."
M349,5006,M349,110,DPR,M-10,New 123rd St Block Association Garden,W. 123 St. bet. Lenox Ave. and Adam C Powell Blvd.
B066,6027,B066,310,DPR,B-10,Owl's Head Park,"Shore Rd., 68 St., Colonial Rd."
M408,13489,M408,103,DPR,,Siempre Verde Garden,"Attorney St., Stanton St."
B184,5792,B184,315,DPR,B-15,Avenue R Mall,Ave. R from E. 7 St. To Coney Island Ave.
Q340,5446,Q340,402,DPR,Q-02,Torsney Playground,Skillman Ave. bet. 41 St. and 43 St.
B363,5203,B363,316,DPR/DOE,B-16,Houston Playground,Glenmore Ave. between Powell St. and Sackman St.
Q254,6188,Q254,401,DPR,Q-01,Corporal Frank F. Fagan Sq.,"48 St., Newtown Rd., Broadway"
X195D,5619,X195D,209,DPR,X-09,Park,North and South of the Bruckner Expressway at Puglsey Av
X087,5541,X087,211,DPR,X-11,Zimmerman Playground,Britton St. bet. Olinville Ave. and Barker Ave.
B210B,5465,B210B,307,DPR,B-07,D'Emic Playground,3 Ave. bet. 35 St. and 34 St.
B210H,5068,B210H,306,DPR,B-06,Harold Ickes Playground,Hamitlon Ave. ber. Van Brunt St. and Woodull St.
B517,5293,B517,316,DPR,B-16,"Saratoga Square Urban Renewal Area, Sit*","Somers St., Rockaway Ave. and Fulton St."
B434,5239,B434,315,DPR,B-15,Old Gravesend Cemetery,Van Sicklen St. to McDonald Ave. between Village Rd. and Gravesend Neck Rd.
B223H,5111,B223H,302,DPR,B-02,Harry Chapin Playground,Columbia Hts. at Middagh St.
X153,5749,X153,204,DPR,X-04,Merriam Playground,W. 168 St. bet. Dr. MLK Jr. Blvd. and Merriam Ave.
B166E,6068,B166E,315,DPR,B-15,Sixteen Lindens Triangle,"E. 16 St., Shore Pkwy., Bay Ct."
X354,6428,X354,201,DPR/DOE,X-01,P.S. 29 Ballfield,E 157 St bet. Melrose Ave and Cortlandt Ave
B261,4850,B261,305,DPR,B-05,Sankofa Park,Livonia Ave. between Barbey St. and Schenck Ave.
B223IB,5809,B223IB,302,DPR,B-02,Bar and Grill Park,"York St., through BQE bet. Adams St. and Pearl St."
B44,5246,B443,305,DPR,B-05,Atkins Gardeners,Atkins Ave. between Belmont Ave. and Pitkin Ave.
X064,5628,X064,202,DPR,X-02,Bryant Triangle,"Bryant Ave., Westchester Ave., Longfellow Ave."
X112,6661,X112,203,DPR,X-03,Hilton White Playground,Cauldwell Ave bet. E. 161 St  and E. 163 St.
R170,24295,R170,501,DPR,,Stapleton Esplanade,Front St. bet. Wave St. and Canal St.
M212,5851,M212,101,DPR,M-01,The Queen Elizabeth II September 11th Garden,"Hanover Sq., Pearl St. and Stone St."
B380,5208,B380,305,DPR,B-05,Robert E. Venable Park,"Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave."
R166,5984,R166,502,DPR,R-02,Manor Park,Manor Rd. and Rockland Ave.
R142,6578,R142,501,DPR,R-01,Mariners Marsh Park,Richmond Terrace bet. Catherine Pl. and Holland Ave.
Q100A,6160,Q100A,407,DPR,Q-07,Daniel Carter Beard Mall,Northern Blvd. bet.  Main St. and Linden Pl.
B024,5939,B024,301,DPR,B-01,Orient Grove,Metropolitan Ave. and Orient Ave.
X302,4759,X302,206,DPR,X-06,Thorpe Family Playground,E 183 St bet. Park Av and Webster Av
X276,5605,X276,201,DPR,X-01,Granja Farm OTF,Westchester Av bet. St Ann's Av and Eagle Ave
B223A,5106,B223A,306,DPR,B-06,Dimattina Playground,"Rapelye St., Hicks St., Coles St."
Q094,6170,Q094,410,DPR,Q-10,Tudor Park,"N. Conduit Ave., 133 Ave. bet. 80 St. and 88 St."
M342,4999,M342,103,DPR,M-03,Community Garden Association,Ave. B bet. E. 12 St. and E. 13 St.
Q068,5880,Q068,404,DPR,Q-04,Triangle 90,"Elmhurst Ave., Roosevelt Ave., 90 St., Case St."
M265,6405,M265,106,DPR/TBTA,M-06,Vincent F. Albano Jr. Playground,2 Ave. bet. E. 29 St. and E. 30 St.
Q326,5317,Q326,407,DPR,Q-07,Bland Playground,40 Rd. bet. Prince St. and Main St.
X141,5414,X141,212,DPR/DOE,X-12,Rienzi Playground,E. 226 St. bet. White Plains Rd. and Barnes Ave.
M059,4743,M059,106,DPR,M-06,Murphy Brothers Playground,"Ave. C, FDR Dr., E. 17 St."
B041,5526,B041,308,DPR,B-08,Grant Gore,"Bedford Ave., Rodgers Ave., Bergen St."
Q096E,6158,Q096E,410,DPR,Q-10,Lefferts Playground,N. Conduit Ave. bet. Lefferts Blvd. and 122 St.
B097,6044,B097,318,DPR,B-18,Sledge Playground,E. 95 St. bet. Ave. L and Ave. K
X195F,6246,X195F,209,DPR,X-10,Park,Bruckner Exwy. bet. Zerega Ave. and the Hutchinson River Pkwy.
B382A,5210,B382A,301,DPR,B-01,Roberto Clemente Ballfield,Division Ave. between Wythe Ave. and Kent Ave.
B139,5811,B139,304,DPR,B-04,Heckscher Playground,Linden St. bet. Central Ave. and Wilson Ave.
M405,13486,M405,110,DPR,,Electric Ladybug Garden,W 111 St. bet. Fredrick Douglass Blvd. and Adam C. Powell Blvd.
M160,5818,M160,110,DPR,M-10,Fred Samuel Playground,"Lenox Ave., W. 139 St. To W. 140 St."
X122,5621,X122,210,DPR,X-10,Colucci Playground,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.
X170,5529,X170,210,DPR,X-10,The Pearly Gates,St. Peter's Ave. at Tratman Ave.
R102,6086,R102,503,DPR,R-03,Park,W/s Drumgoole Rd. W. bet. Belfield Ave. and Jefferson Blvd.
Q066H,5877,Q066H,401,DPR/TBTA,Q-01,Chappetto Square,Hoyt Ave. bet. 21 St. and 23 St.
M090,4702,M090,110,DPR,M-10,Lafayette Square,"Manhattan Av, W 114 St, Morningside Av"
M062,6554,M062,105,DPR,M-13,Grand Army Plaza,"5 Av, W 58 St To W 59 St"
B295,5160,B295,302,DPR/DOE,B-02,Oxport Playground,Flushing Ave. between N. Portland Ave. and N. Oxford St.
B473,5265,B473,303,DPR,B-03,Hancock T and T,Hancock St. between Tompkins Ave. and Throop Ave.
