omppropid,subcategor,mapped,url,name311,precinct
B443,Greenthumb,False,http://www.nycgovparks.org/parks/B443/,Atkins Gardeners,75.0
M033,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M033/,Hamilton Fish Park,7.0
Q512,,False,,Garden,113.0
Q464,Large Park,False,http://www.nycgovparks.org/parks/Q464/,Brant Point Wildlife Sanctuary,100.0
B533,Greenthumb,False,http://www.nycgovparks.org/parks/B533/,Abib Newborn Garden,73.0
M406,,False,,Henry Garnet Garden,
R088,Flagship Park,True,http://www.nycgovparks.org/parks/R088/,High Rock Park,122.0
R132,Undeveloped,False,http://www.nycgovparks.org/parks/R132/,Bunker Ponds Park,123.0
B431,Large Park,False,http://www.nycgovparks.org/parks/B431/,Brooklyn Bridge Park,84.0
X296,To Be Determined,False,http://www.nycgovparks.org/parks/X296/,Taqwa Community Farm,44.0
B278,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B278/,Sam Leggio Triangle,75.0
X064,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X064/,Bryant Triangle,41.0
B385,Neighborhood Park,False,http://www.nycgovparks.org/parks/B385/,WNYC Transmitter Park,94.0
Q066H,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/Q066H/,Chappetto Square,114.0
Q340,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/Q340/,Torsney Playground,108.0
B223R,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B223R/,Jaime Campiz Playground,90.0
X096,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X096/,Rita Ley Triangle,47.0
Q100A,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/Q100A/,Daniel Carter Beard Mall,109.0
M130,,False,http://www.nycgovparks.org/parks/M130/,Recreation Center 54,17.0
X154,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X154/,Melrose Playground,40.0
M344,Greenthumb,False,http://www.nycgovparks.org/parks/M344/,Humacao Community Garden,23.0
Q400,JOP,False,http://www.nycgovparks.org/parks/Q400/,Oakland Gardens,111.0
M042,Large Park,True,http://www.nycgovparks.org/parks/M042/,Inwood Hill Park,34.0
M122,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M122/,Captain Jacob Joseph Playground,7.0
B367,Neighborhood Park,False,http://www.nycgovparks.org/parks/B367/,Livonia Park,73.0
M069,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M069/,Vesuvio Playground,1.0
X142,Large Park,Part,http://www.nycgovparks.org/parks/X142/,Riverdale Park,50.0
B058,Large Park,True,http://www.nycgovparks.org/parks/B058/,McCarren Park,94.0
B223DB,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B223DB/,Brooklyn Heights Promenade,84.0
B202,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/B202/,Lithuania Square,90.0
B246,JOP,False,http://www.nycgovparks.org/parks/B246/,Jerome Playground,75.0
B111A,JOP,False,http://www.nycgovparks.org/parks/B111A/,Washington Park,78.0
M361,Greenthumb,False,http://www.nycgovparks.org/parks/M361/,Lower East Side Ecology Center,9.0
B223IB,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/B223IB/,Bar and Grill Park,84.0
M059,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/M059/,Murphy Brothers Playground,13.0
X148F4,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/X148F4/,Park,42.0
M323,Greenthumb,False,http://www.nycgovparks.org/parks/M323/,Diamante Garden,25.0
B245,Large Park,True,http://www.nycgovparks.org/parks/B245/,St. John's Park,77.0
B324,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B324/,Jacob Joffe Fields,63.0
B371,REDEC,True,http://www.nycgovparks.org/parks/B371/,Spring Creek Park,75.0
B297,JOP,True,http://www.nycgovparks.org/parks/B297/,Albemarle Playground,66.0
B582,,,,Garden,
B261,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B261/,Sankofa Park,75.0
Q262,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/Q262/,Alameda Malls,111.0
X299,Neighborhood Plgd,False,http://www.nycgovparks.org/parks/X299/,Little Claremont Playground,42.0
X141,JOP,False,http://www.nycgovparks.org/parks/X141/,Rienzi Playground,47.0
M103,,False,http://www.nycgovparks.org/parks/M103/,Tony Dapolito Recreation Center,6.0
M212,Sitting Area/Triangle/Mall,True,http://www.nycgovparks.org/parks/M212/,The Queen Elizabeth II September 11th Garden,1.0
X331,Greenthumb,False,http://www.nycgovparks.org/parks/X331/,Townsend Garden,46.0
Q096,EXWY,True,http://www.nycgovparks.org/parks/Q096/,Belt Parkway,106.0
B166D,Large Park,True,http://www.nycgovparks.org/parks/B166D/,McGuire Fields,63.0
M384,,False,http://www.nycgovparks.org/parks/M384/,Pueble Unido Garden,23.0
B350,JOP,False,http://www.nycgovparks.org/parks/B350/,Stroud Playground,77.0
X082,Sitting Area/Triangle/Mall,False,http://www.nycgovparks.org/parks/X082/,University Malls,46.0
X040,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/X040/,Poe Park,52.0
M257,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/M257/,Clement Clarke Moore Park,10.0
X294,Undeveloped,False,http://www.nycgovparks.org/parks/X294/,Palmer Inlet,45.0
B531,Greenthumb,False,http://www.nycgovparks.org/parks/B531/,Garden of Plenty,81.0
Q389,JOP,False,http://www.nycgovparks.org/parks/Q389/,Bayside Playground,100.0
M382,,False,http://www.nycgovparks.org/parks/M382/,110th Street Block Association Garden,23.0
B509,,False,http://www.nycgovparks.org/parks/B509/,Poppa and Momma Jones Historical Garden,75.0
X236,JOP,False,http://www.nycgovparks.org/parks/X236/,Mapes Pool,48.0
B309,Neighborhood Plgd,True,http://www.nycgovparks.org/parks/B309/,Pink Playground,75.0
B441,Greenthumb,False,http://www.nycgovparks.org/parks/B441/,American Heart,79.0
