comparable_rental_1_total_units,comparable_rental_2_est_gross_income,bbl,staten_island_condominium_property_boro_block_lot,comparable_rental_1_gross_sqft,comparable_rental_2_total_units
56,,5024517501,5-02451-7501,43200,
98,,5024527501,5-02452-7501,74260,
156,,5024507509,5-02450-7509,154860,
224,3259550.0,5024007501,5-02400-7501,222300,381.0
150,,5005797501,5-00579-7501,143419,
