property_id,property_name,nyc_building_identification_number_bin,office_worker_density_number_per_1_000_sq_ft,postcode,largest_property_use_type_gross_floor_area_ft,retail_store_gross_floor_area_ft,weather_normalized_site_natural_gas_intensity_therms_ft,food_sales_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,borough,hospital_general_medical_surgical_gross_floor_area_ft,financial_office_weekly_operating_hours,estimated_data_flag_municipally_supplied_potable_water_mixed_indoor_outdoor_use,alert_energy_meter_has_less_than_12_full_calendar_months_of_data,energy_star_certification_last_approval_date,estimated_values_water,annual_maximum_demand_mm_yyyy,movie_theater_gross_floor_area_ft,_2nd_largest_property_use_gross_floor_area_ft,percent_of_total_electricity_generated_from_onsite_renewable_systems,census_tract,energy_star_certification_year_s_certified_score,avoided_emissions_onsite_and_offsite_green_power_metric_tons_co2e,office_number_of_computers,indirect_ghg_emissions_intensity_kgco2e_ft,target_energy_star_score,number_of_buildings,largest_property_use_type,property_gfa_calculated_buildings_and_parking_ft,fuel_oil_2_use_kbtu,hospital_general_medical_surgical_number_of_workers_on_main_shift_density_number_per_1_000_sq_ft,city,medical_office_number_of_workers_on_main_shift,estimated_data_flag_fuel_oil_no_4,hospital_general_medical_surgical_number_of_workers_on_main_shift,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kbtu,weather_normalized_site_electricity_intensity_kwh_ft,indirect_ghg_emissions_metric_tons_co2e,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,urgent_care_clinic_other_outpatient_gross_floor_area_ft,refrigerated_warehouse_gross_floor_area_ft,net_emissions_metric_tons_co2e,direct_ghg_emissions_intensity_kgco2e_ft,automobile_dealership_gross_floor_area_ft,national_median_source_eui_kbtu_ft,alert_energy_meter_has_overlaps,medical_office_percent_that_can_be_heated
1836478,X172-0201224,2116205,Not Available,10452,45600.0,Not Available,0.3,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,08/2020,Not Available,Not Available,Not Available,201.0,Not Available,0.0,Not Available,2.2,75,1,K-12 School,45600.0,0,Not Available,Bronx,Not Available,Not Available,Not Available,1287006.4,8.3,102.3,Not Available,Not Available,Not Available,Not Available,Not Available,162.0,1.3,Not Available,129.8,Ok,Not Available
1633661,Q725-0401488,4005184,Not Available,11101,145025.0,Not Available,0.2,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,19.0,Not Available,0.0,Not Available,2.2,75,1,K-12 School,145025.0,303600,Not Available,Queens,Not Available,Not Available,Not Available,4016606.4,8.1,319.2,Not Available,Not Available,Not Available,Not Available,Not Available,474.6,1.1,Not Available,140.6,Ok,Not Available
1634283,Q029-0400027,4099925,Not Available,11356,98342.0,Not Available,0.1,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,907.0,Not Available,0.0,Not Available,1.5,75,1,K-12 School,98342.0,0,Not Available,Queens,Not Available,Not Available,Not Available,1856128.0,5.5,147.5,Not Available,Not Available,Not Available,Not Available,Not Available,184.0,0.4,Not Available,112.1,Ok,Not Available
1836718,X807-0200053,2000876,1.45833,10451,24000.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,65.0,Not Available,0.0,40,0.9,75,1,Office,24000.0,0,Not Available,Bronx,Not Available,Not Available,Not Available,270503.4,3.3,21.5,Not Available,Not Available,Not Available,Not Available,Not Available,77.9,2.4,Not Available,130.6,Ok,Not Available
1634215,Q091-0400083,4089566,Not Available,11385,124925.0,Not Available,0,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,625.0,Not Available,0.0,Not Available,1.5,75,1,K-12 School,124925.0,3184901.9,Not Available,Queens,Not Available,Not Available,Not Available,2426614.4,5.7,192.8,Not Available,Not Available,Not Available,Not Available,Not Available,436.5,2,Not Available,105.3,Ok,Not Available
1633401,Q002-0400009,4021375,Not Available,11370,74480.0,Not Available,0.4,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,317.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,74480.0,0,Not Available,Queens,Not Available,Not Available,Not Available,772476.8,3.0,61.4,Not Available,Not Available,Not Available,Not Available,Not Available,204.0,1.9,Not Available,137.9,Ok,Not Available
1634519,Q021-0400022,4108665,Not Available,11354,125260.0,Not Available,0.1,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),03/2020,Not Available,Not Available,Not Available,1047.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,125260.0,Not Available,Not Available,Queens,Not Available,No,Not Available,2115440.0,4.9,168.1,Not Available,Not Available,Not Available,Not Available,Not Available,587.0,3.3,Not Available,122.3,Ok,Not Available
1633340,Q084-0400075,4015334,Not Available,11105,58880.0,Not Available,0.4,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,119.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,58880.0,247599.6,Not Available,Queens,Not Available,Not Available,Not Available,693318.4,3.5,55.1,Not Available,Not Available,Not Available,Not Available,Not Available,176.2,2.1,Not Available,84.1,Ok,Not Available
1836579,K075-0300091,3075879,Not Available,11221,75600.0,Not Available,0.6,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,419.0,Not Available,0.0,Not Available,1.6,75,1,K-12 School,75600.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,1486813.1,5.9,118.1,Not Available,Not Available,Not Available,Not Available,Not Available,327.4,2.8,Not Available,104.5,Ok,Not Available
1633994,K220-0300225,3012824,Not Available,11220,130800.0,Not Available,0.6,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,108.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,130800.0,665159.9,Not Available,Brooklyn,Not Available,Not Available,Not Available,1336139.2,3.0,106.2,Not Available,Not Available,Not Available,Not Available,Not Available,503.5,3,Not Available,135.3,Ok,Not Available
1633030,M050-0100064,1083933,Not Available,10029,141600.0,Not Available,0.3,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,162.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,141600.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,2328348.8,4.8,185,Not Available,Not Available,Not Available,Not Available,Not Available,338.9,1.1,Not Available,131.1,Ok,Not Available
1634299,Q174-0400156,4073904,Not Available,11374,87860.0,Not Available,0,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,69702.0,Not Available,0.0,Not Available,1,75,1,K-12 School,87860.0,Not Available,Not Available,Queens,Not Available,No,Not Available,1086380.8,3.7,86.3,Not Available,Not Available,Not Available,Not Available,Not Available,404.2,3.6,Not Available,106.4,Ok,Not Available
