program_name,strong_family_community_ties_survey_percent_positive,ecers_most_recent_assessment_year,length_of_pre_k_day,ecers_program_structure_score,class_emotional_support_score,quality_review_how_well_do_teachers_work_with_each_other
P.S. 126 Jacob August Riis,0.95,2014-15 School Year,Full day,2.7,6.1,4.0
P.S. 244 Richard R. Green,0.87,2014-15 School Year,Full day,3.3,6.1,3.0
P.S. 192 - The Magnet School for Math and Science Inquiry,,2016-17 School Year,Full day,4.0,,4.0
ACE Early Childhood Center,0.94,2014-15 School Year,Full day,2.7,6.4,
P.S. 153 Maspeth Elem,1.0,2014-15 School Year,Full day,3.3,6.8,3.0
P.S. 73 Bronx,0.94,2014-15 School Year,Full day,1.7,6.1,3.0
P.S. 169 Bay Terrace,0.99,2016-17 School Year,Full day,2.3,,4.0
P.S. 115 Daniel Mucatel School,0.96,2014-15 School Year,Full day,2.0,6.0,3.0
Riverdale Avenue Community School,0.93,2016-17 School Year,Full day,2.8,6.3,3.0
P.S. 75 Mayda Cortiella,0.81,2015-16 School Year,Full day,5.0,6.9,3.0
P.S. 111 Adolph S. Ochs,0.94,2015-16 School Year,Full day,3.3,6.5,3.0
Yeshiva Jesode Hatorah,0.98,2014-15 School Year,Half day,5.8,6.1,
P.S. 102 Bayview,0.97,2015-16 School Year,Full day,5.0,6.9,3.0
"PHEBEANA PRESCHOOL, INC.",0.94,2015-16 School Year,Full day,7.0,7.0,
P.S. 178 Saint Clair Mckelway,0.96,2016-17 School Year,Full day,5.0,,3.0
P.S. 101 School in the Gardens,0.98,2015-16 School Year,Full day,5.8,6.6,4.0
P.S. 130 Hernando De Soto,0.91,2015-16 School Year,Full day,4.5,6.6,3.0
P.S. 31 Samuel F. Dupont,0.94,2016-17 School Year,Full day,6.0,,3.0
Tiferes Bnos,1.0,2015-16 School Year,,5.0,5.7,
P.S. 6 Corporal Allan F. Kivlehan School,,2015-16 School Year,Full day,6.0,6.6,4.0
Small World Preschool,0.83,2015-16 School Year,Full day,5.5,7.0,
Stuyvesant Heights Day Care/New Vision One,0.96,2015-16 School Year,Full day,5.3,6.6,
Wave Preparatory Elementary School,0.95,2016-17 School Year,Full day,1.7,,4.0
Urban Scholars Community School,0.99,2015-16 School Year,Full day,3.3,6.3,3.0
Saint Marks,0.92,2016-17 School Year,Full day,4.0,5.7,
P.S. 36 J. C. Drumgoole,0.96,2014-15 School Year,Full day,4.3,6.8,3.0
Smart Start Early Childhood Center,0.94,2016-17 School Year,Full day,4.5,5.8,
P.S. 42 Eltingville,1.0,2015-16 School Year,Full day,6.5,6.3,3.0
P.S. 136 Roy Wilkins,0.99,2014-15 School Year,Full day,3.7,5.2,3.0
P.S. 174 William Sidney Mount,0.92,2015-16 School Year,Full day,7.0,6.9,3.0
P.S. 234,0.93,2015-16 School Year,Full day,3.7,6.8,4.0
Boulevard Nursery School,,2016-17 School Year,Full day,6.3,5.4,
P.S. 34 Oliver H. Perry,0.97,2016-17 School Year,Full day,3.7,,4.0
P.S. 146 Ann M. Short,,2015-16 School Year,Full day,3.8,7.0,2.0
Bushwick United HDFC 2,0.98,2014-15 School Year,Full day,2.8,6.5,
P.S. 175 Henry H Garnet,0.92,2014-15 School Year,Full day,1.7,5.6,3.0
All My Children Day Care 10,0.92,2016-17 School Year,Full day,3.0,5.1,
P.S. 129 Patricia Larkin,0.96,2015-16 School Year,,4.3,6.7,4.0
The Maurice Sendak Community School,0.98,2016-17 School Year,Full day,3.5,6.7,4.0
