site_id,class_instructional_support_score,ecers_space_and_furnishings_rating,survey_number_of_guardian_responses,ecers_space_and_furnishings_score,class_emotional_support_rating,ecers_observation_average_rating
02M126,2.1,3.0,14.0,3.9,4.0,3.0
17K375,4.3,3.0,9.0,4.3,4.0,3.0
19K273,,3.0,1.0,3.4,,3.0
KBKJ,2.1,3.0,21.0,4.0,4.0,3.0
Z064,3.0,4.0,5.0,5.0,4.0,3.0
08X392,2.3,2.0,15.0,3.1,4.0,3.0
24Q081,,3.0,15.0,3.6,,3.0
17K191,3.1,2.0,52.0,3.1,4.0,1.0
22K217,4.2,3.0,11.0,3.5,4.0,3.0
Z070,3.3,3.0,6.0,4.0,4.0,3.0
02M111,3.2,3.0,18.0,4.1,4.0,2.0
31R056,2.3,3.0,8.0,3.8,4.0,3.0
22K361,3.4,4.0,16.0,5.5,4.0,4.0
KBMB,4.2,3.0,11.0,4.5,4.0,4.0
22K194,,2.0,31.0,3.0,,3.0
27Q051,2.5,3.0,10.0,3.4,4.0,3.0
02M130,3.1,3.0,18.0,3.9,4.0,3.0
13K093,,3.0,30.0,4.6,,3.0
KBJP,3.8,3.0,23.0,4.0,3.0,3.0
29Q134,3.1,4.0,4.0,5.9,4.0,4.0
XAIF,2.9,2.0,10.0,3.1,4.0,3.0
MACU,3.1,2.0,15.0,3.1,4.0,3.0
26Q213,,3.0,28.0,3.4,,3.0
12X067,3.7,3.0,6.0,3.4,4.0,1.0
KAXC,2.9,3.0,48.0,3.5,3.0,3.0
30Q017,3.7,3.0,34.0,4.8,4.0,3.0
KBON,2.8,3.0,28.0,3.8,3.0,4.0
30Q078,5.3,3.0,18.0,3.6,4.0,3.0
27Q316,2.9,4.0,24.0,5.5,3.0,4.0
27Q097,3.8,3.0,7.0,4.4,4.0,4.0
29Q037,3.1,3.0,11.0,4.8,4.0,4.0
KBMU,3.0,2.0,,3.3,3.0,3.0
13K133,,3.0,20.0,3.8,,3.0
04M072,2.1,1.0,4.0,2.4,4.0,3.0
KBQF,2.9,3.0,5.0,3.4,4.0,2.0
05M092,2.7,3.0,12.0,4.1,3.0,1.0
KBAZ,2.5,2.0,8.0,3.1,3.0,3.0
23K599,3.9,3.0,20.0,4.3,4.0,3.0
14K297,3.4,2.0,49.0,3.3,4.0,3.0
31R057,1.8,3.0,13.0,4.5,3.0,3.0
RACL,3.0,3.0,9.0,4.3,4.0,3.0
21K100,3.2,1.0,9.0,2.6,4.0,3.0
