trip_id,bike_park_loc,transit_type,scooter_park_location,d_purpose_category_linked,mode_priority_nyc,distance_miles,r_timeofday,travel_date,ev_charge_station_level_997,park_location,duration_minutes,ev_charge_station_level_2,work_trip,d_county,person_num,ev_charge_station_level_1,r_d_purpose_category_linked,depart_minute,unlinked_trip
2200151801031,995,995,995,9,34,20.43395395,2,2022-10-12T00:00:00.000,995,4,42,995,0,36005,1,995,9,56,0
2200258901024,995,995,995,9,1,0.517783006,2,2022-10-09T00:00:00.000,995,995,9,995,0,36005,1,995,9,5,0
2200060701013,995,995,995,1,1,10.66772443,3,2022-10-15T00:00:00.000,995,995,57,995,0,36005,1,995,1,55,0
2200010501051,995,995,995,8,1,0.182583204,2,2022-10-22T00:00:00.000,995,995,5,995,0,36061,1,995,8,56,0
2200076801044,995,10,995,1,30,7.419640167,5,2022-10-08T00:00:00.000,995,995,23,995,0,36005,1,995,1,10,1
2200053301037,995,10,995,1,1,5.761499127,1,2022-10-11T00:00:00.000,995,995,706,995,0,36005,1,995,1,4,1
2200012801003,995,995,995,10,6,1.771029301,1,2022-10-13T00:00:00.000,995,4,15,995,0,36005,1,995,7,6,0
2200076801065,7,995,995,7,201,1.12121319,4,2022-10-10T00:00:00.000,995,995,17,995,0,36047,1,995,7,40,0
2200060701038,995,11,995,10,30,4.382534024,1,2022-10-19T00:00:00.000,995,995,20,995,0,36005,1,995,7,9,1
2200060701058,995,11,995,1,1,0.160406332,4,2022-10-20T00:00:00.000,995,995,4,995,0,36005,1,995,1,49,1
2200127601036,995,995,995,2,6,5.823406806,1,2022-10-11T00:00:00.000,995,4,37,995,1,36061,1,995,2,59,0
2200183001004,995,995,995,1,1,0.162612485,1,2022-10-12T00:00:00.000,995,995,4,995,0,36005,1,995,1,29,0
2200183001012,995,11,995,9,30,5.989660225,3,2022-10-12T00:00:00.000,995,995,14,995,0,36061,1,995,9,19,1
2200046001003,995,10,995,3,30,3.317129845,3,2022-10-20T00:00:00.000,995,995,219,995,0,36081,1,995,3,58,1
2200112801012,995,12,995,4,30,2.432092324,1,2022-10-28T00:00:00.000,995,995,11,995,0,36005,1,995,4,24,1
2200012801017,995,995,995,6,6,0.544764854,2,2022-10-16T00:00:00.000,995,4,3,995,0,36005,1,995,6,51,0
2200151801028,995,995,995,9,995,2.671253631,2,2022-10-12T00:00:00.000,995,995,16,995,0,36005,1,995,9,33,0
2200076801022,995,10,995,1,1,17.48150444,5,2022-10-06T00:00:00.000,995,995,122,995,0,36005,1,995,1,46,1
2200183001040,995,995,995,8,1,0.599376429,3,2022-10-16T00:00:00.000,995,995,11,995,0,36005,1,995,8,36,0
2200060701008,995,11,995,1,1,0.270514481,4,2022-10-14T00:00:00.000,995,995,5,995,0,36005,1,995,1,8,1
2200122301004,995,10,995,1,1,0.081183496,2,2022-10-04T00:00:00.000,995,995,1,995,0,36005,1,995,1,17,1
2200198901031,995,995,995,7,1,0.204317701,3,2022-10-10T00:00:00.000,995,995,6,995,0,36005,1,995,7,47,0
2200043001030,995,995,995,1,6,2.67614372,3,2022-10-12T00:00:00.000,995,4,21,995,0,36005,1,995,1,15,0
