location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
Riverdale Avenue Middle School,,316,"06,07,08,SE",Principal,40.659618,718-346-1783,Arabelle Pembroke,Junior High-Intermediate-Middle
P.S. K134,Mauriciere de Govia,314,"0K,01,02,03,04,05,SE",I.A. Principal,40.632145,718-686-2205,Sarah Gobin -Darrell,Elementary
Academy of Innovative Technology,,305,"09,10,11,12,SE",Principal,40.693002,718-827-4013,Meghan Lynch,High school
P.S. 399 Stanley Eugene Clark$,Mauriciere de Govia,317,"0K,01,02,03,04,05,SE",Principal,40.648277,718-940-0702,Lakeasha Williams,Elementary
J.H.S. 166 George Gershwin,,305,"08,SE",I.A. PRINCIPAL,40.659934,718-927-2172,Victor Esannason,Junior High-Intermediate-Middle
The Academy of Urban Planning and Engineering,,304,"09,10,11,12,SE",Principal,40.696457,718-418-0314,Jorge Sandoval,High school
Middle School 322,"CHU, YUET",112,"06,07,08,SE",Principal,40.860951,212-567-3016,ERICA ZIGELMAN,Junior High-Intermediate-Middle
Harlem Village Academy West 2 Charter School,,110,"0K,01",,40.80669,,,Elementary
Key Collegiate Charter School,,316,"04,05,06",Principal,40.665264,646-604-4427,Katie Mazer,Elementary
P.S. 251 Paerdegat,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",Principal,40.63195,718-241-3200,Sheldon Noel,Elementary
"The Middle School of Media, Law and Fine Arts",Mauriciere de Govia,317,"06,07,08,SE",Principal,40.659088,718-773-3827,JAMEELA HORTON,Junior High-Intermediate-Middle
District 23 HS#1,,316,"09,10,11,12,SE",,40.677528,,,High school
J.H.S. 227 Edward B. Shallow,Mauriciere de Govia,311,"06,07,08,SE",Principal,40.622102,718-234-6204,Dr. Edwin Hernandez,Junior High-Intermediate-Middle
Amistad Dual Language School,"CHU, YUET",112,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.866381,212-569-7765,ROBIN EDMONDS,K-8
Harbor Heights,"CHU, YUET",112,"06,07,08",Principal,40.845459,212-568-7959,MONICA KLEHR,Junior High-Intermediate-Middle
Achoevement First Bushwick Charter School,,304,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.697898,718-453-0428,Courtney Saretzky/Riley Bauling,K-12 all grades
Abraham Lincoln High School,Mauriciere de Govia,313,"09,10,11,12,SE",Principal,40.582627,718-946-5035,A HOOGENBOOM,High school
Christopher Avenue Community School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.672216,718-495-5764,DEON MITCHELL,Elementary
Imagine Me Leadership Charter School,,305,"0K,01,02,03,04,05,06",Principal,40.660077,347-985-2145,Katherine Corbett/Bevon Thompson,Elementary
P.S. 075 Mayda Cortiella,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.693261,718-574-1051,Yolanda Williams,Elementary
P.S./I.S. 104 The Fort Hamilton School,Mauriciere de Govia,310,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.618077,718-836-9412,MARIE DIBELLA,K-8
High School of Telecommunication Arts and Technolo,,310,"09,10,11,12,SE",Principal,40.636721,718-759-3490,Xhenete Shepard,High school
The High School For Language And Diplomacy,"CHU, YUET",106,"09,10,11,12,SE",Principal,40.735361,212-253-2539,Sarah Hernandez,High school
Global Neighborhood Secondary School,,111,"06,07,08,SE",I.A. PRINCIPAL,40.79969,212-289-4301,Florin Purice,Junior High-Intermediate-Middle
All City Leadership Secondary School,,304,"06,07,08,09,10,11,12,SE",I.A. Principal,40.697378,718-246-6509,Daphne Rivera,Secondary School
I.S. 171 Abraham Lincoln,,305,"06,07,08,SE",Principal,40.685852,718-827-5834,Indira Mota,Junior High-Intermediate-Middle
P.S. 149 Sojourner Truth,"CHU, YUET",110,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.802649,212-360-5885,CLAUDIA AGUIRRE,K-8
P.S. 178 Saint Clair Mckelway,,316,"PK,0K,01,02,03,04,05,06,07,08,SE",I.A. Principal,40.67538,718-495-2304,Loren Cooper,K-8
IS 280 Brooklyn Studio School,,311,,,40.6049,718-266-5093,,Junior High-Intermediate-Middle
Benjamin Banneker Academy,,302,"09,10,11,12,SE",Principal,40.695389,718-797-3862,KINSLEY KWATENG,High school
P.S. 376,,304,"0K,01,02,03,04,05,SE",I.A. Principal,40.69805,718-573-0769,Maria Vera,Elementary
P.S. 188 The Island School,"CHU, YUET",103,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.719888,212-228-3007,Suany Ramos,K-8
Innovation Diploma Plus,,107,"10,11,12",Principal,40.786134,212-724-2765,DANIEL STORCHAN,High school
